categoria,capitulo,descricao_categoria,grupo,sub_categoria,descricao_subcategoria,descricao_grupo,descricao_capitulo
A00,I,Cólera,A00-A09,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A00,I,Cólera,A00-A09,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A00,I,Cólera,A00-A09,A009,Cólera não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A01,I,Febres tifóide e paratifóide,A00-A09,A010,Febre tifóide,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A01,I,Febres tifóide e paratifóide,A00-A09,A011,Febre paratifóide A,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A01,I,Febres tifóide e paratifóide,A00-A09,A012,Febre paratifóide B,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A01,I,Febres tifóide e paratifóide,A00-A09,A013,Febre paratifóide C,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A01,I,Febres tifóide e paratifóide,A00-A09,A014,Febre paratifóide não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A02,I,Outras infecções por Salmonella,A00-A09,A020,Enterite por salmonela,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A02,I,Outras infecções por Salmonella,A00-A09,A021,Septicemia por salmonela,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A02,I,Outras infecções por Salmonella,A00-A09,A022,Infecções localizadas por salmonela,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A02,I,Outras infecções por Salmonella,A00-A09,A028,Outras infecções especificadas por salmonela,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A02,I,Outras infecções por Salmonella,A00-A09,A029,Infecção não especificada por salmonela,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A030,Shiguelose devida a Shigella dysenteriae,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A031,Shiguelose devida a Shigella flexneri,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A032,Shiguelose devida a Shigella boydii,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A033,Shiguelose devida a Shigella sonnei,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A038,Outras shigueloses,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
A03,I,Shiguelose,A00-A09,A039,Shiguelose não especificada,Doenças infecciosas intestinais,   Algumas doenças infecciosas e parasitárias
