cod_municipio,assasinatos_gerais,pop_2021,assasinatos_gerais_100k
1100015,5,22728,21.99929602252728
1100023,43,109523,39.2611597563982
1100031,1,5188,19.275250578257516
1100049,23,85893,26.777502241160512
1100056,8,16204,49.37052579609973
1100064,5,15544,32.166752444673186
1100072,2,7220,27.700831024930746
1100080,5,18798,26.59857431641664
1100098,9,32695,27.527144823367486
1100106,2,46556,4.295901709768881
1100114,13,51620,25.184037194885704
1100122,34,130009,26.152035628302656
1100130,7,40867,17.12873467589987
1100155,14,35737,39.17508464616504
1100189,12,36881,32.53707871261625
1100205,246,539354,45.61011877171579
1100254,5,18571,26.923698239190134
1100262,3,3804,78.86435331230284
1100288,31,55407,55.94960925514827
1100296,2,6216,32.17503217503217
1100304,62,102211,60.65883319799239
1100320,4,23077,17.33327555574815
1100338,7,31392,22.2986748216106
1100346,2,14106,14.178363816815539
1100379,2,13255,15.088645794039985
1100403,5,21847,22.886437497139195
1100452,10,40356,24.779462781246902
1100502,1,8329,12.006243246488173
1100601,2,6269,31.9030148349019
1100700,6,14266,42.058040095331556
1100809,9,27388,32.861107054184316
1100924,4,11472,34.86750348675035
1100940,19,26183,72.5661688882099
1101005,2,7445,26.863666890530556
1101203,0,9559,0.0
1101302,2,10818,18.487705675725643
1101401,13,16007,81.2144686699569
1101435,3,6895,43.5097897026831
1101450,0,6198,0.0
1101484,1,5066,19.739439399921043
1101492,4,20681,19.341424495914126
1101500,4,11851,33.75242595561556
1101559,1,4233,23.623907394283016
1101609,6,10395,57.72005772005772
1101708,4,11272,35.486160397445
1101757,3,11377,26.368990067680407
1101807,1,6656,15.024038461538462
1200013,2,15490,12.911555842479018
1200104,9,26702,33.70534042393828
1200138,4,10420,38.38771593090211
1200179,3,12008,24.98334443704197
1200203,38,89072,42.66211604095563
1200252,9,18696,48.138639281129656
1200302,19,34884,54.46623093681917
1200336,5,19311,25.89197866500958
1200344,8,9581,83.49859096127753
1200385,1,19955,5.011275369581559
1200401,309,413418,74.74275430677909
1200427,2,19351,10.335383184331558
1200435,1,6717,14.887598630340927
1200450,5,23236,21.518333620244448
1200500,8,46511,17.200232203134743
1200609,17,43151,39.39653773956571
1200708,1,19596,5.103082261686058
1200807,12,18824,63.748406289842755
1300029,2,16220,12.330456226880395
