cod_municipio,agua_total,familias_cadastradas,agua_porcentagem
110001,14782,14809.0,0.9981767843878723
110002,50977,51741.0,0.9852341470014109
110003,2722,2731.0,0.9967045038447455
110004,51903,52768.0,0.9836074893875075
110005,9464,9489.0,0.9973653704289177
110006,5275,5313.0,0.9928477319781668
110007,3424,4542.0,0.7538529282254514
110008,9959,12900.0,0.772015503875969
110009,16318,16739.0,0.9748491546687377
110010,28412,30574.0,0.9292863217112579
110011,28274,28567.0,0.9897434102285855
110012,65402,65903.0,0.9923979181524362
110013,21137,21458.0,0.985040544319135
110014,14163,14338.0,0.9877946715023016
110015,22329,22800.0,0.9793421052631579
110018,16485,16993.0,0.9701053374919084
110020,199744,352254.0,0.5670453706700279
110025,17653,17764.0,0.993751407340689
110026,1875,2112.0,0.8877840909090909
110028,27542,27769.0,0.9918254168317189
110029,5767,5779.0,0.9979235161792698
110030,45597,52806.0,0.8634814225656176
110032,13753,13824.0,0.9948640046296297
110033,17138,17731.0,0.9665557498167052
110034,11125,11733.0,0.9481803460325577
110037,5737,5776.0,0.9932479224376731
110040,10759,10813.0,0.9950060112827153
110045,16584,16786.0,0.9879661622780889
110050,5874,6348.0,0.9253308128544423
110060,3406,3436.0,0.9912689173457508
110070,5540,5682.0,0.975008799718409
110080,16184,24241.0,0.667629223216864
110090,2181,2196.0,0.9931693989071039
110092,4714,5047.0,0.9340202100257579
110094,9834,10365.0,0.9487698986975398
110100,6502,6579.0,0.9882960936312509
110110,3762,6614.0,0.5687934684003628
110120,4884,4910.0,0.994704684317719
110130,8545,10100.0,0.846039603960396
110140,9098,9157.0,0.9935568417604019
110143,4615,5228.0,0.8827467482785004
110145,3417,3504.0,0.9751712328767124
110146,1902,1918.0,0.9916579770594369
110147,2752,2906.0,0.9470061940812113
110148,3507,3528.0,0.9940476190476191
110149,11732,12735.0,0.9212406753042796
110150,8696,9139.0,0.9515264252106357
110155,3112,3118.0,0.9980756895445798
110160,5297,5334.0,0.9930633670791151
110170,7681,7722.0,0.9946904946904946
110175,7868,7929.0,0.9923067221591626
110180,4645,4860.0,0.9557613168724279
120001,12571,13057.0,0.9627785861989737
120005,7225,7332.0,0.9854064375340971
120010,22310,23274.0,0.9585803901349145
120013,8309,9380.0,0.8858208955223881
120017,10185,11399.0,0.8934994297745417
120020,53755,59213.0,0.9078242953405502
120025,13804,14114.0,0.9780359926314298
120030,16109,23112.0,0.6969972308757355
120032,4685,6348.0,0.7380277252678009
120033,15459,16220.0,0.9530826140567201
120034,10005,10800.0,0.9263888888888889
120035,14463,15492.0,0.9335786212238575
120038,11841,12140.0,0.9753706754530478
120039,4885,7475.0,0.6535117056856188
120040,216233,232237.0,0.9310876389205854
120042,11159,13088.0,0.8526130806845966
120043,5286,5483.0,0.9640707641801933
120045,17068,22436.0,0.7607416651809592
120050,34091,37067.0,0.9197129522216527
120060,33927,36763.0,0.9228572205750347
120070,12471,12934.0,0.9642028761404051
120080,18879,20929.0,0.9020497873763678
130002,10867,12429.0,0.8743261726607129
130006,5390,9541.0,0.5649303008070433
130008,4652,9869.0,0.4713750126659236
130010,11853,16403.0,0.722611717368774
130014,14150,14771.0,0.9579581612619321
130020,3962,10216.0,0.38782302270947533
130030,32106,60099.0,0.5342185394099735
130040,11512,14844.0,0.775532201562921
130050,13987,26942.0,0.5191522529878999
130060,14404,27081.0,0.5318858240094532
130063,13139,23526.0,0.5584884808297204
130068,11373,14092.0,0.8070536474595515
130070,11220,27699.0,0.40506877504603056
130080,21921,28417.0,0.7714044410036246
130083,6351,10539.0,0.6026188442926274
130090,14700,15475.0,0.9499192245557351
130100,24216,27626.0,0.8765655541880837
130110,20105,33109.0,0.6072367030112659
130115,13778,18969.0,0.7263429806526438
130120,33581,61559.0,0.5455091863090693
130130,17689,22027.0,0.8030598810550688
130140,21411,26533.0,0.8069573738363547
130150,8455,14397.0,0.5872751267625199
130160,9030,24239.0,0.3725401212921325
130165,9157,12353.0,0.7412774224884643
130170,46555,53243.0,0.8743872433934977
130180,9808,16116.0,0.6085877388930255
130185,54509,76096.0,0.7163188603868798
130190,72185,78126.0,0.923956173360981
130195,5357,9118.0,0.5875191928054397
130200,8772,11414.0,0.768529875591379
130210,3756,5919.0,0.6345666497719209
130220,6353,9598.0,0.661908730985622
130230,14917,18699.0,0.7977431948232526
130240,41686,54287.0,0.7678818133254739
130250,55874,97388.0,0.5737257156939253
130255,17057,18564.0,0.9188213747037276
130260,1230651,1409365.0,0.8731953752221745
130270,32339,36739.0,0.8802362611938267
130280,5413,13858.0,0.3906047048636167
130290,49773,65298.0,0.762243866580906
130300,17041,18576.0,0.9173664944013781
130310,25196,32614.0,0.7725516649291715
130320,11630,12876.0,0.9032308170239205
130330,11907,16928.0,0.7033908317580341
130340,89128,94186.0,0.9462977512581487
130350,7914,13829.0,0.5722756526140719
130353,28013,29852.0,0.9383960873643307
130356,19574,21294.0,0.9192260730722269
130360,5474,10986.0,0.498270526124158
130370,13524,18537.0,0.7295678912445379
130380,17436,28621.0,0.6092030327381992
130390,15544,26966.0,0.5764295779870948
130395,8417,9277.0,0.9072976177643635
130400,8473,10765.0,0.7870877844867626
130406,33881,43531.0,0.7783188991753004
130410,10591,16564.0,0.6393986959671577
130420,49689,57003.0,0.871690963633493
130423,14690,16122.0,0.9111772732911549
130426,10380,11780.0,0.8811544991511036
130430,17694,18722.0,0.9450913363956842
130440,17620,22042.0,0.7993829960983577
140002,8672,9223.0,0.9402580505258593
140005,11679,12322.0,0.9478169128388249
140010,181632,197067.0,0.9216763841739104
140015,15798,20394.0,0.7746395998823183
140017,21486,22165.0,0.9693661177532146
140020,19761,21506.0,0.9188598530642611
140023,10172,10478.0,0.9707959534262264
140028,4758,7690.0,0.6187256176853055
140030,14965,24108.0,0.6207482993197279
140040,8045,10792.0,0.7454595997034841
140045,12819,13802.0,0.9287784379075497
140047,20142,23157.0,0.8698017877963466
140050,6421,6623.0,0.9695002264834667
140060,4410,8339.0,0.5288403885357956
140070,6165,7534.0,0.8182904167772763
150010,100231,198003.0,0.5062095018762341
150013,3717,8318.0,0.446862226496754
150020,53132,57717.0,0.9205606667013185
150030,11585,34534.0,0.33546649678577634
150034,15217,16492.0,0.9226897889886005
150040,48784,60905.0,0.8009851407930383
150050,26216,29833.0,0.8787584218818087
150060,83608,90123.0,0.9277099075707644
150070,27775,33102.0,0.8390731677844239
150080,337739,348083.0,0.9702829497562363
150085,34449,36831.0,0.9353262197605278
150090,42105,47775.0,0.8813186813186813
150095,26917,27766.0,0.9694230353669956
150100,10480,10996.0,0.953073845034558
150110,8974,17314.0,0.5183088829848678
150120,17461,30114.0,0.5798299794115693
150125,1376,3334.0,0.41271745650869823
150130,83712,93200.0,0.8981974248927038
150140,1064820,1141041.0,0.9332004722003855
150145,14226,15430.0,0.9219701879455606
150150,67029,68596.0,0.9771561023966412
150157,13216,13525.0,0.9771534195933457
150160,15004,15375.0,0.975869918699187
150170,101989,109230.0,0.9337086880893527
150172,21131,21857.0,0.9667840966280825
150175,6852,7427.0,0.9225797764911808
150178,41158,47867.0,0.859840808908016
150180,25751,108640.0,0.23703055964653902
150190,23212,29296.0,0.7923265974877116
150195,17906,19486.0,0.9189161449245612
150200,9238,21931.0,0.4212302220600976
150210,86167,124186.0,0.6938543797207415
150215,36830,40198.0,0.9162147370515946
150220,51134,52275.0,0.9781731229076996
150230,50101,53655.0,0.9337619979498649
150240,132136,137654.0,0.9599139872433783
150250,4864,15949.0,0.3049720985641733
150260,10245,10828.0,0.9461581086073144
150270,31618,33560.0,0.9421334922526817
150275,27288,29218.0,0.933944828530358
150276,7305,8772.0,0.8327633378932968
150277,14284,21358.0,0.668789212473078
150280,27466,27589.0,0.995541701402733
150285,11421,13182.0,0.8664087391898043
150290,27872,41861.0,0.6658226033778457
150293,34539,36901.0,0.9359908945557031
150295,24846,27770.0,0.894706517824991
150300,5666,12817.0,0.44206912694078176
150304,15247,16418.0,0.9286758435863077
150307,20353,21363.0,0.9527219959743481
150309,22465,24227.0,0.9272712263177446
150310,12470,26960.0,0.4625370919881306
150320,33529,35218.0,0.9520415696518826
150330,41588,57188.0,0.7272154997551934
150340,8543,8941.0,0.955485963538754
150345,33435,34427.0,0.9711854068028001
150350,31002,38666.0,0.8017896860290694
150360,79066,95264.0,0.829967248908297
150370,38649,43149.0,0.8957102134464298
150375,14148,14665.0,0.964745993862939
150380,37342,39153.0,0.9537455622813067
150390,27777,28629.0,0.9702399664675678
150400,11796,24519.0,0.48109629267098986
150405,32355,33523.0,0.9651582495600036
150410,7024,7235.0,0.9708362128541811
150420,170730,177388.0,0.9624664577085259
150430,29450,30738.0,0.9580974689309649
150440,23421,25287.0,0.9262071420097283
150442,115106,117929.0,0.9760618677339755
150445,29505,30599.0,0.9642471976208373
150450,9749,24149.0,0.40370201664665206
150460,24174,32611.0,0.7412836159578057
150470,72887,77716.0,0.937863503010963
150475,17588,20790.0,0.845983645983646
150480,43881,53833.0,0.8151319822413761
150490,17051,30359.0,0.5616456405019928
150495,17717,20718.0,0.8551501110145767
150497,9912,10224.0,0.9694835680751174
150500,10981,11696.0,0.9388679890560876
150503,19774,21236.0,0.9311546430589565
150506,48439,50399.0,0.9611103394908629
150510,41425,47809.0,0.8664686565291054
150520,15790,30573.0,0.516468779642168
150530,38333,46031.0,0.8327648758445395
150540,19331,19870.0,0.9728736789129341
150543,25461,27604.0,0.9223663237211999
150548,35582,39437.0,0.90224915688313
150549,6945,7202.0,0.9643154679255762
150550,75833,76842.0,0.9868691600947399
150553,138313,145590.0,0.9500171715090322
150555,7399,7576.0,0.976636747624076
150560,6966,7329.0,0.9504707327056897
150563,9195,9953.0,0.923842057671054
150565,9887,16556.0,0.5971853104614642
150570,10364,29874.0,0.3469237464015532
150580,15522,42733.0,0.3632321624973674
150590,23470,31413.0,0.7471429026199344
150600,37481,39433.0,0.9504983135952121
150610,10264,12214.0,0.8403471426232193
150611,11539,12314.0,0.9370635049537113
150613,50716,55492.0,0.9139335399697254
150616,13652,14232.0,0.9592467678471052
150618,26980,27292.0,0.9885680785578191
150619,21041,24719.0,0.85120757312189
150620,27810,28348.0,0.9810215888246084
150630,25041,26792.0,0.9346446700507615
150635,20113,20618.0,0.9755068386846445
150640,5347,7715.0,0.6930654569021387
150650,43615,45757.0,0.9531874904386214
150655,19806,20907.0,0.9473382120820778
150658,14783,16566.0,0.8923699142822649
150660,19248,20919.0,0.9201204646493618
150670,37710,38296.0,0.9846981407979946
150680,245659,297037.0,0.8270316492558166
150690,9205,9928.0,0.9271756647864625
150700,21481,25772.0,0.8335014744684154
150710,13200,14244.0,0.9267059814658803
