cod_municipio,lixo_total,familias_cadastradas,lixo_porcentagem
432377,584,584.0,1.0
430558,553,553.0,1.0
430057,361,361.0,1.0
430955,1536,1536.0,1.0
354210,4092,4098.0,0.9985358711566618
353420,1810,1813.0,0.9983452840595698
421740,3282,3288.0,0.9981751824817519
431215,2212,2218.0,0.9972948602344455
421835,979,982.0,0.9969450101832994
353330,2447,2456.0,0.9963355048859935
420630,4075,4091.0,0.9960889758005378
432254,2243,2252.0,0.9960035523978685
351492,1397,1403.0,0.9957234497505346
280160,4852,4873.0,0.9956905397085984
354730,44381,44590.0,0.9953128504148913
431164,604,607.0,0.9950576606260296
431848,569,572.0,0.9947552447552448
313140,2933,2949.0,0.9945744320108512
431403,700,704.0,0.9943181818181818
432380,7382,7426.0,0.9940748720711016
312125,7447,7492.0,0.9939935931660437
431805,948,954.0,0.9937106918238994
315733,5620,5656.0,0.9936350777934936
316540,3991,4017.0,0.9935275080906149
430240,5062,5095.0,0.9935230618253189
410790,3979,4005.0,0.9935081148564294
421225,4081,4108.0,0.9934274586173321
352042,14695,14793.0,0.9933752450483336
270140,31616,31831.0,0.9932455782099211
430640,4122,4152.0,0.9927745664739884
350560,18240,18376.0,0.9925990422289943
312740,1597,1609.0,0.9925419515226849
431975,396,399.0,0.9924812030075187
412405,11076,11162.0,0.9922952875828704
352250,98044,98809.0,0.9922577902822617
430807,2161,2179.0,0.9917393299678752
430360,3285,3313.0,0.9915484455176578
330411,11746,11848.0,0.9913909520594193
520880,36398,36716.0,0.9913389258089117
351030,12132,12240.0,0.9911764705882353
431080,2354,2375.0,0.9911578947368421
353290,4641,4683.0,0.9910313901345291
412080,10019,10111.0,0.990900998912076
355280,130366,131573.0,0.9908263853526179
420395,4840,4885.0,0.9907881269191402
421895,1602,1617.0,0.9907235621521335
430925,319,322.0,0.9906832298136646
420425,2392,2415.0,0.9904761904761905
420170,1247,1259.0,0.9904686258935663
431247,1039,1049.0,0.990467111534795
430195,1557,1572.0,0.9904580152671756
314500,7043,7112.0,0.9902980877390326
412625,35089,35438.0,0.9901518144364806
351400,4523,4568.0,0.9901488616462347
432225,603,609.0,0.9901477832512315
420207,8504,8589.0,0.9901036209104669
431849,1266,1279.0,0.9898358092259578
431065,1728,1746.0,0.9896907216494846
240325,138746,140207.0,0.9895796928826663
292730,20656,20879.0,0.9893194118492264
411750,24002,24263.0,0.9892428801055104
351460,3954,3997.0,0.9892419314485864
411300,3643,3683.0,0.9891392886234048
353510,3806,3848.0,0.989085239085239
431162,2081,2104.0,0.9890684410646388
355720,5609,5671.0,0.9890671839181803
350900,38469,38898.0,0.9889711553293229
354840,3205,3241.0,0.9888923171860536
431550,8213,8306.0,0.9888032747411509
430105,5468,5530.0,0.9887884267631103
420320,24577,24857.0,0.9887355674457899
351930,17332,17532.0,0.9885922883869496
315160,7355,7440.0,0.9885752688172043
420740,1806,1827.0,0.9885057471264368
352700,3096,3132.0,0.9885057471264368
430100,3964,4011.0,0.9882822238843181
411810,5640,5707.0,0.9882600315402138
431517,250,253.0,0.9881422924901185
522045,78734,79681.0,0.9881151089971261
353750,3453,3495.0,0.9879828326180258
421510,1549,1568.0,0.9878826530612245
350470,972,984.0,0.9878048780487805
315770,4486,4542.0,0.9876706296785557
315500,1897,1921.0,0.9875065070275898
430235,1658,1679.0,0.9874925550923168
351860,10456,10589.0,0.9874397960147323
351380,187510,189920.0,0.9873104465037911
230428,36488,36959.0,0.9872561487053221
316095,4548,4607.0,0.9871934013457782
355465,1617,1638.0,0.9871794871794872
420370,5274,5343.0,0.987085906793936
351015,3821,3871.0,0.9870834409713253
431514,457,463.0,0.9870410367170627
430545,9268,9390.0,0.9870074547390841
311550,10916,11060.0,0.9869801084990958
355470,4454,4513.0,0.9869266563261688
354700,3394,3439.0,0.9869148008141901
421540,1352,1370.0,0.9868613138686131
432010,10384,10523.0,0.986790839114321
522130,1988,2015.0,0.9866004962779157
354630,9348,9475.0,0.9865963060686016
354820,3606,3655.0,0.986593707250342
350840,13564,13751.0,0.9864009890189804
311580,8325,8440.0,0.9863744075829384
330515,11987,12154.0,0.9862596675991443
521290,2133,2163.0,0.986130374479889
313310,5497,5575.0,0.9860089686098654
421175,3998,4055.0,0.9859432799013563
410765,68657,69647.0,0.9857854609674501
350020,2564,2601.0,0.9857747020376778
352940,106683,108225.0,0.9857519057519057
353360,2626,2664.0,0.9857357357357357
350390,45320,45976.0,0.9857316860970942
411575,7381,7488.0,0.9857104700854701
350530,12386,12567.0,0.9855971990132888
353180,36763,37303.0,0.9855239524971182
311800,18735,19014.0,0.985326601451562
355365,1342,1362.0,0.9853157121879589
350730,2406,2442.0,0.9852579852579852
293240,16539,16788.0,0.9851679771265189
350150,1723,1749.0,0.985134362492853
353325,2980,3025.0,0.9851239669421488
240140,6417,6514.0,0.9851089960085969
330187,24334,24704.0,0.9850226683937824
420125,1369,1390.0,0.9848920863309353
351570,92092,93509.0,0.9848463784234672
352760,5951,6043.0,0.984775773622373
351280,15098,15332.0,0.9847378032872424
352310,158459,160926.0,0.9846699725339597
410110,11618,11799.0,0.9846597169251632
352470,11568,11749.0,0.9845944335688144
354580,32266,32771.0,0.9845900338714108
311940,57758,58663.0,0.9845728994425788
431442,574,583.0,0.9845626072041166
314950,2475,2514.0,0.9844868735083532
432340,1139,1157.0,0.9844425237683665
320500,263972,268150.0,0.984419168375909
355650,30637,31126.0,0.9842896613763413
351830,19636,19952.0,0.9841619887730554
412635,1674,1701.0,0.9841269841269841
354830,2033,2066.0,0.984027105517909
420600,5019,5101.0,0.9839247206430112
354530,20000,20330.0,0.9837678307919331
431475,909,924.0,0.9837662337662337
355690,2666,2710.0,0.9837638376383764
355190,7087,7204.0,0.9837590227651305
431010,9986,10152.0,0.9836485421591804
431650,537,546.0,0.9835164835164835
353120,1848,1879.0,0.9835018626929217
352040,16963,17249.0,0.9834193286567338
353800,72471,73702.0,0.98329760386421
