cod_municipio,parede_total,familias_cadastradas,parede_porcentagem
314130,2627,2627.0,1.0
241190,4327,4327.0,1.0
351420,1883,1883.0,1.0
355570,1097,1097.0,1.0
432330,732,732.0,1.0
316443,2091,2091.0,1.0
355590,638,638.0,1.0
353100,1121,1121.0,1.0
353205,1804,1804.0,1.0
353990,3787,3787.0,1.0
351680,1554,1554.0,1.0
311020,4339,4339.0,1.0
420475,263,263.0,1.0
353325,3025,3025.0,1.0
353330,2456,2456.0,1.0
220180,4275,4275.0,1.0
311560,1122,1122.0,1.0
316560,1507,1507.0,1.0
353420,1813,1813.0,1.0
353715,1572,1572.0,1.0
220556,4726,4726.0,1.0
355695,1001,1001.0,1.0
312580,2393,2393.0,1.0
313140,2949,2949.0,1.0
240480,2069,2069.0,1.0
351010,1531,1531.0,1.0
240040,2801,2801.0,1.0
354720,1175,1175.0,1.0
221160,2668,2668.0,1.0
261540,36817,36823.0,0.9998370583602639
290590,24979,24985.0,0.9997598559135481
412640,3602,3603.0,0.9997224535109631
220865,8112,8115.0,0.999630314232902
290755,7169,7172.0,0.9995817066369214
240740,6814,6817.0,0.9995599237201115
220110,12760,12766.0,0.9995300015666615
312352,5451,5454.0,0.9994499449944995
290300,15333,15342.0,0.9994133750488854
411120,6153,6157.0,0.9993503329543609
241475,4359,4362.0,0.9993122420907841
351460,3994,3997.0,0.9992494370778083
250650,3895,3898.0,0.9992303745510518
353510,3845,3848.0,0.9992203742203742
221170,3843,3846.0,0.999219968798752
311010,3704,3707.0,0.9991907202589695
316320,2459,2461.0,0.9991873222267371
240390,3477,3480.0,0.9991379310344828
251593,3471,3474.0,0.9991364421416234
311220,3328,3331.0,0.999099369558691
251675,3285,3288.0,0.9990875912408759
291185,13095,13107.0,0.9990844586861982
251230,17148,17164.0,0.9990678163598229
231195,17880,17898.0,0.9989943010392223
260250,8873,8882.0,0.9989867147038956
316310,2953,2956.0,0.9989851150202977
350930,5569,5575.0,0.9989237668161435
353280,2779,2782.0,0.998921639108555
260580,19451,19472.0,0.9989215283483976
521910,5387,5393.0,0.998887446690154
316790,2654,2657.0,0.9988709070380128
260380,18455,18476.0,0.9988633903442303
421545,2596,2599.0,0.9988457098884186
240400,5157,5163.0,0.9988378849506101
220320,11160,11173.0,0.9988364808019332
171840,2542,2545.0,0.9988212180746562
291860,7572,7581.0,0.998812821527503
250153,5024,5030.0,0.9988071570576541
240850,4974,4980.0,0.9987951807228915
317115,4135,4140.0,0.998792270531401
316360,2374,2377.0,0.9987379049221708
290790,18965,18989.0,0.9987361103796935
353290,4677,4683.0,0.9987187700192185
316095,4601,4607.0,0.9986976340351639
410165,2265,2268.0,0.9986772486772487
312930,9008,9020.0,0.998669623059867
310390,2200,2203.0,0.9986382206082615
311460,2189,2192.0,0.9986313868613139
292925,18911,18937.0,0.9986270264561441
355320,2171,2174.0,0.9986200551977921
292895,12754,12772.0,0.9985906670842468
220155,4188,4194.0,0.9985693848354793
250939,7508,7519.0,0.9985370394999336
314260,4091,4097.0,0.9985355137905785
354030,2000,2003.0,0.9985022466300549
351250,3919,3925.0,0.9984713375796178
231030,26082,26122.0,0.9984687236811882
311580,8427,8440.0,0.9984597156398104
250215,5824,5833.0,0.9984570546888394
320225,5811,5820.0,0.9984536082474227
240933,5789,5798.0,0.998447740600207
314890,1911,1914.0,0.9984326018808778
241300,5698,5707.0,0.998422989311372
231250,7590,7602.0,0.9984214680347278
241000,3755,3761.0,0.9984046796064876
352115,1874,1877.0,0.9984017048481619
251480,3716,3722.0,0.9983879634605051
251140,14517,14541.0,0.9983494945327006
261620,18043,18073.0,0.9983400652907652
351685,1798,1801.0,0.9983342587451416
310610,1798,1801.0,0.9983342587451416
350440,8380,8394.0,0.9983321420061949
230900,11970,11990.0,0.9983319432860718
314500,7100,7112.0,0.9983127109111362
314960,3547,3553.0,0.9983112862369828
312000,2932,2937.0,0.9982975825672454
430693,3494,3500.0,0.9982857142857143
354700,3433,3439.0,0.9982553067752253
351590,1660,1663.0,0.9981960312687913
250010,9874,9892.0,0.9981803477557623
261510,6568,6580.0,0.998176291793313
280230,15112,15140.0,0.9981505944517833
320245,12375,12398.0,0.9981448620745281
355130,3226,3232.0,0.9981435643564357
410090,4253,4261.0,0.9981225064538841
350395,1584,1587.0,0.998109640831758
351260,3166,3172.0,0.998108448928121
240600,6329,6341.0,0.9981075540135625
320035,7262,7276.0,0.9980758658603628
355230,4623,4632.0,0.9980569948186528
316460,5078,5088.0,0.9980345911949685
240340,7603,7618.0,0.9980309792596482
520400,6041,6053.0,0.9980175119775319
315640,1503,1506.0,0.99800796812749
316080,2991,2997.0,0.997997997997998
220173,7456,7471.0,0.9979922366483737
260770,14297,14326.0,0.9979757085020243
261255,14711,14741.0,0.9979648599145241
320316,5864,5876.0,0.9979577944179714
351650,1434,1437.0,0.9979123173277662
314880,2865,2871.0,0.9979101358411703
353220,2863,2869.0,0.9979086789822238
313430,4708,4718.0,0.9978804578211107
352885,1402,1405.0,0.997864768683274
241250,22749,22798.0,0.9978506886568997
170765,4165,4174.0,0.9978437949209391
290500,15198,15231.0,0.9978333661611187
313180,9597,9618.0,0.9978165938864629
220940,6844,6859.0,0.9978130922875055
354210,4089,4098.0,0.9978038067349927
260515,17178,17216.0,0.997792750929368
292465,9489,9510.0,0.9977917981072555
241490,2709,2715.0,0.9977900552486187
355690,2704,2710.0,0.9977859778597786
251207,4043,4052.0,0.9977788746298124
250600,27611,27673.0,0.9977595490188993
312290,3559,3567.0,0.9977572189514998
353090,2224,2229.0,0.9977568416330193
241080,3980,3989.0,0.997743795437453
350075,2628,2634.0,0.9977220956719818
293100,21432,21481.0,0.9977189143894605
250120,6554,6569.0,0.9977165474196986
290685,13020,13050.0,0.9977011494252873
350020,2595,2601.0,0.9976931949250288
220590,6030,6044.0,0.9976836532097948
411030,2578,2584.0,0.9976780185758514
290880,5116,5128.0,0.9976599063962559
521390,2557,2563.0,0.9976589933671479
241430,2550,2556.0,0.9976525821596244
352200,1269,1272.0,0.9976415094339622
312125,7474,7492.0,0.9975974372664175
241180,3722,3731.0,0.997587778075583
270330,15680,15718.0,0.9975823896169996
313100,4923,4935.0,0.9975683890577508
251740,2445,2451.0,0.9975520195838433
312500,4055,4065.0,0.997539975399754
280160,4861,4873.0,0.9975374512620562
250950,6067,6082.0,0.9975337060177574
353570,2423,2429.0,0.9975298476739399
310440,2421,2427.0,0.9975278121137207
521550,6414,6430.0,0.9975116640746501
290610,8796,8818.0,0.9975051031980041
411260,1189,1192.0,0.99748322147651
350510,4726,4738.0,0.9974672857745884
230360,11365,11394.0,0.9974548007723363
261153,6953,6971.0,0.9974178740496342
420840,2312,2318.0,0.997411561691113
355420,2309,2315.0,0.9974082073434125
353380,1143,1146.0,0.9973821989528796
110060,3427,3436.0,0.9973806752037253
250770,14796,14835.0,0.9973710819009101
510100,2653,2660.0,0.9973684210526316
230480,5630,5645.0,0.9973427812223207
310370,4487,4499.0,0.9973327406090242
314537,4454,4466.0,0.9973130317957905
260100,12160,12193.0,0.9972935290740589
316980,3308,3317.0,0.9972867048537836
240910,12487,12521.0,0.9972845619359476
314437,3298,3307.0,0.9972785001511945
241020,7594,7615.0,0.9972422849638871
280067,27084,27159.0,0.9972384844802827
292660,39323,39432.0,0.9972357476161493
354840,3232,3241.0,0.9972230792965134
260500,22604,22667.0,0.9972206291083955
311040,1072,1075.0,0.9972093023255814
261120,15006,15048.0,0.9972089314194578
260670,8462,8486.0,0.997171812396889
220780,21457,21518.0,0.9971651640487034
312190,3080,3089.0,0.9970864357397216
411575,7466,7488.0,0.9970619658119658
290530,17636,17688.0,0.9970601537765716
230426,9786,9815.0,0.997045338767193
351560,2013,2019.0,0.9970282317979198
260910,13010,13049.0,0.9970112652310522
355360,4982,4997.0,0.9969981989193516
320300,16935,16986.0,0.9969975273754857
241355,4942,4957.0,0.9969739761952794
352580,2953,2962.0,0.9969615124915597
320013,7810,7834.0,0.9969364309420475
230523,61120,61308.0,0.9969335160174855
312170,3241,3251.0,0.9969240233774224
412535,2916,2925.0,0.9969230769230769
313390,2891,2900.0,0.9968965517241379
315500,1915,1921.0,0.9968766267568975
310180,7652,7676.0,0.9968733715476811
320410,18008,18065.0,0.9968447273733739
110005,9459,9489.0,0.9968384445147013
316270,14001,14046.0,0.9967962409226826
260540,29724,29820.0,0.9967806841046277
290327,15407,15457.0,0.9967652196415864
240280,5853,5872.0,0.9967643051771117
314550,2769,2778.0,0.9967602591792657
260340,8278,8305.0,0.9967489464178206
293080,16442,16496.0,0.9967264791464597
410330,5473,5491.0,0.9967219085776725
420740,1821,1827.0,0.9967159277504105
411220,3641,3653.0,0.9967150287434985
220105,7260,7284.0,0.9967051070840197
314580,1792,1798.0,0.996662958843159
310375,3273,3284.0,0.9966504263093788
313450,2676,2685.0,0.9966480446927374
320016,10699,10735.0,0.9966464834653004
170035,5307,5325.0,0.9966197183098592
430150,2063,2070.0,0.9966183574879227
310320,1762,1768.0,0.996606334841629
320200,4989,5006.0,0.9966040751098681
311670,6134,6155.0,0.9965881397238018
260390,16936,16994.0,0.9965870307167235
430070,2332,2340.0,0.9965811965811966
220935,3755,3768.0,0.9965498938428875
352130,7447,7473.0,0.9965208082430081
354610,1702,1708.0,0.9964871194379391
250620,3397,3409.0,0.9964799061308302
355490,3380,3392.0,0.9964622641509434
411640,1678,1684.0,0.996437054631829
260350,23765,23850.0,0.9964360587002097
310945,5029,5047.0,0.9964335248662571
431040,3341,3353.0,0.9964211154190278
330450,6103,6125.0,0.9964081632653061
310640,5824,5845.0,0.9964071856287425
292560,16831,16892.0,0.9963888231115321
315870,1648,1654.0,0.9963724304715841
313055,6857,6882.0,0.9963673350770125
240700,8502,8533.0,0.9963670455877183
316010,2460,2469.0,0.9963547995139733
231230,36322,36455.0,0.9963516664380744
355365,1357,1362.0,0.9963289280469897
251394,2442,2451.0,0.996328029375765
315130,6713,6738.0,0.9962897002077767
353120,1872,1879.0,0.9962746141564662
314980,8005,8035.0,0.9962663347853142
230270,26408,26507.0,0.9962651375108462
230427,6393,6417.0,0.9962599345488546
