cod_municipio,piso_total,familias_cadastradas,piso_porcentagem
110001,9048,14809.0,0.6109798095752583
110002,34248,51741.0,0.6619122166173828
110003,1938,2731.0,0.7096301720981325
110004,38313,52768.0,0.726065039417829
110005,5371,9489.0,0.5660238170513225
110006,3826,5313.0,0.7201204592508941
110007,1754,4542.0,0.3861734918538089
110008,4221,12900.0,0.3272093023255814
110009,9016,16739.0,0.5386223788756795
110010,14498,30574.0,0.4741937594034147
110011,20116,28567.0,0.7041691462176637
110012,49564,65903.0,0.7520750193466155
110013,10669,21458.0,0.4972038400596514
110014,8007,14338.0,0.5584460873204073
110015,15543,22800.0,0.6817105263157894
110018,11514,16993.0,0.6775731183428471
110020,137024,352254.0,0.38899203415717065
110025,9979,17764.0,0.561754109434812
110026,1054,2112.0,0.4990530303030303
110028,20312,27769.0,0.7314631423529836
110029,3864,5779.0,0.6686277902751341
110030,33826,52806.0,0.6405711472181191
110032,9160,13824.0,0.6626157407407407
110033,8251,17731.0,0.4653431842535672
110034,6470,11733.0,0.551436120344328
110037,3229,5776.0,0.5590373961218836
110040,6204,10813.0,0.5737538148524923
110045,6801,16786.0,0.4051590611223639
110050,3698,6348.0,0.5825456836798992
110060,1726,3436.0,0.5023282887077998
110070,2643,5682.0,0.4651531151003168
110080,7533,24241.0,0.3107545068272761
110090,1013,2196.0,0.4612932604735883
110092,2615,5047.0,0.5181295819298594
110094,4242,10365.0,0.4092619392185239
110100,3415,6579.0,0.5190758473932209
110110,1809,6614.0,0.2735107348049592
110120,3306,4910.0,0.6733197556008147
110130,5530,10100.0,0.5475247524752476
110140,4827,9157.0,0.5271377088566124
110143,3114,5228.0,0.5956388676358072
110145,2005,3504.0,0.572203196347032
110146,905,1918.0,0.47184567257559956
110147,1841,2906.0,0.6335168616655196
110148,2385,3528.0,0.6760204081632653
110149,6015,12735.0,0.4723203769140165
110150,4960,9139.0,0.5427289637815954
110155,2200,3118.0,0.7055805003207184
110160,3201,5334.0,0.6001124859392576
110170,5431,7722.0,0.7033152033152034
110175,4654,7929.0,0.5869592634632362
110180,3189,4860.0,0.6561728395061729
120001,11917,13057.0,0.9126905108370988
120005,6941,7332.0,0.9466721222040371
120010,19733,23274.0,0.8478559766262782
120013,8690,9380.0,0.9264392324093816
120017,11071,11399.0,0.9712255461005351
120020,56100,59213.0,0.9474270852684377
120025,12925,14114.0,0.9157574039960323
120030,17112,23112.0,0.7403946002076843
120032,4695,6348.0,0.7396030245746692
120033,14805,16220.0,0.9127620221948212
120034,10146,10800.0,0.9394444444444444
120035,14530,15492.0,0.9379034340304674
120038,11802,12140.0,0.972158154859967
120039,6889,7475.0,0.9216053511705685
120040,193628,232237.0,0.8337517277608649
120042,12556,13088.0,0.9593520782396088
120043,4309,5483.0,0.7858836403428779
120045,15813,22436.0,0.7048047780353004
120050,34425,37067.0,0.9287236625569913
120060,35195,36763.0,0.9573484209667329
120070,12390,12934.0,0.9579403123550333
120080,17998,20929.0,0.8599550862439677
130002,9936,12429.0,0.7994207096307024
130006,4652,9541.0,0.48757991824756314
130008,6861,9869.0,0.695207214510082
130010,10438,16403.0,0.6363470096933488
130014,6744,14771.0,0.45657030668201204
130020,5261,10216.0,0.5149765074393109
130030,30756,60099.0,0.5117556032546299
130040,6267,14844.0,0.4221907841552142
130050,13031,26942.0,0.4836686214831861
130060,20052,27081.0,0.7404453306746427
130063,19474,23526.0,0.8277650259287597
130068,7217,14092.0,0.5121345444223673
130070,13860,27699.0,0.5003790750568613
130080,17776,28417.0,0.6255410493718548
130083,6013,10539.0,0.5705474902742196
130090,14935,15475.0,0.9651050080775444
130100,25264,27626.0,0.914500832549048
130110,18935,33109.0,0.5718988794587574
130115,15376,18969.0,0.8105856924455691
130120,38878,61559.0,0.6315567179453857
130130,13582,22027.0,0.6166068915421982
130140,23281,26533.0,0.8774356461764595
130150,10123,14397.0,0.7031325970688338
130160,6537,24239.0,0.2696893436197863
130165,9839,12353.0,0.7964866833967458
130170,33960,53243.0,0.6378303251131604
130180,15205,16116.0,0.9434723256391164
130185,24084,76096.0,0.31649495374264086
130190,46378,78126.0,0.5936308015257404
130195,6769,9118.0,0.742377714411055
130200,5305,11414.0,0.4647800946206413
130210,2846,5919.0,0.48082446359182296
130220,6547,9598.0,0.6821212752656803
130230,15592,18699.0,0.8338413818920798
130240,48324,54287.0,0.8901578646821523
130250,37137,97388.0,0.38133034870825977
130255,14263,18564.0,0.7683150183150184
130260,616693,1409365.0,0.4375679827440017
130270,23622,36739.0,0.6429679631998694
130280,5459,13858.0,0.39392408716986577
130290,31864,65298.0,0.48797819228766576
130300,10327,18576.0,0.5559323858742463
130310,17981,32614.0,0.5513276507021525
130320,6740,12876.0,0.5234544889717303
130330,9984,16928.0,0.5897920604914934
130340,33047,94186.0,0.35086955598496594
130350,9421,13829.0,0.6812495480511968
130353,12737,29852.0,0.42667157979364867
130356,9514,21294.0,0.44679252371560063
130360,1874,10986.0,0.17058073912251956
130370,13109,18537.0,0.7071802341263419
130380,2540,28621.0,0.08874602564550504
130390,24067,26966.0,0.8924942520210636
130395,4930,9277.0,0.5314217958391722
130400,5181,10765.0,0.48128193218764515
130406,18570,43531.0,0.42659254324504375
130410,14551,16564.0,0.8784713837237382
130420,40506,57003.0,0.7105941792537235
130423,10258,16122.0,0.6362734152090311
130426,8245,11780.0,0.6999151103565365
130430,8117,18722.0,0.43355410746715095
130440,10485,22042.0,0.47568278740586156
140002,713,9223.0,0.0773067331670823
140005,898,12322.0,0.07287777958123681
140010,99972,197067.0,0.5072995478695063
140015,1452,20394.0,0.07119741100323625
140017,2645,22165.0,0.1193322806226032
140020,3848,21506.0,0.17892681112247744
140023,1885,10478.0,0.17990074441687345
140028,1205,7690.0,0.15669700910273082
140030,2254,24108.0,0.09349593495934959
140040,354,10792.0,0.03280207561156412
140045,1876,13802.0,0.13592233009708737
140047,5292,23157.0,0.22852701127089
140050,1203,6623.0,0.18163974029895819
140060,854,8339.0,0.1024103609545509
140070,66,7534.0,0.00876028670029201
150010,81399,198003.0,0.41109983182073
150013,794,8318.0,0.09545563837460928
150020,43405,57717.0,0.7520314638667983
150030,12007,34534.0,0.34768633810158106
150034,3942,16492.0,0.2390249818093621
150040,14589,60905.0,0.23953698382727198
150050,20171,29833.0,0.6761304595582074
150060,49526,90123.0,0.5495378538219988
150070,28583,33102.0,0.8634825690290617
150080,232082,348083.0,0.6667432767472126
150085,6797,36831.0,0.1845456273248079
150090,5092,47775.0,0.10658294086865515
150095,7629,27766.0,0.27476049845134337
150100,2711,10996.0,0.24654419789014187
150110,14910,17314.0,0.8611528243040314
150120,5064,30114.0,0.16816098824467024
150125,289,3334.0,0.08668266346730653
150130,55543,93200.0,0.5959549356223176
150140,706780,1141041.0,0.6194168307711992
150145,5262,15430.0,0.3410239792611795
150150,31211,68596.0,0.45499737594028805
150157,4460,13525.0,0.32975970425138634
150160,3013,15375.0,0.19596747967479675
150170,36630,109230.0,0.33534743202416917
150172,8480,21857.0,0.3879763920025621
150175,1348,7427.0,0.18149993267806652
150178,16178,47867.0,0.3379781477844862
150180,59173,108640.0,0.544670471281296
150190,9732,29296.0,0.332195521572911
150195,2602,19486.0,0.13353176639638714
150200,8982,21931.0,0.4095572477315216
