cod_municipio,sanitario_total,familias_cadastradas,sanitario_porcentagem
110001,567,14809.0,0.038287527854682965
110002,3209,51741.0,0.06202044800061846
110003,485,2731.0,0.1775906261442695
110004,36687,52768.0,0.6952509096422074
110005,1895,9489.0,0.19970492148803878
110006,263,5313.0,0.049501223414266896
110007,603,4542.0,0.13276089828269486
110008,6127,12900.0,0.4749612403100775
110009,832,16739.0,0.0497042834100006
110010,21387,30574.0,0.699515928566756
110011,302,28567.0,0.010571638603983618
110012,9621,65903.0,0.1459872843421392
110013,350,21458.0,0.016310932985366764
110014,454,14338.0,0.03166410935974334
110015,1614,22800.0,0.07078947368421053
110018,457,16993.0,0.02689342670511387
110020,88031,352254.0,0.24990773703066538
110025,4820,17764.0,0.2713352848457555
110026,832,2112.0,0.3939393939393939
110028,7299,27769.0,0.262847059670856
110029,132,5779.0,0.022841322028032532
110030,2399,52806.0,0.045430443510207176
110032,234,13824.0,0.016927083333333332
110033,3986,17731.0,0.22480401556595792
110034,9092,11733.0,0.7749083780789227
110037,95,5776.0,0.01644736842105263
110040,95,10813.0,0.008785720891519468
110045,2484,16786.0,0.1479804599070654
110050,651,6348.0,0.10255198487712665
110060,572,3436.0,0.16647264260768335
110070,546,5682.0,0.09609292502639916
110080,14326,24241.0,0.5909822202054371
110090,1011,2196.0,0.4603825136612022
110092,838,5047.0,0.16603923122647118
110094,2095,10365.0,0.20212252773757838
110100,295,6579.0,0.044839641282869734
110110,1810,6614.0,0.2736619292410039
110120,835,4910.0,0.17006109979633402
110130,946,10100.0,0.09366336633663366
110140,39,9157.0,0.004259036802446216
110143,2746,5228.0,0.5252486610558531
110145,904,3504.0,0.2579908675799087
110146,161,1918.0,0.08394160583941605
110147,1034,2906.0,0.3558155540261528
110148,18,3528.0,0.00510204081632653
110149,1378,12735.0,0.10820573223400079
110150,451,9139.0,0.04934894408578619
110155,408,3118.0,0.1308531109685696
110160,279,5334.0,0.05230596175478065
110170,4,7722.0,0.000518000518000518
110175,69,7929.0,0.00870223231176693
110180,771,4860.0,0.15864197530864196
120001,9563,13057.0,0.7324040744428276
120005,3121,7332.0,0.4256683033278778
120010,13207,23274.0,0.5674572484317264
120013,2140,9380.0,0.2281449893390192
120017,729,11399.0,0.06395297833143258
120020,3361,59213.0,0.05676118419941567
120025,8322,14114.0,0.589627320391101
120030,2013,23112.0,0.08709761163032191
120032,898,6348.0,0.1414618777567738
120033,4257,16220.0,0.26245376078914917
120034,1475,10800.0,0.13657407407407407
120035,72,15492.0,0.004647560030983733
120038,6128,12140.0,0.5047775947281713
120039,1358,7475.0,0.18167224080267558
120040,179754,232237.0,0.7740110318338593
120042,299,13088.0,0.022845354523227383
120043,679,5483.0,0.12383731533831843
120045,10400,22436.0,0.463540738099483
120050,13033,37067.0,0.3516065503008067
