cod_municipio,doencas_infecciosas,populacao,doencas_infecciosas_100k
1100015,7,22728,30.799014431538193
1100023,227,109523,207.26240150470676
1100031,5,5188,96.37625289128759
1100049,339,85893,394.67709825014845
1100056,3,16204,18.5139471735374
1100064,3,15544,19.30005146680391
1100072,2,7220,27.70083102493075
1100080,2,18798,10.639429726566656
1100098,5,32695,15.292858235204159
1100106,58,46556,124.58114958329753
1100114,34,51620,65.865943432778
1100122,154,130009,118.45333784584143
1100130,5,40867,12.23481048278562
1100148,2,20489,9.761335350675973
1100155,35,35737,97.93771161541261
1100189,10,36881,27.114232260513543
1100205,2114,539354,391.95037025775275
1100254,5,18571,26.923698239190134
1100288,12,55407,21.657913260057395
1100304,155,102211,151.64708299498096
1100320,6,23077,25.999913333622224
1100338,5,31392,15.927624872579
1100346,1,14106,7.08918190840777
1100379,2,13255,15.088645794039985
1100403,2,21847,9.154574998855677
1100452,13,40356,32.21330161562097
1100700,3,14266,21.029020047665778
1100809,3,27388,10.95370235139477
1100908,1,2987,33.47840642785403
1100924,2,11472,17.433751743375172
1100940,2,26183,7.63854409349578
1101005,1,7445,13.43183344526528
1101104,2,10641,18.7952260125928
1101302,2,10818,18.487705675725643
1101401,2,16007,12.494533641531829
1101435,1,6895,14.5032632342277
1101484,1,5066,19.739439399921043
1101492,5,20681,24.176780619892657
1101609,4,10395,38.48003848003848
1101708,3,11272,26.614620298083747
1200054,3,7534,39.819485001327315
1200104,30,26702,112.35113474646094
1200179,1,12008,8.327781479013991
1200203,246,89072,276.1810670019759
1200252,1,18696,5.348737697903295
1200302,14,34884,40.13301226923518
1200328,1,8473,11.802195208308746
1200336,4,19311,20.713582932007665
1200344,2,9581,20.874647740319382
1200393,2,12241,16.338534433461316
1200401,1187,413418,287.1186063499896
1200435,3,6717,44.662795891022775
1200450,5,23236,21.518333620244448
1200500,11,46511,23.65031927931027
1200609,22,43151,50.983754721790916
1200708,10,19596,51.03082261686059
1300029,24,16220,147.96547472256475
1300060,18,11736,153.37423312883436
1300086,1,13956,7.165376898824879
1300102,21,21477,97.77901941611957
1300144,18,22359,80.50449483429492
1300201,10,20398,49.02441415825081
1300300,47,40290,116.6542566393646
1300409,39,27638,141.11006585136408
1300508,20,32483,61.57066773389158
1300607,68,43935,154.7740980994651
1300631,15,20093,74.65286418155576
1300680,7,19626,35.66697238357281
1300706,18,34635,51.9705500216544
