cod_municipio,obitos_acidentes,pop_2021,obitos_acidentes_100k
1100031,1,5188,19.275250578257516
1100122,6,130009,4.615065110876939
1100205,9,539354,1.6686628818920413
1100452,2,40356,4.95589255624938
1100940,2,26183,7.63854409349578
1101302,4,10818,36.975411351451285
1101435,1,6895,14.5032632342277
1200104,1,26702,3.7450378248820315
1400159,2,12557,15.927371187385521
1400308,2,18172,11.00594320933304
1500107,2,159080,1.2572290671360322
1500347,2,27615,7.242440702516748
1500602,19,115969,16.383688744405834
1500859,1,28607,3.4956479183416644
1501451,3,17839,16.81708615953809
1501725,1,14983,6.674230794900888
1502152,7,38103,18.371256856415506
1502772,4,17846,22.41398632746834
1502954,5,33940,14.731879787860931
1503044,2,20525,9.7442143727162
1504752,1,16184,6.1789421651013345
1504802,7,58162,12.035349540937382
1505502,2,114503,1.746679126311101
1505536,13,213576,6.086826235157508
1505908,1,41801,2.392287265854884
1506195,2,51500,3.883495145631068
1506807,8,306480,2.6102845210127903
1507409,1,15930,6.277463904582548
1508050,1,19168,5.217028380634391
1508159,3,45435,6.602839220864972
1702406,1,10534,9.493070058857034
1713601,2,8066,24.795437639474336
1714203,1,9250,10.81081081081081
1715150,2,2332,85.76329331046313
1716208,2,10437,19.162594615310912
1717909,4,8116,49.28536224741252
1718204,2,53316,3.7512191462225224
1718899,1,2386,41.911148365465216
1718907,1,4846,20.635575732562938
1720655,1,5428,18.422991893883566
2100907,2,46771,4.276154027068055
2101202,4,104790,3.8171581257753604
2101400,3,95929,3.1273129085052487
2101608,3,88492,3.390136961533246
2101707,2,63217,3.163705965167597
2101939,2,6073,32.932652725177014
2102150,2,9014,22.18770800976259
2102309,2,23939,8.354567859977443
2102408,3,11216,26.74750356633381
2102754,4,10935,36.57978966620942
2103158,2,13670,14.630577907827359
2104107,3,12647,23.72104056297936
2104404,1,17944,5.572893446277307
2105708,2,50616,3.951319740793425
2106326,2,21586,9.26526452330214
2106375,2,16511,12.113136696747622
2107308,4,4682,85.43357539513029
2107407,2,19561,10.224426154082103
2107803,1,35008,2.856489945155393
2108009,2,19583,10.21293979471991
2108405,2,14345,13.94214011850819
2108900,1,17595,5.683432793407218
2109007,4,24092,16.603021749958494
2109908,1,89489,1.1174557766876376
2111706,1,22350,4.47427293064877
2112209,2,170222,1.174936259707911
2200707,5,9938,50.3119339907426
2207702,1,153482,0.6515422003883191
2210607,1,34877,2.8672190842102245
2300150,7,15036,46.554934823091244
2300606,3,7650,39.21568627450981
2301000,6,80935,7.413356397108791
2301109,1,74975,1.333777925975325
2301208,1,26535,3.7686074995289243
2301307,10,21654,46.18084418583172
2301604,4,23478,17.03722633955192
2301703,2,24610,8.126777732629012
2301901,17,61228,27.765074802377995
2301950,2,22573,8.860142648296637
2302008,5,22758,21.97029615959223
2302206,4,53949,7.414409905651634
2302503,13,49842,26.082420448617633
2302701,5,27470,18.20167455405897
2303204,8,26987,29.643902619779894
2303501,5,72232,6.922139771846273
2303709,20,365212,5.476271316386099
2303956,2,20274,9.864851533984414
2304202,19,133031,14.282385308687449
2304236,1,18133,5.514807257486351
2304285,7,54337,12.882566207188471
2304301,7,19389,36.10294496879674
2304400,166,2686612,6.178785771819674
2304657,2,14407,13.882140626084542
2304954,2,26290,7.607455306200076
2305001,1,40784,2.4519419380149077
2305233,6,68529,8.755417414525237
2306256,6,38325,15.655577299412915
2306306,1,53067,1.8844102738048127
