cod_municipio_6,nascidos_vivos,obitos_5_anos,obitos_5_anos_1k
110001,356,3.0,8.426966292134832
110002,1544,74.0,47.92746113989637
110003,65,2.0,30.76923076923077
110004,1360,72.0,52.94117647058823
110005,249,0.0,0.0
110006,225,0.0,0.0
110007,118,0.0,0.0
110008,190,4.0,21.052631578947366
110009,485,0.0,0.0
110010,833,22.0,26.410564225690276
110011,902,5.0,5.543237250554324
110012,1959,59.0,30.117406840224604
110013,452,2.0,4.424778761061947
110014,232,0.0,0.0
110015,529,45.0,85.06616257088847
110018,570,22.0,38.59649122807018
110020,7494,1160.0,154.79049906591942
110025,244,0.0,0.0
110026,48,0.0,0.0
110028,808,14.0,17.32673267326733
110029,77,0.0,0.0
110030,1608,39.0,24.253731343283583
110032,341,1.0,2.932551319648094
110033,468,0.0,0.0
110034,198,0.0,0.0
110037,143,0.0,0.0
110040,222,0.0,0.0
110045,540,4.0,7.407407407407407
110050,84,0.0,0.0
110060,60,0.0,0.0
110070,132,0.0,0.0
110080,346,3.0,8.670520231213873
110090,37,0.0,0.0
110092,150,0.0,0.0
110094,241,2.0,8.298755186721992
110100,105,0.0,0.0
110110,119,0.0,0.0
110120,64,0.0,0.0
110130,150,6.0,40.0
110140,175,0.0,0.0
110143,84,1.0,11.904761904761903
110145,40,0.0,0.0
110146,42,0.0,0.0
110147,40,0.0,0.0
110148,44,0.0,0.0
110149,282,10.0,35.46099290780142
110150,179,0.0,0.0
110155,49,0.0,0.0
110160,81,2.0,24.691358024691358
110170,157,0.0,0.0
110175,74,0.0,0.0
110180,71,0.0,0.0
120001,250,0.0,0.0
120005,267,3.0,11.235955056179774
120010,522,14.0,26.819923371647512
120013,248,0.0,0.0
120017,213,0.0,0.0
120020,1783,158.0,88.6146943353898
120025,301,0.0,0.0
120030,872,48.0,55.04587155963303
120032,294,7.0,23.809523809523807
120033,376,0.0,0.0
120034,274,2.0,7.299270072992701
120035,440,8.0,18.18181818181818
120038,278,1.0,3.5971223021582737
120039,329,3.0,9.11854103343465
120040,5631,719.0,127.68602379683894
120042,333,0.0,0.0
120043,178,5.0,28.089887640449437
120045,386,0.0,0.0
120050,756,4.0,5.291005291005291
120060,1170,50.0,42.73504273504273
120070,326,8.0,24.539877300613497
120080,352,0.0,0.0
