cod_municipio,pop_2021,obitos_covid,obitos_covid_1k
1100015,22728,5.0,0.2199929602252728
1100023,109523,217.0,1.9813189923577694
1100031,5188,5.0,0.963762528912876
1100049,85893,305.0,3.5509296450234595
1100056,16204,2.0,0.12342631449024932
1100064,15544,2.0,0.12866700977869275
1100072,7220,0.0,0.0
1100080,18798,2.0,0.10639429726566656
1100098,32695,3.0,0.09175714941122495
1100106,46556,54.0,1.1598934616375978
1100114,51620,34.0,0.65865943432778
1100122,130009,141.0,1.0845403010560808
1100130,40867,5.0,0.12234810482785621
1100148,20489,1.0,0.048806676753379866
1100155,35737,30.0,0.8394660995606794
1100189,36881,9.0,0.2440280903446219
1100205,539354,1938.0,3.5931874056741955
1100254,18571,3.0,0.16154218943514081
1100262,3804,0.0,0.0
1100288,55407,9.0,0.16243434945043048
1100296,6216,0.0,0.0
1100304,102211,143.0,1.3990666366633728
1100320,23077,6.0,0.2599991333362222
1100338,31392,3.0,0.095565749235474
1100346,14106,1.0,0.0708918190840777
1100379,13255,1.0,0.07544322897019992
1100403,21847,2.0,0.09154574998855677
1100452,40356,11.0,0.27257409059371596
1100502,8329,0.0,0.0
1100601,6269,0.0,0.0
1100700,14266,3.0,0.21029020047665778
1100809,27388,3.0,0.10953702351394771
1100908,2987,1.0,0.33478406427854035
1100924,11472,2.0,0.17433751743375173
1100940,26183,0.0,0.0
1101005,7445,0.0,0.0
1101104,10641,0.0,0.0
1101203,9559,0.0,0.0
1101302,10818,0.0,0.0
1101401,16007,2.0,0.1249453364153183
1101435,6895,1.0,0.145032632342277
1101450,6198,0.0,0.0
1101468,2148,0.0,0.0
1101476,2776,0.0,0.0
1101484,5066,1.0,0.1973943939992104
1101492,20681,5.0,0.24176780619892657
1101500,11851,0.0,0.0
1101559,4233,0.0,0.0
1101609,10395,2.0,0.1924001924001924
1101708,11272,2.0,0.177430801987225
1101757,11377,0.0,0.0
1101807,6656,0.0,0.0
1200013,15490,0.0,0.0
1200054,7534,3.0,0.39819485001327315
1200104,26702,27.0,1.0111602127181485
1200138,10420,0.0,0.0
1200179,12008,0.0,0.0
1200203,89072,222.0,2.4923657266031976
1200252,18696,1.0,0.05348737697903295
1200302,34884,10.0,0.2866643733516799
1200328,8473,0.0,0.0
1200336,19311,4.0,0.20713582932007665
1200344,9581,0.0,0.0
1200351,19299,0.0,0.0
1200385,19955,0.0,0.0
1200393,12241,1.0,0.08169267216730658
1200401,413418,1042.0,2.5204514559114504
1200427,19351,0.0,0.0
1200435,6717,0.0,0.0
1200450,23236,3.0,0.1291100017214667
1200500,46511,6.0,0.12900174152351057
1200609,43151,14.0,0.3244420755023058
1200708,19596,8.0,0.4082465809348847
1200807,18824,0.0,0.0
1300029,16220,23.0,1.4180024660912456
1300060,11736,15.0,1.278118609406953
1300086,13956,1.0,0.07165376898824878
1300102,21477,17.0,0.7915444428923966
1300144,22359,12.0,0.5366966322286327
1300201,20398,2.0,0.09804882831650162
1300300,40290,40.0,0.9928021841648053
1300409,27638,35.0,1.2663723858455749
1300508,32483,18.0,0.5541360096050242
