cod_municipio_6,obitos_gravidez,nascidos_vivos,obitos_gravidez_100k
110001,1.0,356,280.8988764044944
110002,0.0,1544,0.0
110003,0.0,65,0.0
110004,0.0,1360,0.0
110005,0.0,249,0.0
110006,0.0,225,0.0
110007,0.0,118,0.0
110008,0.0,190,0.0
110009,0.0,485,0.0
110010,1.0,833,120.04801920768307
110011,0.0,902,0.0
110012,1.0,1959,51.04645227156713
110013,0.0,452,0.0
110014,0.0,232,0.0
110015,0.0,529,0.0
110018,0.0,570,0.0
110020,6.0,7494,80.0640512409928
110025,0.0,244,0.0
110026,0.0,48,0.0
110028,1.0,808,123.76237623762377
110029,0.0,77,0.0
110030,1.0,1608,62.18905472636816
110032,0.0,341,0.0
110033,0.0,468,0.0
110034,0.0,198,0.0
110037,0.0,143,0.0
110040,0.0,222,0.0
110045,0.0,540,0.0
110050,0.0,84,0.0
110060,0.0,60,0.0
110070,0.0,132,0.0
110080,0.0,346,0.0
110090,0.0,37,0.0
110092,0.0,150,0.0
110094,0.0,241,0.0
110100,0.0,105,0.0
110110,0.0,119,0.0
110120,0.0,64,0.0
110130,0.0,150,0.0
110140,0.0,175,0.0
110143,0.0,84,0.0
110145,0.0,40,0.0
110146,0.0,42,0.0
110147,0.0,40,0.0
110148,0.0,44,0.0
110149,0.0,282,0.0
110150,0.0,179,0.0
110155,0.0,49,0.0
110160,0.0,81,0.0
110170,0.0,157,0.0
110175,0.0,74,0.0
110180,0.0,71,0.0
120001,0.0,250,0.0
120005,0.0,267,0.0
120010,0.0,522,0.0
120013,0.0,248,0.0
120017,0.0,213,0.0
120020,1.0,1783,56.08524957936063
120025,0.0,301,0.0
120030,0.0,872,0.0
120032,0.0,294,0.0
120033,0.0,376,0.0
120034,0.0,274,0.0
120035,0.0,440,0.0
120038,0.0,278,0.0
120039,0.0,329,0.0
120040,3.0,5631,53.27650506126798
120042,0.0,333,0.0
120043,0.0,178,0.0
120045,0.0,386,0.0
120050,0.0,756,0.0
120060,0.0,1170,0.0
120070,0.0,326,0.0
120080,0.0,352,0.0
130002,0.0,445,0.0
130006,1.0,285,350.87719298245617
130008,0.0,180,0.0
130010,0.0,261,0.0
130014,1.0,284,352.11267605633805
130020,1.0,270,370.3703703703704
130030,0.0,948,0.0
130040,0.0,506,0.0
130050,0.0,936,0.0
130060,0.0,1054,0.0
130063,0.0,589,0.0
130068,0.0,297,0.0
130070,0.0,772,0.0
130080,0.0,886,0.0
130083,1.0,201,497.5124378109453
130090,0.0,197,0.0
130100,0.0,684,0.0
130110,0.0,619,0.0
130115,0.0,216,0.0
130120,0.0,1622,0.0
130130,0.0,490,0.0
130140,0.0,728,0.0
130150,0.0,365,0.0
130160,0.0,678,0.0
130165,0.0,338,0.0
130170,0.0,1123,0.0
130180,0.0,402,0.0
130185,0.0,927,0.0
130190,1.0,2042,48.97159647404506
130195,0.0,295,0.0
130200,0.0,208,0.0
130210,0.0,174,0.0
130220,0.0,208,0.0
130230,0.0,680,0.0
130240,1.0,881,113.50737797956867
130250,0.0,2259,0.0
130255,0.0,255,0.0
130260,32.0,36686,87.22673499427574
130270,0.0,1009,0.0
130280,0.0,448,0.0
130290,1.0,1513,66.09385327164574
130300,0.0,348,0.0
130310,1.0,640,156.25
130320,0.0,301,0.0
130330,0.0,436,0.0
130340,0.0,2038,0.0
130350,0.0,422,0.0
130353,0.0,598,0.0
130356,0.0,417,0.0
130360,1.0,368,271.7391304347826
130370,1.0,821,121.8026796589525
130380,1.0,1581,63.25110689437065
130390,0.0,988,0.0
130395,0.0,203,0.0
130400,0.0,208,0.0
130406,3.0,1804,166.29711751662973
130410,0.0,466,0.0
130420,2.0,1866,107.18113612004288
130423,0.0,445,0.0
130426,0.0,387,0.0
130430,0.0,265,0.0
130440,0.0,379,0.0
140002,0.0,435,0.0
140005,0.0,767,0.0
140010,7.0,8069,86.75176601809395
140015,0.0,429,0.0
140017,0.0,416,0.0
140020,1.0,421,237.52969121140143
140023,0.0,210,0.0
140028,0.0,142,0.0
140030,0.0,367,0.0
140040,0.0,474,0.0
140045,0.0,606,0.0
140047,0.0,561,0.0
140050,0.0,138,0.0
140060,0.0,102,0.0
140070,0.0,692,0.0
150010,0.0,2757,0.0
150013,0.0,130,0.0
150020,1.0,955,104.71204188481676
150030,0.0,1045,0.0
150034,0.0,207,0.0
150040,2.0,1130,176.99115044247787
150050,1.0,791,126.42225031605562
150060,4.0,2172,184.1620626151013
150070,1.0,853,117.23329425556858
150080,3.0,6761,44.37213429965981
150085,0.0,639,0.0
150090,0.0,888,0.0
150095,0.0,407,0.0
150100,0.0,184,0.0
150110,0.0,567,0.0
150120,1.0,590,169.4915254237288
150125,0.0,53,0.0
150130,1.0,2260,44.24778761061947
150140,25.0,16754,149.21809717082488
150145,0.0,286,0.0
150150,0.0,931,0.0
150157,0.0,283,0.0
150160,0.0,193,0.0
150170,2.0,2127,94.02914903620122
150172,0.0,337,0.0
150175,0.0,112,0.0
150178,0.0,730,0.0
150180,0.0,2827,0.0
150190,0.0,411,0.0
150195,0.0,344,0.0
150200,0.0,309,0.0
150210,0.0,2513,0.0
150215,0.0,1425,0.0
150220,1.0,1053,94.9667616334283
150230,0.0,858,0.0
150240,1.0,3270,30.581039755351682
150250,1.0,403,248.13895781637717
150260,0.0,140,0.0
150270,0.0,736,0.0
150275,0.0,525,0.0
150276,0.0,212,0.0
150277,0.0,375,0.0
150280,0.0,720,0.0
150285,0.0,215,0.0
150290,0.0,515,0.0
150293,0.0,677,0.0
150295,0.0,477,0.0
150300,0.0,133,0.0
150304,0.0,323,0.0
150307,0.0,393,0.0
150309,0.0,566,0.0
150310,0.0,766,0.0
150320,0.0,530,0.0
150330,0.0,1111,0.0
150340,0.0,176,0.0
150345,0.0,636,0.0
150350,0.0,447,0.0
150360,0.0,2598,0.0
150370,0.0,769,0.0
150375,1.0,670,149.2537313432836
150380,2.0,686,291.5451895043732
150390,0.0,1126,0.0
150400,0.0,470,0.0
150405,0.0,521,0.0
150410,0.0,97,0.0
150420,7.0,4664,150.08576329331046
150430,0.0,393,0.0
150440,0.0,310,0.0
150442,0.0,1684,0.0
150445,0.0,452,0.0
150450,0.0,637,0.0
150460,0.0,522,0.0
150470,0.0,1331,0.0
150475,0.0,282,0.0
150480,0.0,1126,0.0
150490,0.0,684,0.0
150495,0.0,337,0.0
150497,0.0,192,0.0
150500,0.0,143,0.0
150503,0.0,717,0.0
150506,0.0,1279,0.0
150510,0.0,1041,0.0
150520,0.0,751,0.0
150530,0.0,1563,0.0
150540,0.0,284,0.0
150543,0.0,646,0.0
150548,0.0,747,0.0
150549,0.0,106,0.0
150550,0.0,1887,0.0
150553,1.0,5083,19.673421207948063
150555,0.0,119,0.0
150560,0.0,88,0.0
150563,0.0,184,0.0
150565,0.0,310,0.0
150570,0.0,330,0.0
150580,1.0,1663,60.132291040288635
150590,1.0,761,131.4060446780552
150600,0.0,770,0.0
150610,0.0,168,0.0
150611,0.0,146,0.0
150613,5.0,1689,296.0331557134399
150616,0.0,323,0.0
150618,0.0,595,0.0
150619,1.0,463,215.9827213822894
150620,1.0,737,135.68521031207598
150630,0.0,328,0.0
150635,0.0,325,0.0
150640,0.0,70,0.0
150650,0.0,923,0.0
150655,0.0,291,0.0
150658,0.0,198,0.0
150660,0.0,359,0.0
150670,0.0,676,0.0
150680,12.0,6787,176.80860468542804
150690,0.0,100,0.0
150700,0.0,416,0.0
150710,0.0,199,0.0
150715,0.0,382,0.0
150720,0.0,477,0.0
150730,1.0,1096,91.24087591240875
150740,0.0,247,0.0
150745,0.0,461,0.0
150746,0.0,81,0.0
150747,0.0,295,0.0
150750,0.0,222,0.0
150760,0.0,876,0.0
150770,0.0,568,0.0
150775,0.0,76,0.0
150780,0.0,295,0.0
150790,0.0,411,0.0
150795,0.0,1518,0.0
150796,0.0,177,0.0
150797,0.0,301,0.0
150800,0.0,1503,0.0
150803,0.0,450,0.0
150805,0.0,259,0.0
150808,1.0,741,134.9527665317139
150810,1.0,1647,60.71645415907711
150812,0.0,387,0.0
150815,1.0,788,126.90355329949239
150820,0.0,599,0.0
150830,1.0,1072,93.28358208955224
150835,0.0,336,0.0
150840,0.0,959,0.0
160005,0.0,94,0.0
160010,0.0,159,0.0
160015,0.0,329,0.0
160020,0.0,208,0.0
160021,0.0,117,0.0
160023,0.0,152,0.0
160025,0.0,156,0.0
160027,0.0,686,0.0
160030,10.0,8577,116.59088259298123
160040,0.0,574,0.0
160050,0.0,604,0.0
160053,0.0,388,0.0
160055,0.0,107,0.0
160060,0.0,2193,0.0
160070,0.0,332,0.0
160080,0.0,259,0.0
170025,0.0,30,0.0
170030,0.0,91,0.0
170035,0.0,66,0.0
170040,0.0,122,0.0
170070,0.0,127,0.0
170100,0.0,156,0.0
170105,0.0,33,0.0
170110,0.0,72,0.0
170130,0.0,64,0.0
170190,0.0,93,0.0
170200,0.0,94,0.0
170210,2.0,3041,65.76783952647156
170215,0.0,64,0.0
170220,0.0,458,0.0
170230,0.0,92,0.0
170240,0.0,135,0.0
170255,0.0,299,0.0
170270,0.0,28,0.0
170290,0.0,198,0.0
170300,0.0,92,0.0
170305,0.0,57,0.0
170307,0.0,93,0.0
170310,0.0,61,0.0
170320,0.0,50,0.0
170330,0.0,73,0.0
170360,0.0,30,0.0
170370,0.0,59,0.0
170380,0.0,146,0.0
170382,0.0,33,0.0
170384,0.0,170,0.0
170386,0.0,52,0.0
170388,0.0,36,0.0
170389,0.0,55,0.0
170390,0.0,85,0.0
170410,0.0,25,0.0
170460,0.0,13,0.0
170510,0.0,50,0.0
170550,0.0,588,0.0
170555,0.0,54,0.0
170560,0.0,57,0.0
170600,0.0,79,0.0
170610,0.0,76,0.0
170625,0.0,17,0.0
170650,0.0,110,0.0
170700,0.0,299,0.0
170710,0.0,104,0.0
170720,0.0,66,0.0
170730,0.0,57,0.0
170740,0.0,139,0.0
170755,0.0,49,0.0
170765,0.0,58,0.0
170770,0.0,93,0.0
170820,0.0,290,0.0
170825,0.0,57,0.0
170830,0.0,60,0.0
170900,0.0,206,0.0
170930,0.0,364,0.0
170950,4.0,1252,319.4888178913738
170980,0.0,25,0.0
171050,0.0,127,0.0
171070,0.0,66,0.0
171090,0.0,55,0.0
171110,0.0,38,0.0
171150,0.0,29,0.0
171180,0.0,37,0.0
171190,0.0,287,0.0
171195,0.0,63,0.0
171200,0.0,58,0.0
171215,0.0,17,0.0
171240,0.0,52,0.0
171245,0.0,44,0.0
171250,0.0,65,0.0
171270,0.0,39,0.0
171280,0.0,36,0.0
