cod_municipio,sub_nutricao,pop_2021,sub_nutricao_porcentagem
110001,1561,22728,0.06868180218233016
110002,3044,109523,0.027793248906622353
110003,745,5188,0.1436006168080185
110004,4826,85893,0.056186185137322014
110005,2176,16204,0.13428783016539125
110006,1941,15544,0.12487133299022131
110007,646,7220,0.08947368421052632
110008,1897,18798,0.10091499095648473
110009,2374,32695,0.07261049090074935
110010,3550,46556,0.07625225534839764
110011,3703,51620,0.07173576133281674
110012,7398,130009,0.056903752817112664
110013,1538,40867,0.03763427704504857
110014,1217,20489,0.05939772560886329
110015,1801,35737,0.05039594817695946
110018,2633,36881,0.07139177354193216
110020,19026,539354,0.03527553332319775
110025,1889,18571,0.10171773194766033
110026,538,3804,0.14143007360672977
110028,3318,55407,0.05988413016405869
110029,689,6216,0.11084298584298584
110030,7077,102211,0.06923912299067615
110032,1116,23077,0.04835983880053733
110033,1066,31392,0.03395769622833843
110034,1229,14106,0.08712604565433149
110037,638,13255,0.048132780082987554
110040,1726,21847,0.0790039822401245
110045,1158,40356,0.02869461790068391
110050,787,8329,0.09448913434986193
110060,226,6269,0.036050406763439145
110070,878,14266,0.061544932006168514
110080,1358,27388,0.049583759310647
110090,433,2987,0.14496149983260798
110092,1297,11472,0.113057880055788
110094,1096,26183,0.04185922163235687
110100,658,7445,0.08838146406984554
110110,1218,10641,0.11446292641669016
110120,985,9559,0.10304425149074171
110130,859,10818,0.07940469587724164
110140,671,16007,0.04191916036733929
110143,1236,6895,0.1792603335750544
110145,447,6198,0.07212003872216845
110146,332,2148,0.15456238361266295
110147,401,2776,0.14445244956772335
110149,1872,20681,0.0905178666408781
110150,1173,11851,0.09897898911484262
110155,343,4233,0.08103000236239075
110160,1491,10395,0.14343434343434344
110170,1191,11272,0.10566004258339248
110175,425,11377,0.037356069262547247
110180,1214,6656,0.18239182692307693
120001,3565,15490,0.2301484828921885
120005,1661,7534,0.22046721529068225
120010,6298,26702,0.23586248221107034
120013,1844,10420,0.17696737044145874
120017,920,12008,0.07661558960692871
120020,12285,89072,0.13792213041135262
120025,1735,18696,0.09280059905862216
120030,5207,34884,0.1492661392042197
120032,3028,8473,0.35737047090758883
120033,3001,19311,0.1554036559473875
120034,2271,9581,0.23703162509132658
120035,8272,19299,0.4286232447277061
120038,2141,19955,0.10729140566274117
120039,4175,12241,0.341066906298505
120040,19551,413418,0.04729111939973586
120042,2784,19351,0.1438685339258953
120043,2271,6717,0.33809736489504244
120045,2443,23236,0.10513857806851437
120050,6742,46511,0.14495495689191804
120060,9073,43151,0.21026163935945866
120070,3483,19596,0.1777403551745254
120080,2367,18824,0.12574373140671483
130002,4253,16220,0.2622071516646116
130006,4497,11736,0.3831799591002045
130008,5104,13956,0.3657208369160218
130010,4380,21477,0.2039390976393351
130014,2225,22359,0.099512500559059
130020,3542,20398,0.17364447494852436
130030,15824,40290,0.3927525440555969
130040,4188,27638,0.1515305014834648
130050,11098,32483,0.34165563525536435
130060,12272,43935,0.2793217252759759
130063,8061,20093,0.40118449211168067
130068,4223,19626,0.21517374910832568
130070,5575,34635,0.16096434242817959
130080,8663,41748,0.20750694644054804
130083,4231,13283,0.31852744109011516
130090,4137,15807,0.26171949136458533
130100,9494,28508,0.33302932510172584
130110,8058,38348,0.2101282987378742
130115,7546,30846,0.2446346365817286
130120,15298,85910,0.17807007333255734
130130,4791,29168,0.16425534832693361
130140,11614,35700,0.3253221288515406
130150,5186,20393,0.25430294708968765
130160,3258,17005,0.1915907086151132
130165,3822,16937,0.22565979807521994
130170,14895,56144,0.26529994300370474
130180,3972,30436,0.13050335129451965
130185,15939,49011,0.3252127073514109
130190,27078,102701,0.26365858170806517
130195,1799,7814,0.23022779626311748
130200,4629,9230,0.5015167930660889
130210,2170,2251,0.964015992892048
130220,2985,15106,0.19760360121805906
130230,6071,13886,0.4372029382111479
130240,13390,46882,0.28561068213813406
130250,23916,98502,0.24279710056648596
130255,9071,33049,0.27447123967442283
130260,245856,2219580,0.11076690184629524
130270,13401,56583,0.23683791951646255
130280,4493,18261,0.24604348064180495
130290,17688,65040,0.27195571955719555
130300,6434,21443,0.30005129879214665
130310,10392,38026,0.2732866985746594
130320,1987,19928,0.09970895222802087
130330,6131,26046,0.23539123089917838
130340,16581,115363,0.14372892521865763
130350,4220,19522,0.2161663763958611
130353,7317,37193,0.19673056757992094
130356,10217,34106,0.2995660587579898
130360,3126,25865,0.12085830272569109
130370,14348,21243,0.6754224921150497
130380,7891,46303,0.17042092305034232
130390,10724,40073,0.2676116088139146
130395,3760,14352,0.26198439241917504
130400,5064,9230,0.5486457204767063
130406,13784,67182,0.20517400494179988
130410,4546,17015,0.2671760211578019
130420,23944,59547,0.4021025408500848
130423,4874,18897,0.2579245382865005
130426,5592,13690,0.4084733382030679
130430,5917,16130,0.36683199008059514
130440,7935,23585,0.3364426542293831
140002,3008,13185,0.22813803564656807
140005,983,15380,0.06391417425227568
140010,37440,419652,0.08921677961739727
140015,2683,12557,0.2136656844787768
140017,2723,18799,0.14484813021969253
140020,3698,22283,0.1659561100390432
140023,1976,10383,0.19031108542810363
140028,460,12296,0.03741054001301236
140030,3005,18172,0.16536429672022893
140040,2799,11532,0.2427159209157128
140045,3131,18913,0.16554750700576323
140047,2195,30782,0.07130790721850432
140050,1676,8348,0.2007666506947772
140060,885,8110,0.1091245376078915
140070,5422,10789,0.5025488923903976
150010,33727,159080,0.21201282373648478
150013,707,7486,0.09444296019235907
150020,10038,55669,0.18031579514631124
150030,5390,39567,0.13622463163747567
150034,2949,27615,0.10678978815860946
150040,11936,57092,0.2090660688012331
150050,6748,34076,0.19802793755135578
150060,14623,115969,0.1260940423733929
150070,3502,29688,0.11796011856642415
150080,19646,535547,0.03668398852014856
150085,6871,28607,0.24018596846925577
150090,16719,46471,0.3597727615071765
150095,5558,31773,0.17492839832562238
150100,1705,16404,0.10393806388685686
150110,8586,31325,0.2740941739824421
150120,6683,48459,0.13791039848119027
150125,587,3262,0.17995095033721642
150130,25037,127027,0.19709982917017643
150140,26668,1499641,0.01778292271283594
150145,3669,17839,0.20567296373115085
150150,8875,63768,0.1391763894116171
150157,2604,17118,0.15212057483350858
150160,3209,16530,0.1941318814277072
150170,31353,128914,0.24320865072839257
150172,4232,14983,0.28245344724020555
150175,1178,7368,0.15988056460369163
150178,9546,67332,0.1417750846551417
150180,16277,103497,0.15727025904132486
150190,6077,29427,0.20651102728786488
150195,4166,34609,0.12037331330000867
150200,5385,24064,0.22377825797872342
150210,39605,139364,0.28418386383858096
150215,7023,38103,0.18431619557515155
150220,11761,69431,0.16939119413518458
150230,19483,54425,0.3579788700045935
150240,29541,203251,0.14534245833968837
150250,2542,23948,0.10614665107733423
150260,2597,12131,0.2140796306982112
150270,4248,47991,0.08851659686191161
150275,4423,33781,0.13093158876291405
150276,1931,13761,0.14032410435288134
150277,3805,17846,0.2132130449400426
150280,5187,34994,0.14822541007029777
150285,3123,14587,0.21409474189346678
150290,7148,40584,0.17612852355608122
150293,8355,60469,0.13816997139029916
150295,3264,33940,0.09616971125515615
150300,2873,7070,0.4063649222065064
150304,4958,20525,0.24155907429963458
150307,7059,26111,0.2703458312588564
150309,2140,41081,0.052092208076726466
150310,10412,33755,0.30845800622130054
150320,9717,39023,0.24900699587422803
150330,13185,63036,0.2091661907481439
150340,2533,11861,0.21355703566309756
150345,7553,65625,0.11509333333333334
150350,6234,32595,0.1912563276576162
150360,16840,101395,0.16608314019428966
150370,13555,53355,0.25405304095211323
150375,5473,7590,0.7210803689064559
150380,7276,59842,0.12158684535944654
150390,10440,58960,0.17706919945725916
150400,5990,29282,0.20456252988183868
150405,4787,30235,0.1583264428642302
150410,1628,8573,0.18989851860492243
150420,17705,283542,0.06244224841469694
150430,3603,29516,0.12206938609567693
150440,3495,28450,0.12284710017574692
150442,14266,133685,0.1067135430302577
150445,7946,31975,0.24850664581704457
150450,4149,27890,0.14876299749013983
150460,6711,31530,0.21284490960989533
150470,4552,83182,0.054723377653819336
150475,4986,16184,0.30808205635195257
150480,9144,58162,0.15721605171761632
150490,4420,40906,0.1080526084193028
150495,6891,21444,0.3213486289871293
150497,1542,16854,0.09149163403346387
150500,3628,15506,0.233973945569457
150503,3542,25766,0.13746798106031205
150506,5937,77214,0.07689020125883907
150510,12708,52306,0.24295491912973655
150520,2851,32850,0.08678843226788432
150530,8724,74016,0.11786640726329442
150540,3333,17961,0.1855687322532153
150543,5325,33335,0.15974201289935502
150548,9683,48414,0.20000413103647705
150549,1333,7582,0.17581113162753892
150550,18722,114503,0.16350663301398216
150553,24788,213576,0.11606172978237256
150555,1793,5410,0.33142329020332717
150560,1926,8081,0.23833683950006188
150563,3031,12979,0.23353108868171663
150565,5557,31659,0.17552670646577592
150570,5322,31549,0.16868997432565216
150580,9748,62945,0.15486535864643736
150590,8657,41801,0.2071003086050573
150600,5400,29846,0.1809287676740602
150610,2850,10857,0.2625034539928157
150611,1516,13702,0.11064078236753759
150613,11115,85563,0.12990428105606394
150616,1686,18201,0.0926322729520356
150618,3492,52803,0.06613260610192603
150619,5783,51500,0.11229126213592233
150620,6141,40922,0.15006597917990322
150630,2596,24075,0.10782969885773624
150635,3881,21449,0.1809408364026295
150640,719,10314,0.06971107232887337
150650,10151,71837,0.14130601222211395
150655,5038,19843,0.2538930605251222
150658,2849,21850,0.13038901601830663
150660,4482,24995,0.17931586317263454
150670,9893,74419,0.13293648127494323
150680,45072,306480,0.14706342991386062
150690,1818,6753,0.2692136828076411
150700,4672,31918,0.1463750861582806
150710,3234,18129,0.17838821777262948
150715,4664,25753,0.18110511396730478
150720,11644,32139,0.3623012539282492
150730,11757,132138,0.08897516233029105
150740,3525,15930,0.22128060263653485
150745,4578,24705,0.18530661809350335
150746,1654,6217,0.2660447161010133
150747,4264,23244,0.18344519015659955
150750,3818,14051,0.2717244324247384
150760,10539,59632,0.17673396833914676
150770,6571,26974,0.24360495291762438
150775,682,6009,0.11349642203361625
150780,3784,11480,0.329616724738676
150790,5312,25565,0.2077840797965969
150795,8347,108969,0.07659976690618432
150796,2481,11847,0.2094201063560395
150797,3142,18917,0.16609398953322407
150800,10432,64030,0.16292362954864906
150803,8386,31257,0.2682919026138145
150805,4381,19168,0.22855801335559264
150808,9755,40136,0.24304863464221646
150810,11533,115144,0.10016153685819496
150812,7480,60761,0.12310528134823324
150815,1601,45435,0.0352371519753494
150820,7387,54172,0.1363619582071919
150830,14257,61751,0.23087885216433743
150835,2321,15279,0.15190784737221022
150840,6226,45086,0.13809164707447988
160005,1011,5488,0.1842201166180758
160010,2564,9187,0.2790900185044084
160015,3568,17067,0.20905841682779633
160020,1895,11306,0.16761011852113922
160021,1557,6101,0.2552040649073922
160023,1024,7967,0.12853018702146354
160025,1816,5617,0.32330425494035964
160027,8882,51362,0.17292940306062848
160030,17061,512902,0.033263664403726245
160040,7457,22053,0.3381399356096676
160050,3163,27906,0.11334480040134738
160053,1867,22452,0.08315517548548014
160055,1467,5246,0.27964163171940526
160060,7004,123096,0.056898680704490806
160070,3607,17769,0.20299397827677415
160080,2762,16254,0.16992740248554203
170025,1070,2594,0.4124903623747109
170030,638,6892,0.09257109692396982
170035,663,5346,0.12401795735129069
170040,58,6979,0.008310646224387448
170070,1199,8396,0.14280609814197237
170100,1374,9492,0.1447534766118837
170105,489,3454,0.1415749855240301
170110,546,4848,0.11262376237623763
170130,1043,5731,0.18199267143604955
170190,1126,7155,0.15737246680642908
170200,1599,8467,0.18885083264438407
170210,18525,183381,0.10101918955616994
170215,1402,5793,0.24201622648023477
170220,6858,36170,0.18960464473320432
170230,458,6616,0.06922611850060459
170240,628,10534,0.059616479969622174
170255,3200,18643,0.17164619428203615
170270,313,3783,0.08273856727464975
170290,2121,9787,0.21671605190558904
170300,1353,10666,0.12685167822988938
170305,315,3592,0.08769487750556793
170307,976,4632,0.21070811744386875
170310,543,5651,0.09608918775437976
170320,340,4448,0.0764388489208633
170330,483,5008,0.09644568690095846
170360,236,2211,0.10673903211216644
170370,339,5519,0.06142417104547925
170380,1588,11497,0.13812298860572322
170382,267,2284,0.11690017513134851
170384,2243,10312,0.21751357641582622
170386,591,4441,0.13307813555505515
170388,591,2603,0.22704571648098348
170389,505,4130,0.12227602905569007
170390,347,5442,0.063763322307975
170410,285,2936,0.0970708446866485
170460,179,1410,0.12695035460992907
170510,431,3331,0.12939057340138096
170550,2432,35851,0.06783632255725085
170555,1390,4861,0.2859493931289858
170560,763,4087,0.18668950330315634
170600,788,5639,0.13974108884553998
170610,941,7278,0.12929376202253368
170625,127,1735,0.07319884726224783
170650,614,6174,0.09944930353093619
170700,2745,22424,0.12241348555119515
170710,895,6943,0.12890681261702433
170720,951,7185,0.1323590814196242
170730,618,4686,0.13188220230473752
170740,2446,11139,0.21958883203160068
170755,62,3830,0.01618798955613577
170765,562,5243,0.10719053976730879
170770,1238,8874,0.139508677034032
170820,1878,18399,0.10207076471547366
170825,430,2602,0.1652574942352037
170830,453,5130,0.08830409356725147
170900,1647,13095,0.12577319587628866
170930,2233,26165,0.08534301547869291
170950,7177,87545,0.08198069564224113
170980,459,2052,0.2236842105263158
171050,992,7452,0.13311862587224907
171070,1377,5832,0.2361111111111111
171090,380,3795,0.10013175230566534
171110,320,2420,0.1322314049586777
171150,364,3878,0.09386281588447654
