ano,cod_municipio,abandono_ef
2022,1100015,0.7
2022,1100023,1.5
2022,1100031,0.0
2022,1100049,0.3
2022,1100056,0.4
2022,1100064,0.3
2022,1100072,0.3
2022,1100080,1.3
2022,1100098,0.4
2022,1100106,1.4
2022,1100114,0.5
2022,1100122,0.4
2022,1100130,2.4
2022,1100148,0.0
2022,1100155,0.6
2022,1100189,1.1
2022,1100205,1.5
2022,1100254,0.0
2022,1100262,0.8
2022,1100288,0.2
2022,1100296,0.1
2022,1100304,0.5
2022,1100320,0.0
2022,1100338,2.9
2022,1100346,0.0
2022,1100379,2.1
2022,1100403,1.5
2022,1100452,1.3
2022,1100502,0.1
2022,1100601,1.1
2022,1100700,2.9
2022,1100809,3.1
2022,1100908,0.0
2022,1100924,0.4
2022,1100940,1.8
2022,1101005,1.1
2022,1101104,0.5
2022,1101203,0.4
2022,1101302,0.7
2022,1101401,1.0
2022,1101435,0.8
2022,1101450,0.4
2022,1101468,0.3
2022,1101476,0.0
2022,1101484,1.0
2022,1101492,1.2
2022,1101500,0.1
2022,1101559,0.3
2022,1101609,0.1
2022,1101708,0.4
2022,1101757,1.1
2022,1101807,1.2
2022,1200013,3.0
2022,1200054,11.5
2022,1200104,1.3
2022,1200138,3.9
2022,1200179,3.1
2022,1200203,2.0
2022,1200252,1.5
2022,1200302,3.0
2022,1200328,1.2
2022,1200336,3.9
2022,1200344,1.6
2022,1200351,6.8
2022,1200385,2.8
2022,1200393,1.1
2022,1200401,1.2
2022,1200427,2.7
2022,1200435,0.8
2022,1200450,1.6
2022,1200500,6.2
2022,1200609,5.5
2022,1200708,6.5
2022,1200807,4.8
2022,1300029,6.1
2022,1300060,2.3
2022,1300086,1.0
2022,1300102,2.6
2022,1300144,5.3
2022,1300201,2.6
2022,1300300,4.6
2022,1300409,5.7
2022,1300508,2.9
2022,1300607,2.7
2022,1300631,7.3
2022,1300680,2.5
2022,1300706,2.3
2022,1300805,4.1
2022,1300839,5.2
2022,1300904,6.2
2022,1301001,1.4
2022,1301100,1.9
2022,1301159,2.0
2022,1301209,2.4
2022,1301308,4.6
2022,1301407,2.6
2022,1301506,5.6
2022,1301605,11.2
2022,1301654,4.8
2022,1301704,2.1
2022,1301803,3.9
2022,1301852,5.2
2022,1301902,1.8
2022,1301951,2.7
2022,1302009,2.8
2022,1302108,12.4
2022,1302207,1.3
2022,1302306,7.9
2022,1302405,5.8
2022,1302504,1.2
2022,1302553,1.4
2022,1302603,1.2
2022,1302702,4.7
2022,1302801,6.4
2022,1302900,3.7
2022,1303007,1.7
2022,1303106,2.6
2022,1303205,3.0
2022,1303304,4.0
2022,1303403,1.1
2022,1303502,5.6
2022,1303536,2.7
2022,1303569,2.4
2022,1303601,2.2
2022,1303700,2.6
2022,1303809,6.4
2022,1303908,3.6
2022,1303957,0.7
2022,1304005,0.8
2022,1304062,2.0
2022,1304104,5.5
2022,1304203,3.1
2022,1304237,1.7
2022,1304260,4.9
2022,1304302,0.9
2022,1304401,1.9
2022,1400027,3.9
2022,1400050,1.8
2022,1400100,1.2
2022,1400159,3.3
2022,1400175,2.0
2022,1400209,2.5
2022,1400233,3.8
2022,1400282,4.7
2022,1400308,1.8
2022,1400407,2.2
2022,1400456,4.7
2022,1400472,1.7
2022,1400506,1.0
2022,1400605,1.1
2022,1400704,4.3
2022,1500107,1.7
2022,1500131,1.4
2022,1500206,5.0
2022,1500305,6.8
2022,1500347,2.7
2022,1500404,4.5
2022,1500503,7.3
2022,1500602,0.8
2022,1500701,5.8
2022,1500800,0.7
2022,1500859,6.2
2022,1500909,3.4
2022,1500958,1.9
2022,1501006,4.2
