cod_municipio,obitos_circulatorio,pop_2021,obitos_circulatorio_100k
1100015,46,22728,202.39352340725097
1100023,432,109523,394.43769801776796
1100031,23,5188,443.3307632999229
1100049,795,85893,925.5701861618526
1100056,36,16204,222.16736608244878
1100064,30,15544,193.0005146680391
1100072,15,7220,207.7562326869806
1100080,19,18798,101.07458240238323
1100098,35,32695,107.05000764642912
1100106,64,46556,137.46885471260418
1100114,111,51620,215.03293297171638
1100122,343,130009,263.827888838465
1100130,72,40867,176.18127095211295
1100148,53,20489,258.6753867929133
1100155,130,35737,363.7686431429611
1100189,84,36881,227.75955098831378
1100205,1744,539354,323.34978511330223
1100254,98,18571,527.7044854881267
1100262,3,3804,78.86435331230284
1100288,120,55407,216.57913260057393
1100296,17,6216,273.4877734877735
1100304,340,102211,332.6452143115712
1100320,65,23077,281.6657277809074
1100338,40,31392,127.420998980632
1100346,41,14106,290.6564582447186
1100379,35,13255,264.05130139569974
1100403,21,21847,96.12303748798462
1100452,81,40356,200.71364852809992
1100502,14,8329,168.08740545083444
1100601,5,6269,79.75753708725475
1100700,8,14266,56.07738679377541
1100809,26,27388,94.93208704542135
1100908,2,2987,66.95681285570807
1100924,10,11472,87.16875871687587
1100940,22,26183,84.02398502845358
1101005,8,7445,107.45466756212222
1101104,19,10641,178.55464711963162
1101203,8,9559,83.69076263207448
1101302,26,10818,240.34017378443335
1101401,25,16007,156.18167051914787
1101435,15,6895,217.54894851341552
1101450,13,6198,209.74507905776056
1101484,8,5066,157.91551519936834
1101492,28,20681,135.38997147139887
1101500,23,11851,194.07644924478947
1101559,20,4233,472.4781478856603
1101609,10,10395,96.2000962000962
1101708,32,11272,283.88928317956
1101757,12,11377,105.47596027072163
1101807,5,6656,75.1201923076923
1200013,14,15490,90.38089089735313
1200054,9,7534,119.45845500398195
1200104,88,26702,329.5633285896188
1200179,5,12008,41.63890739506996
1200203,314,89072,352.5238009700018
1200252,7,18696,37.441163885323064
1200302,52,34884,149.0654741428735
1200328,3,8473,35.40658562492624
1200336,17,19311,88.03272746103258
1200344,15,9581,156.55985805239536
1200351,10,19299,51.816156277527334
1200385,24,19955,120.2706088699574
1200393,4,12241,32.67706886692264
1200401,1179,413418,285.18351885984646
1200427,23,19351,118.85690661981293
1200435,5,6717,74.43799315170463
1200450,25,23236,107.59166810122224
1200500,99,46511,212.85287351379245
1200609,86,43151,199.3001320942736
1200708,47,19596,239.84486629924476
1200807,8,18824,42.49893752656184
1300029,15,16220,92.47842170160295
1300060,16,11736,136.332651670075
1300086,22,13956,157.63829177414732
1300102,28,21477,130.3720258881594
1300144,42,22359,187.84382128002147
1300201,7,20398,34.317089910775564
1300300,58,40290,143.95631670389676
1300409,34,27638,123.01903176785585
1300508,43,32483,132.37693562786689
1300607,72,43935,163.87845681119836
1300631,13,20093,64.69914895734833
1300680,30,19626,152.8584530724549
1300706,35,34635,101.053847264328
1300805,105,41748,251.50905432595573
1300839,18,13283,135.5115561243695
1300904,25,15807,158.15777819953186
1301001,93,28508,326.2242177634348
1301100,6,38348,15.646187545634714
1301159,18,30846,58.3544057576347
1301209,182,85910,211.84961005703644
1301308,42,29168,143.993417443774
1301407,69,35700,193.27731092436974
1301506,22,20393,107.88015495513166
1301605,49,17005,288.1505439576595
1301654,16,16937,94.46773336482258
1301704,64,56144,113.99259048161869
1301803,7,30436,22.999080036798528
1301852,79,49011,161.18830466629942
1301902,135,102701,131.44954771618583
1301951,8,7814,102.38034297414896
1302009,22,9230,238.35319609967496
1302108,4,2251,177.6988005330964
1302207,24,15106,158.87726731100224
1302306,34,13886,244.85092899323058
1302405,70,46882,149.31103621859137
1302504,152,98502,154.31158758197802
1302553,33,33049,99.85173530212714
1302603,6562,2219580,295.6415177646221
1302702,72,56583,127.24669953873071
1302801,11,18261,60.23766496905974
1302900,68,65040,104.55104551045511
1303007,32,21443,149.23284988108009
1303106,67,38026,176.19523483932048
1303205,18,19928,90.32517061421116
1303304,73,26046,280.27336251247795
1303403,260,115363,225.37555368705736
1303502,23,19522,117.81579756172523
1303536,47,37193,126.36786492081843
1303569,35,34106,102.62123966457514
1303601,16,25865,61.85965590566403
1303700,30,21243,141.22299110295157
1303809,68,46303,146.85873485519298
1303908,32,40073,79.85426596461458
1303957,5,14352,34.83835005574136
1304005,7,9230,75.83965330444204
1304062,121,67182,180.10776696138848
1304104,39,17015,229.20952101087275
1304203,109,59547,183.04868423262297
1304237,3,18897,15.875535799333228
1304260,16,13690,116.8736303871439
1304302,24,16130,148.79107253564786
1304401,21,23585,89.03964384142463
1400027,14,13185,106.1812665908229
1400050,24,15380,156.04681404421328
1400100,1147,419652,273.32170465051996
1400159,8,12557,63.709484749542085
1400175,16,18799,85.11091015479546
1400209,17,22283,76.29134317641251
1400233,13,10383,125.20466146585765
1400282,1,12296,8.132726089785296
1400308,31,18172,170.5921197446621
1400407,14,11532,121.40131807145335
1400456,14,18913,74.02315867392798
1400472,47,30782,152.68663504645573
1400506,2,8348,23.957834211787254
1400605,7,8110,86.31319358816276
1400704,5,10789,46.343498007229584
1500107,281,159080,176.64068393261252
1500131,24,7486,320.5984504408229
1500206,113,55669,202.98550360164543
1500305,16,39567,40.4377385194733
1500347,17,27615,61.56074597139236
1500404,187,57092,327.5415119456316
1500503,107,34076,314.0039910787651
1500602,568,115969,489.78606351697437
1500701,40,29688,134.73457289140393
1500800,1332,535547,248.7176662365768
1500859,73,28607,255.18229803894152
1500909,152,46471,327.0857093671322
1500958,44,31773,138.48235923582916
1501006,8,16404,48.768593026091196
1501105,33,31325,105.34716679968076
1501204,76,48459,156.8336119193545
1501253,23,3262,705.0889025137952
1501303,228,127027,179.48939989136167
1501402,6792,1499641,452.90839607612753
1501451,56,17839,313.918941644711
1501501,143,63768,224.25040772801404
1501576,39,17118,227.83035401331932
1501600,20,16530,120.99213551119178
1501709,565,128914,438.2766805777495
1501725,63,14983,420.47654007875593
1501758,27,7368,366.4495114006515
1501782,93,67332,138.12154696132598
1501808,163,103497,157.49248770495763
1501907,49,29427,166.51374587963434
1501956,40,34609,115.57687306769915
1502004,52,24064,216.0904255319149
1502103,297,139364,213.1109899256623
1502152,87,38103,228.3284780725927
1502202,328,69431,472.41145885843497
1502301,167,54425,306.84428112080843
1502400,766,203251,376.87391451948577
1502509,8,23948,33.40571237681644
1502608,58,12131,478.1139230071717
1502707,184,47991,383.4052218124232
1502756,65,33781,192.41585506645748
1502764,4,13761,29.067654966935542
1502772,26,17846,145.6909111285442
1502806,38,34994,108.59004400754415
1502855,14,14587,95.97586892438473
1502905,162,40584,399.17208752217624
1502939,158,60469,261.2909093915891
1502954,40,33940,117.85503830288745
