cod_municipio,obitos_cancer,pop_2021,obitos_cancer_100k
1100015,2,22728,8.79971840901091
1100023,5,109523,4.565251134464907
1100049,19,85893,22.120545329654338
1100098,1,32695,3.0585716470408317
1100122,4,130009,3.0767100739179596
1100205,128,539354,23.732094320242364
1100288,1,55407,1.8048261050047827
1100296,1,6216,16.087516087516086
1100304,4,102211,3.913473109547896
1101401,1,16007,6.2472668207659146
1101708,2,11272,17.7430801987225
1200203,3,89072,3.3680617927070235
1200336,2,19311,10.356791466003832
1200385,3,19955,15.033826108744675
1200401,60,413418,14.513156176073611
1200500,2,46511,4.300058050783686
1300680,1,19626,5.09528176908183
1301506,1,20393,4.903643407051439
1301605,2,17005,11.761246692149367
1302207,1,15106,6.619886137958427
1302603,222,2219580,10.001892249885113
1303569,1,34106,2.9320354189878612
1304062,3,67182,4.46548182548897
1304203,1,59547,1.679345726904798
1400100,46,419652,10.961463307693041
1500107,2,159080,1.2572290671360322
1500602,13,115969,11.209892298803991
1500800,6,535547,1.1203498479125082
1500909,1,46471,2.1518796668890277
1501303,2,127027,1.574468420099664
1501402,323,1499641,21.538488211511954
1501501,2,63768,3.1363693388533433
1501709,1,128914,0.7757109390756628
1501808,4,103497,3.86484632404804
1502103,3,139364,2.1526362618753767
1502202,1,69431,1.4402788379830336
1502301,2,54425,3.6747818098300415
1502400,4,203251,1.9680099974907872
1502707,2,47991,4.1674480631785125
1502756,1,33781,2.9602439240993457
1502954,2,33940,5.892751915144372
1503200,2,39023,5.125182584629577
1503457,1,65625,1.5238095238095237
1503606,2,101395,1.9724838502884758
1503903,2,58960,3.3921302578018997
1504208,2,283542,0.7053628739304936
1504307,2,29516,6.775985905949316
1504455,1,31975,3.127443315089914
1505502,1,114503,0.8733395631555505
1505536,4,213576,1.8728696108176948
1505650,2,31659,6.317318929846174
1505700,2,31549,6.339345145646455
1505908,2,41801,4.784574531709768
1506187,1,52803,1.8938317898604247
1506203,1,40922,2.443673329749279
1506708,2,74419,2.687485722732098
1506807,45,306480,14.682850430696947
1507953,1,108969,0.9176921876864063
1508001,3,64030,4.6853037638606905
1508035,1,31257,3.1992833605272417
1508084,1,40136,2.491528802072952
1508100,1,115144,0.8684777322309456
1600279,2,51362,3.893929364121335
1600303,36,512902,7.018884699221294
1600808,1,16254,6.152331733727083
1700707,2,8396,23.820867079561697
1701002,2,9492,21.07037505267594
1702109,25,183381,13.632819103396754
1702554,1,18643,5.36394357131363
1703008,2,10666,18.751171948246764
1709500,4,87545,4.569078759495117
1712454,1,3154,31.70577045022194
1712801,1,3448,29.00232018561485
1717503,1,7743,12.914890869172156
1718204,4,53316,7.502438292445045
1720903,2,16825,11.887072808320951
1721000,51,306296,16.65056024237992
2100055,9,113121,7.956082425013923
2100105,1,6578,15.202189115232594
2100600,1,41729,2.3964149632150304
2101202,2,104790,1.9085790628876802
2101400,2,95929,2.0848752723368325
2101608,1,88492,1.1300456538444152
2101731,1,7528,13.28374070138151
2102309,2,23939,8.354567859977443
2102325,2,72983,2.740364194401436
2102507,1,19451,5.141123849673539
2102903,1,23952,4.1750167000668
2103000,21,165525,12.686905301314
2103208,1,80195,1.2469605336991085
2103307,3,123116,2.4367263393872447
2103406,6,49621,12.091654742951572
2103604,2,65544,3.0513853289393387
2103901,2,11401,17.54232084904833
2104404,2,17944,11.145786892554614
2104503,2,10886,18.372221201543265
2104677,2,25539,7.831160186381612
2104701,2,6261,31.943778949049673
2105302,40,259337,15.423946448057933
2105351,2,16005,12.496094970321774
2105401,1,68723,1.455116918644413
2105427,4,26068,15.344483658124904
2105609,3,16198,18.52080503765897
2105708,1,50616,1.9756598703967125
2106102,2,12214,16.37465203864418
2106300,2,20029,9.985520994557891
2106409,2,16977,11.780644401248749
2107506,2,123747,1.616200796786993
2107704,1,21479,4.655710228595372
2107803,2,35008,5.712979890310786
2107902,2,19137,10.450958875476825
2108207,2,39191,5.103212472251283
2108504,2,33065,6.04869197036141
2108900,2,17595,11.366865586814436
2109007,1,24092,4.150755437489623
2109106,2,48036,4.163544008660171
2109908,3,89489,3.3523673300629127
2110203,2,38298,5.222204814872839
2110500,1,45604,2.1927901061310413
2110708,1,34384,2.9083294555607258
2110906,1,12218,8.18464560484531
2111003,1,20701,4.830684507994783
2111052,2,11193,17.868310551237382
2111102,2,25996,7.693491306354824
2111201,1,179028,0.5585718435105124
2111300,271,1108975,24.43698009423116
2112001,2,8582,23.304591004427873
2112209,12,170222,7.049617558247465
2112233,1,22112,4.522431259044862
2112407,1,35709,2.8004144613402784
2112704,2,57168,3.498460677301987
2112803,2,52649,3.7987426161940396
2114007,2,51956,3.849411040110863
2200202,3,17470,17.172295363480252
2200400,3,40605,7.388252678241596
2200509,1,17604,5.680527152919791
2201176,1,3952,25.303643724696357
2201408,1,7027,14.230823964707557
2201556,2,4030,49.62779156327544
2201929,2,5685,35.180299032541775
2201960,2,8347,23.960704444710675
2202000,2,19807,10.097440298884234
2202208,8,46893,17.06011558228307
2202307,1,21258,4.7041113933577945
2202703,3,27845,10.773927096426647
2202729,1,6168,16.212710765239947
2203909,10,60025,16.65972511453561
2204154,2,3200,62.5
2205151,1,5729,17.455053237912377
2205201,2,19170,10.432968179447053
2205276,1,4875,20.512820512820515
2205573,1,6777,14.755791648221926
2207009,2,37085,5.3930160442227315
2207702,11,153482,7.166964204271511
2207801,2,20554,9.73046608932568
2207900,4,38778,10.315127133941926
2208007,10,78431,12.750060562787674
