cod_municipio,obitos_diabetes_mellitus,pop_2021,obitos_diabetes_mellitus_100k
1100015,16,22728,70.39774727208729
1100023,125,109523,114.13127836162268
1100031,10,5188,192.75250578257518
1100049,166,85893,193.2637118275063
1100056,8,16204,49.37052579609973
1100064,7,15544,45.03345342254246
1100072,2,7220,27.700831024930746
1100080,11,18798,58.516863496116606
1100098,4,32695,12.234286588163327
1100106,14,46556,30.07131196838216
1100114,26,51620,50.36807438977141
1100122,103,130009,79.22528440338746
1100130,15,40867,36.704431448356864
1100148,10,20489,48.80667675337986
1100155,29,35737,81.14838962419901
1100189,18,36881,48.80561806892438
1100205,433,539354,80.28122531769488
1100254,38,18571,204.62010661784504
1100262,1,3804,26.288117770767613
1100288,25,55407,45.12065262511957
1100296,12,6216,193.05019305019306
1100304,60,102211,58.70209664321844
1100320,11,23077,47.666507778307405
1100338,3,31392,9.5565749235474
1100346,1,14106,7.089181908407769
1100379,2,13255,15.088645794039985
1100403,4,21847,18.309149997711355
1100452,12,40356,29.735355337496284
1100502,6,8329,72.03745947892904
1100601,1,6269,15.95150741745095
1100700,6,14266,42.058040095331556
1100809,3,27388,10.95370235139477
1100924,2,11472,17.433751743375176
1100940,7,26183,26.734904327235228
1101005,2,7445,26.863666890530556
1101104,5,10641,46.988065031482
1101203,2,9559,20.92269065801862
1101302,6,10818,55.46311702717693
1101401,5,16007,31.236334103829574
1101435,4,6895,58.0130529369108
1101450,2,6198,32.26847370119393
1101484,2,5066,39.478878799842086
1101492,8,20681,38.68284899182825
1101559,4,4233,94.49562957713206
1101609,3,10395,28.86002886002886
1101708,8,11272,70.97232079489
1101757,3,11377,26.368990067680407
1200013,5,15490,32.278889606197545
1200104,17,26702,63.66564302299453
1200179,2,12008,16.655562958027982
1200203,63,89072,70.7292976468475
1200252,1,18696,5.348737697903295
1200302,7,34884,20.06650613461759
1200336,9,19311,46.60556159701724
1200344,1,9581,10.437323870159691
1200385,7,19955,35.07892758707091
1200401,342,413418,82.72499020361958
1200427,7,19351,36.17384114516046
1200450,2,23236,8.60733344809778
1200500,15,46511,32.25043538087764
1200609,16,43151,37.07909434312067
1200708,9,19596,45.92774035517453
1200807,6,18824,31.874203144921378
1300060,3,11736,25.562372188139058
1300086,2,13956,14.330753797649756
1300102,7,21477,32.59300647203985
1300144,9,22359,40.25224741714746
1300201,1,20398,4.902441415825081
1300300,12,40290,29.784065524944154
1300409,6,27638,21.709240900209856
1300508,14,32483,43.0994674137241
1300607,23,43935,52.350062592466145
1300631,1,20093,4.976857612103718
1300680,20,19626,101.9056353816366
1300706,2,34635,5.774505557961599
1300805,34,41748,81.44102711507138
1300839,5,13283,37.642098923435974
1300904,5,15807,31.63155563990637
1301001,14,28508,49.109022028904164
1301100,2,38348,5.215395848544905
1301159,1,30846,3.2419114309797057
1301209,60,85910,69.84053078803399
1301308,8,29168,27.427317608337905
1301407,25,35700,70.0280112044818
1301506,11,20393,53.94007747756583
1301605,6,17005,35.283740076448105
1301654,2,16937,11.808466670602822
1301704,12,56144,21.373610715303506
1301852,24,49011,48.968598885964376
1301902,48,102701,46.73761696575496
1301951,3,7814,38.39262861530586
1302009,4,9230,43.33694474539545
1302108,1,2251,44.4247001332741
1302207,9,15106,59.57897524162584
1302306,10,13886,72.01497911565606
1302405,14,46882,29.86220724371827
1302504,44,98502,44.66914377373048
1302553,9,33049,27.232291446034676
1302603,2208,2219580,99.47827967453301
1302702,15,56583,26.5097290705689
1302900,15,65040,23.062730627306273
1303007,19,21443,88.60700461689129
1303106,17,38026,44.706253615946984
1303205,1,19928,5.018065034122842
1303304,16,26046,61.42977808492667
1303403,77,115363,66.74583705347469
1303502,6,19522,30.73455588566745
1303536,17,37193,45.70752560965773
1303569,8,34106,23.45628335190289
1303601,5,25865,19.331142470520007
1303700,14,21243,65.90406251471073
1303809,17,46303,36.714683713798244
1303908,4,40073,9.981783245576823
1304005,1,9230,10.834236186348862
1304062,28,67182,41.67783037123039
1304104,5,17015,29.38583602703497
1304203,24,59547,40.30429744571515
1304237,3,18897,15.875535799333228
1304260,4,13690,29.218407596785976
1304302,6,16130,37.197768133911964
1304401,6,23585,25.43989824040704
1400027,4,13185,30.337504740235115
1400050,6,15380,39.01170351105332
1400100,291,419652,69.34317005518858
1400159,2,12557,15.927371187385521
1400175,3,18799,15.95829565402415
1400233,2,10383,19.262255610131948
1400308,6,18172,33.01782962799912
1400407,1,11532,8.671522719389525
1400456,3,18913,15.862105430127425
1400472,9,30782,29.23786628549152
1400506,1,8348,11.978917105893627
1400605,3,8110,36.99136868064118
1500107,77,159080,48.40331908473724
1500131,2,7486,26.71653753673524
1500206,16,55669,28.741310244480772
1500347,7,27615,25.34854245880862
1500404,48,57092,84.07482659567015
1500503,11,34076,32.280784129592675
1500602,104,115969,89.67913839043193
1500701,11,29688,37.052007545136085
1500800,304,535547,56.764392294233744
1500859,31,28607,108.3650854685916
1500909,64,46471,137.72029868089777
1500958,9,31773,28.325937116419603
1501006,1,16404,6.0960741282613995
1501105,5,31325,15.96169193934557
1501204,17,48459,35.0812026661714
1501253,4,3262,122.6241569589209
1501303,46,127027,36.21277366229227
1501402,1747,1499641,116.49454769508169
1501451,13,17839,72.87404002466506
1501501,30,63768,47.04554008280015
1501576,6,17118,35.050823694356815
1501600,14,16530,84.69449485783424
1501709,80,128914,62.05687512605303
1501725,4,14983,26.69692317960355
1501758,8,7368,108.57763300760044
1501782,22,67332,32.67391433493732
1501808,43,103497,41.54709798351643
1501907,10,29427,33.982397118292724
1501956,8,34609,23.11537461353983
1502004,5,24064,20.777925531914892
1502103,83,139364,59.55626991188542
1502152,10,38103,26.24465265202215
1502202,125,69431,180.0348547478792
1502301,60,54425,110.24345429490124
1502400,222,203251,109.22455486073869
1502509,1,23948,4.175714047102055
1502608,23,12131,189.59690050284397
1502707,35,47991,72.93034110562397
1502756,12,33781,35.52292708919215
1502772,7,17846,39.224476073069596
1502806,1,34994,2.8576327370406354
1502905,36,40584,88.70490833826139
1502939,27,60469,44.65097818717029
1502954,22,33940,64.82027106658809
1503044,5,20525,24.360535931790498
1503077,24,26111,91.91528474589254
1503093,25,41081,60.85538326720382
1503101,11,33755,32.5877647755888
1503200,80,39023,205.0073033851831
1503309,16,63036,25.382321213274952
1503408,3,11861,25.292976983390947
1503457,19,65625,28.952380952380953
1503507,27,32595,82.83479061205706
1503606,81,101395,79.88559593668327
1503705,14,53355,26.239340268016118
1503754,4,7590,52.700922266139656
1503804,32,59842,53.4741485912904
1503903,51,58960,86.49932157394844
1504000,3,29282,10.245201830476061
1504059,21,30235,69.45592855961634
1504109,16,8573,186.63245071736847
1504208,202,283542,71.24165026697985
1504307,21,29516,71.14785201246781
1504406,23,28450,80.84358523725835
1504422,64,133685,47.87373302913566
1504455,2,31975,6.254886630179828
1504505,2,27890,7.171029042667623
1504604,14,31530,44.40215667618141
1504703,21,83182,25.245846457166213
1504752,1,16184,6.1789421651013345
1504802,86,58162,147.86286578865926
1504901,16,40906,39.114066396127704
1504950,13,21444,60.623018093639246
1504976,10,16854,59.33309600094933
1505031,19,25766,73.74058837227354
1505064,22,77214,28.492242339472117
1505106,31,52306,59.26662333193133
1505205,9,32850,27.397260273972602
1505304,15,74016,20.265888456549934
1505403,22,17961,122.48761204832694
1505437,2,33335,5.99970001499925
1505486,16,48414,33.048291816416736
1505502,82,114503,71.61384417875514
1505536,96,213576,44.948870659624674
1505551,7,5410,129.39001848428836
1505601,7,8081,86.62294270511076
1505635,11,12979,84.75229216426536
1505700,9,31549,28.527053155409046
1505809,16,62945,25.419016601795217
1505908,10,41801,23.92287265854884
1506005,16,29846,53.60852375527709
1506104,8,10857,73.68518006815879
1506112,3,13702,21.894613924974458
1506138,112,85563,130.89770110912428
1506161,4,18201,21.976814460743917
1506187,47,52803,89.01009412343996
1506195,8,51500,15.533980582524272
1506203,47,40922,114.85264649821612
1506302,5,24075,20.768431983385256
1506351,17,21449,79.25777425521004
1506500,80,71837,111.36322507899828
1506559,12,19843,60.474726603840146
1506583,4,21850,18.30663615560641
1506609,18,24995,72.01440288057611
1506708,14,74419,18.812400059124688
1506807,225,306480,73.41425215348472
1506906,2,6753,29.61646675551607
1507003,29,31918,90.85782317187794
1507102,5,18129,27.58012024932429
1507151,23,25753,89.30998330291617
1507201,11,32139,34.22632938174803
1507300,12,132138,9.081414884438995
1507409,4,15930,25.109855618330194
1507458,21,24705,85.00303582270796
1507466,2,6217,32.169856844137044
1507474,17,23244,73.13715367406643
1507508,2,14051,14.233862358550994
1507607,47,59632,78.8167426884894
1507706,10,26974,37.07273670942389
1507755,2,6009,33.28340822100183
1507805,2,11480,17.421602787456447
1507904,27,25565,105.61314296890279
1507953,34,108969,31.20153438133781
1507961,3,11847,25.32286654849329
1507979,12,18917,63.435005550562984
1508001,40,64030,62.47071685147587
1508035,31,31257,99.1777841763445
1508050,12,19168,62.60434056761269
1508084,9,40136,22.423759218656567
1508100,147,115144,127.66622663794901
1508126,17,60761,27.978473033689372
1508159,23,45435,50.621767359964785
1508209,29,54172,53.53319057815846
1508308,41,61751,66.39568589982349
1508357,4,15279,26.17972380391387
1508407,10,45086,22.17983409484097
1600055,1,5488,18.221574344023324
1600105,2,9187,21.769892239033418
1600154,5,17067,29.29630280658581
1600204,4,11306,35.37944454272068
1600238,1,7967,12.551776076314798
1600279,33,51362,64.24983450800202
1600303,385,512902,75.06307247778328
1600402,2,22053,9.069060898743935
1600501,4,27906,14.333835017558949
1600535,6,22452,26.723677177979692
1600600,53,123096,43.05582634691623
1600709,2,17769,11.255557431481794
1600808,2,16254,12.304663467454166
1700301,6,6892,87.05745792222866
1700350,5,5346,93.52787130564909
1700707,1,8396,11.910433539780849
1701002,13,9492,136.9574378423936
1701309,2,5731,34.897923573547374
1702000,7,8467,82.67391047596551
1702109,307,183381,167.41101858971214
1702158,4,5793,69.04885206283446
1702208,13,36170,35.94138789051701
1702307,3,6616,45.34461910519951
1702406,2,10534,18.98614011771407
1702554,82,18643,439.84337284771766
1702703,2,3783,52.868094105207504
1702901,10,9787,102.1763563911311
1703008,1,10666,9.375585974123382
1703073,4,4632,86.35578583765113
1703107,7,5651,123.87188108299416
1703602,4,2211,180.91361374943463
1703701,8,5519,144.95379597753217
1703800,8,11497,69.58336957467165
1703826,1,2284,43.78283712784589
1703842,5,10312,48.48719937936385
1705508,22,35851,61.36509441856573
1705557,6,4861,123.43139271754782
1706100,2,7278,27.480076944215444
1706506,2,6174,32.39390994493035
1707009,14,22424,62.433107384944705
1707108,2,6943,28.805991646262424
1707405,2,11139,17.954933117874138
1707553,1,3830,26.109660574412533
1707652,3,5243,57.21914934197978
1707702,2,8874,22.537750732476898
1708205,1,18399,5.435077993369205
1709005,2,13095,15.273004963726613
1709302,23,26165,87.9036881330021
1709500,167,87545,190.75903820892114
1710508,3,7452,40.25764895330113
1710706,6,5832,102.88065843621399
1711100,2,2420,82.64462809917356
1711902,7,13676,51.18455688797894
1711951,3,4393,68.29046209879354
1712405,2,3733,53.57621216180016
1712454,3,3154,95.11731135066582
1712504,1,5254,19.03311762466692
1712801,4,3448,116.0092807424594
1713205,23,17936,128.23371989295273
1713304,6,13493,44.467501667531316
1713601,1,8066,12.397718819737168
1713809,1,6745,14.825796886582653
1713957,1,3587,27.878449958182326
1714203,13,9250,140.54054054054055
1714302,5,3834,130.41210224308816
1714880,8,11917,67.13098934295544
1715002,1,4304,23.234200743494423
1715101,1,4397,22.742779167614284
1715259,2,2745,72.85974499089254
1715705,4,6131,65.242211710977
1715754,5,7676,65.13809275664408
1716109,49,51891,94.42870632672333
1716208,2,10437,19.162594615310912
1716505,11,13773,79.86640528570392
1716604,1,11873,8.422471153036302
1716653,1,5512,18.1422351233672
1716703,5,8141,61.417516275641816
1717503,8,7743,103.31912695337725
1717800,6,4591,130.6904813766064
1717909,1,8116,12.32134056185313
1718006,2,3170,63.09148264984227
1718204,63,53316,118.16340310600945
1718303,4,8498,47.06989879971758
1718402,6,3676,163.2208922742111
1718501,3,4342,69.09258406264394
1718550,3,4684,64.04782237403928
1718659,1,2171,46.06172270842929
1718758,4,6488,61.652281134401974
1718808,4,4794,83.43763037129746
1718840,2,3373,59.29439667951379
1718865,7,7595,92.16589861751152
1718881,2,3486,57.37234652897303
1718899,3,2386,125.73344509639564
1720200,3,12294,24.402147388970228
1720259,1,3094,32.32062055591467
1720309,4,4852,82.44023083264634
1720499,2,3904,51.22950819672131
1720655,6,5428,110.5379513633014
1720804,4,8997,44.459264199177504
1720903,6,16825,35.661218424962854
1720978,2,2812,71.12375533428165
1721000,322,306296,105.1270666283595
1721109,1,7617,13.12852829197847
1721208,19,22845,83.1691836288028
1721307,4,2729,146.57383657017223
1722081,3,11734,25.56672916311573
1722107,23,11520,199.65277777777777
2100055,116,113121,102.54506236684612
2100105,2,6578,30.404378230465188
2100154,1,12652,7.903888713246918
2100204,4,22112,18.08972503617945
2100303,2,26757,7.474679523115446
2100402,3,8189,36.634509708145075
2100436,23,27858,82.56156220834231
2100477,16,31943,50.08922142566446
2100550,5,7005,71.3775874375446
2100600,19,41729,45.531884301085576
2100709,11,26988,40.75885578775752
2100808,6,15894,37.75009437523594
2100832,2,17413,11.485671624648251
2100873,2,15551,12.860909266285127
2100907,15,46771,32.07115520301041
2100956,12,32764,36.625564644121596
2101004,17,29932,56.79540291327008
2101103,13,12183,106.70606582943446
2101202,210,104790,200.40080160320642
2101251,9,17252,52.16786459540923
2101301,4,18654,21.443122118580465
2101350,5,5670,88.18342151675485
2101400,54,95929,56.29163235309448
2101509,11,18924,58.12724582540689
2101608,51,88492,57.63232834606518
2101707,77,63217,121.8026796589525
2101731,1,7528,13.28374070138151
2101772,6,11279,53.1962053373526
2101806,3,5638,53.2103582830791
2101905,7,21299,32.86539274144326
2101939,1,6073,16.466326362588507
2101970,2,8382,23.860653781913623
2102002,16,41822,38.25737650040649
2102036,23,34567,66.53744901206353
2102077,2,16438,12.166930283489476
2102101,24,36651,65.48252435131374
2102150,5,9014,55.46927002440648
2102200,18,28798,62.50434057920689
2102309,31,23939,129.49580182965036
2102325,21,72983,28.77382404121508
2102358,7,15467,45.257645309368336
2102374,2,9478,21.101498206372653
2102408,1,11216,8.91583452211127
2102507,9,19451,46.270114647061845
2102556,2,14453,13.837957517470421
2102606,17,20278,83.83469770194299
2102705,14,22117,63.29972419405887
2102754,8,10935,73.15957933241884
2102804,17,24165,70.34967928822678
2102903,32,23952,133.6005344021376
2103000,254,165525,153.45114031113124
2103109,3,10693,28.055737398297953
2103125,7,8740,80.09153318077803
2103158,4,13670,29.261155815654718
2103174,6,21840,27.47252747252747
2103208,108,80195,134.6717376395037
2103257,6,14777,40.60364079312445
2103307,99,123116,80.41196919977907
2103406,49,49621,98.7485137341045
2103505,15,41312,36.30906274206042
2103554,8,16400,48.78048780487805
2103604,63,65544,96.11863786158916
2103703,44,32626,134.86176668914362
2103752,3,12916,23.22700526478786
2103802,9,23372,38.50761595071025
2103901,3,11401,26.313481273572492
2104008,16,17104,93.54536950420955
2104057,33,42527,77.59776142215533
2104073,3,8484,35.36067892503536
2104081,12,10460,114.72275334608031
2104099,4,19258,20.77058884619379
2104107,11,12647,86.97714873092433
2104206,9,17790,50.5902192242833
2104404,10,17944,55.72893446277307
2104503,12,10886,110.2333272092596
2104552,7,18520,37.79697624190065
2104602,3,14656,20.46943231441048
2104628,9,7844,114.73737888832228
2104651,4,10151,39.404984730568415
2104677,24,25539,93.97392223657936
2104701,4,6261,63.887557898099345
2104800,63,70065,89.9165061014772
2104909,3,11997,25.00625156289072
2105005,9,28932,31.107424305267525
2105104,7,27269,25.670174923906266
2105153,1,14324,6.9812901424183185
2105203,14,11387,122.94722051462193
2105302,462,259337,178.14658147506913
2105351,7,16005,43.73633239612621
2105401,51,68723,74.21096285086507
2105427,21,26068,80.55853920515575
2105450,5,10310,48.49660523763337
2105476,2,17040,11.737089201877934
2105500,7,23740,29.486099410278012
2105609,6,16198,37.04161007531794
2105708,53,50616,104.70997313102576
2105807,11,10869,101.20526267365904
2105906,14,16314,85.81586367537085
2105922,8,11265,71.01642254771416
2105948,3,8857,33.871514056678336
2105963,6,11464,52.337752965806004
2105989,2,7602,26.308866087871614
2106003,14,11918,117.46937405604967
2106102,4,12214,32.74930407728836
2106201,1,6984,14.3184421534937
2106300,4,20029,19.971041989115783
2106326,15,21586,69.48948392476605
2106409,8,16977,47.122577604994994
2106508,11,23482,46.84439144876927
2106607,9,33943,26.515039919865657
2106631,1,17033,5.870956378794106
2106672,1,8483,11.788282447247436
2106706,6,21031,28.529313870001427
2106755,29,28754,100.85553314321486
2106805,9,15011,59.95603224302178
2106904,20,33664,59.4106463878327
2107001,5,9111,54.87871803314675
2107100,8,19572,40.874718986306966
2107209,3,14642,20.48900423439421
2107258,3,5427,55.2791597567717
2107357,12,21080,56.92599620493359
2107407,9,19561,46.00991769336946
2107456,12,14836,80.88433540037747
2107506,55,123747,44.4455219116423
2107605,2,19781,10.110712299681513
2107704,13,21479,60.52423297173984
2107803,8,35008,22.851919561243143
2107902,12,19137,62.70575325286095
2108009,5,19583,25.532349486799774
2108058,2,16166,12.371644191513052
2108108,17,21066,80.698756289756
2108207,38,39191,96.96103697277437
2108256,2,25354,7.888301648655045
2108306,45,38731,116.18600087784978
2108405,1,14345,6.971070059254095
2108454,66,23364,282.4858757062147
2108504,14,33065,42.34084379252987
2108603,91,83777,108.62169807942514
2108702,6,21379,28.0649235230834
2108801,9,18720,48.07692307692308
2108900,13,17595,73.88462631429384
2109007,22,24092,91.3166196247717
2109056,3,5955,50.377833753148614
2109106,203,48036,422.5997168790074
2109205,7,12838,54.525627044711015
2109270,6,19069,31.46468089569458
2109304,2,11261,17.760412041559363
2109403,2,15431,12.96092281770462
2109452,16,31177,51.319883247265615
2109502,15,20334,73.7680731779286
2109551,2,7825,25.559105431309906
2109601,29,42994,67.45127227054938
2109700,4,5679,70.43493572812115
2109759,3,7826,38.33375926399182
2109809,10,42483,23.53882729562413
2109908,173,89489,193.3198493669613
2110005,57,72887,78.20324612070739
2110039,22,25371,86.7131764613141
2110104,18,25764,69.86492780624127
2110203,10,38298,26.111024074364195
2110237,2,13547,14.763416254521296
2110278,2,16034,12.473493825620556
2110302,13,14522,89.51934995179727
2110401,26,18717,138.91115029117915
2110500,17,45604,37.277431804227696
2110609,17,28667,59.30163602748805
2110658,2,7420,26.954177897574123
2110708,12,34384,34.89995346672871
2110807,2,4562,43.84042086804033
