cod_municipio,obitos_resp,pop_2021,obitos_resp_100k
1100015,25,22728,109.99648011263639
1100023,408,109523,372.5244925723364
1100031,8,5188,154.20200462606013
1100049,671,85893,781.2045219051611
1100056,12,16204,74.0557886941496
1100064,23,15544,147.96706124549667
1100072,6,7220,83.10249307479225
1100080,13,18798,69.15629322268326
1100098,21,32695,64.23000458785747
1100106,105,46556,225.53483976286623
1100114,101,51620,195.66059666795815
1100122,277,130009,213.0621726188187
1100130,24,40867,58.72709031737099
1100148,21,20489,102.49402118209771
1100155,75,35737,209.86652489016984
1100189,29,36881,78.63127355548927
1100205,2934,539354,543.9840994968055
1100254,38,18571,204.62010661784504
1100262,2,3804,52.576235541535226
1100288,33,55407,59.55926146515783
1100296,9,6216,144.78764478764478
1100304,281,102211,274.9214859457397
1100320,28,23077,121.33292889023703
1100338,22,31392,70.08154943934761
1100346,26,14106,184.31872961860202
1100379,12,13255,90.53187476423992
1100403,3,21847,13.731862498283517
1100452,57,40356,141.24293785310735
1100502,6,8329,72.03745947892904
1100601,5,6269,79.75753708725475
1100700,12,14266,84.11608019066311
1100809,16,27388,58.419745874105445
1100908,2,2987,66.95681285570807
1100924,9,11472,78.45188284518828
1100940,12,26183,45.83126456097468
1101005,3,7445,40.295500335795836
1101104,9,10641,84.57851705666761
1101203,5,9559,52.30672664504655
1101302,13,10818,120.17008689221667
1101401,12,16007,74.96720184919099
1101435,4,6895,58.0130529369108
1101450,3,6198,48.4027105517909
1101484,3,5066,59.218318199763125
1101492,22,20681,106.37783472752768
1101500,7,11851,59.06674542232723
1101559,13,4233,307.1107961256792
1101609,9,10395,86.58008658008659
1101708,29,11272,257.2746628814762
1101757,4,11377,35.158653423573874
1101807,2,6656,30.048076923076923
1200013,12,15490,77.46933505487411
1200054,8,7534,106.18529333687285
1200104,58,26702,217.21219384315782
1200138,2,10420,19.193857965451055
1200179,6,12008,49.96668887408394
1200203,324,89072,363.7506736123585
1200302,25,34884,71.66609333791996
1200336,5,19311,25.89197866500958
1200344,6,9581,62.62394322095815
1200351,4,19299,20.726462511010933
1200385,8,19955,40.09020295665247
1200393,3,12241,24.50780165019198
1200401,2039,413418,493.20542405023485
1200427,5,19351,25.838457960828897
1200435,2,6717,29.775197260681853
1200450,15,23236,64.55500086073334
1200500,62,46511,133.30179957429425
1200609,72,43151,166.855924544043
1200708,34,19596,173.50479689732597
1200807,4,18824,21.24946876328092
1300029,20,16220,123.30456226880395
1300060,24,11736,204.49897750511246
1300086,11,13956,78.81914588707366
1300102,29,21477,135.02816966987942
1300144,50,22359,223.62359676193032
1300201,12,20398,58.82929698990097
1300300,39,40290,96.7982129560685
1300409,44,27638,159.20109993487227
1300508,44,32483,135.45546901456146
1300607,113,43935,257.19813360646407
1300631,7,20093,34.83800328472602
1300680,34,19626,173.23958014878224
1300706,34,34635,98.16659448534719
1300805,48,41748,114.97556769186548
1300839,1,13283,7.528419784687194
1300904,17,15807,107.54728917568166
1301001,58,28508,203.45166269117442
1301100,5,38348,13.038489621362261
1301159,10,30846,32.41911430979706
1301209,227,85910,264.2300081480619
1301308,36,29168,123.42292923752058
1301407,80,35700,224.08963585434174
1301506,14,20393,68.65100769872015
1301605,63,17005,370.47927080270506
1301654,10,16937,59.04233335301411
1301704,45,56144,80.15104018238814
1301803,8,30436,26.284662899198317
1301852,59,49011,120.38113892799575
1301902,105,102701,102.23853711258897
1301951,10,7814,127.9754287176862
1302009,20,9230,216.68472372697724
1302108,3,2251,133.2741003998223
1302207,22,15106,145.6374950350854
1302306,53,13886,381.6793893129771
1302405,84,46882,179.17324346230964
1302504,252,98502,255.83236888591094
1302553,22,33049,66.56782353475143
1302603,9513,2219580,428.59459897818505
1302702,44,56583,77.76187194033544
1302801,6,18261,32.85690816494168
1302900,100,65040,153.75153751537516
1303007,27,21443,125.91521708716131
1303106,21,38026,55.22537211381686
1303205,18,19928,90.32517061421116
1303304,27,26046,103.66275051831376
1303403,276,115363,239.24481852933783
1303502,19,19522,97.32609363794693
1303536,45,37193,120.99050896674105
1303569,5,34106,14.660177094939307
1303601,25,25865,96.65571235260003
1303700,36,21243,169.46758932354186
1303809,177,46303,382.26464807895815
1303908,90,40073,224.5901230254785
1303957,3,14352,20.903010033444815
1304005,4,9230,43.33694474539545
1304062,140,67182,208.38915185615195
1304104,22,17015,129.29767851895386
1304203,283,59547,475.2548407140578
1304237,4,18897,21.167381065777636
1304260,27,13690,197.22425127830533
1304302,10,16130,61.99628022318661
1304401,11,23585,46.63981344074624
1400027,11,13185,83.42813803564657
1400050,34,15380,221.0663198959688
1400100,1260,419652,300.2487775585485
1400159,5,12557,39.81842796846381
1400175,3,18799,15.95829565402415
1400209,6,22283,26.926356415204417
1400233,7,10383,67.4178946354618
1400282,7,12296,56.92908262849707
1400308,17,18172,93.55051727933083
1400407,16,11532,138.7443635102324
1400456,12,18913,63.4484217205097
1400472,34,30782,110.45416152296796
1400605,5,8110,61.652281134401974
1400704,7,10789,64.88089721012142
1500107,309,159080,194.24189087251696
1500131,6,7486,80.14961261020572
1500206,48,55669,86.22393073344232
1500305,18,39567,45.49245583440746
1500347,15,27615,54.31830526887561
1500404,101,57092,176.90744762838926
1500503,105,34076,308.13475760065734
1500602,565,115969,487.19916529417344
1500701,36,29688,121.26111560226354
1500800,1893,535547,353.4703770163963
1500859,23,28607,80.39990212185829
1500909,80,46471,172.1503733511222
1500958,29,31773,91.2724640417965
1501006,8,16404,48.768593026091196
1501105,16,31325,51.077414205905825
1501204,31,48459,63.97160486184197
1501253,7,3262,214.59227467811158
1501303,261,127027,205.46812882300614
1501402,14682,1499641,979.0343155461874
1501451,65,17839,364.3702001233253
1501501,68,63768,106.63655752101367
1501576,11,17118,64.25984343965416
1501600,9,16530,54.4464609800363
1501709,697,128914,540.6705245357371
1501725,31,14983,206.90115464192752
1501758,8,7368,108.57763300760044
1501782,45,67332,66.83300659418998
1501808,298,103497,287.93105114157896
1501907,35,29427,118.93838991402454
1501956,8,34609,23.11537461353983
1502004,9,24064,37.400265957446805
1502103,441,139364,316.4375304956804
1502152,74,38103,194.21042962496392
1502202,447,69431,643.804640578416
1502301,65,54425,119.43040881947634
1502400,1060,203251,521.5226493350586
1502509,2,23948,8.35142809420411
1502608,26,12131,214.3269310032149
1502707,120,47991,250.04688379071075
1502756,37,33781,109.5290251916758
1502764,5,13761,36.33456870866943
1502772,36,17846,201.72587694721506
1502806,24,34994,68.58318568897525
1502855,8,14587,54.84335367107698
1502905,83,40584,204.51409422432485
1502939,82,60469,135.606674494369
1502954,29,33940,85.4449027695934
1503002,19,7070,268.7411598302687
1503044,16,20525,77.9537149817296
1503077,16,26111,61.27685649726169
1503093,29,41081,70.59224458995642
1503101,19,33755,56.28795733965338
1503200,135,39023,345.94982446249645
1503309,84,63036,133.2571863696935
1503408,8,11861,67.44793862237586
1503457,31,65625,47.23809523809524
1503507,38,32595,116.58229789845068
1503606,312,101395,307.7074806450022
1503705,78,53355,146.19061006466123
1503754,60,7590,790.5138339920949
1503804,56,59842,93.5797600347582
1503903,162,58960,274.76255088195387
1504000,28,29282,95.62188375110989
1504059,59,30235,195.13808500082686
1504109,27,8573,314.9422605855593
1504208,1298,283542,457.7805051808903
1504307,34,29516,115.19176040113837
1504406,56,28450,196.83655536028118
1504422,418,133685,312.67531884654227
1504455,10,31975,31.27443315089914
1504505,19,27890,68.12477590534242
1504604,50,31530,158.5791309863622
1504703,123,83182,147.8685292491164
1504752,1,16184,6.1789421651013345
1504802,126,58162,216.63629173687286
1504901,56,40906,136.89923238644698
1504950,15,21444,69.94963626189144
1504976,6,16854,35.5998576005696
1505007,6,15506,38.694698826260804
1505031,33,25766,128.07575875184352
1505064,67,77214,86.77182894293782
1505106,108,52306,206.47726838221237
1505205,39,32850,118.72146118721462
1505304,119,74016,160.77604842196283
1505403,33,17961,183.73141807249038
1505437,8,33335,23.998800059997
1505486,34,48414,70.22762010988556
1505494,5,7582,65.94566077552098
1505502,404,114503,352.8291835148424
1505536,530,213576,248.15522343334456
1505551,7,5410,129.39001848428836
1505601,6,8081,74.24823660438065
1505635,1,12979,7.704753833115032
1505650,10,31659,31.586594649230868
1505700,38,31549,120.44755776728265
1505809,44,62945,69.90229565493685
1505908,46,41801,110.04521422932466
1506005,33,29846,110.567580245259
1506104,16,10857,147.37036013631757
1506112,27,13702,197.0515253247701
1506138,658,85563,769.0239940161051
1506161,51,18201,280.2043843744849
1506187,44,52803,83.32859875385869
1506195,33,51500,64.07766990291262
1506203,129,40922,315.233859537657
1506302,27,24075,112.14953271028037
1506351,45,21449,209.79999067555596
1506401,17,10314,164.8245103742486
1506500,99,71837,137.81199103526038
1506559,15,19843,75.59340825480018
1506583,7,21850,32.036613272311214
1506609,44,24995,176.03520704140828
1506708,36,74419,48.37474300917776
1506807,1715,306480,559.5797441921169
1507003,96,31918,300.77072498276834
1507102,18,18129,99.28843289756743
1507151,29,25753,112.60823981672038
1507201,22,32139,68.45265876349606
1507300,44,132138,33.29852124294298
1507409,9,15930,56.49717514124294
1507458,33,24705,133.57619914996965
1507466,1,6217,16.084928422068522
1507474,59,23244,253.82894510411288
1507508,9,14051,64.05238061347947
1507607,113,59632,189.49557284679366
1507706,23,26974,85.26729443167494
1507755,6,6009,99.85022466300549
1507805,6,11480,52.26480836236934
1507904,54,25565,211.22628593780559
1507953,167,108969,153.25459534362983
1507961,8,11847,67.52764412931543
1507979,36,18917,190.30501665168896
1508001,156,64030,243.6357957207559
1508035,45,31257,143.96775122372588
1508050,30,19168,156.51085141903172
1508084,35,40136,87.20350807255332
1508100,463,115144,402.1051900229278
1508126,54,60761,88.8727966952486
1508159,62,45435,136.4586772312094
1508209,108,54172,199.36498560141771
1508308,37,61751,59.91805800715778
1508357,12,15279,78.5391714117416
1508407,87,45086,192.96455662511644
1600055,4,5488,72.8862973760933
1600105,8,9187,87.07956895613367
1600154,9,17067,52.73334505185446
1600204,3,11306,26.53458340704051
1600238,5,7967,62.758880381573995
1600279,147,51362,286.20380826291813
1600303,1967,512902,383.5040612046746
1600402,12,22053,54.41436539246361
1600501,40,27906,143.33835017558948
1600535,1,22452,4.453946196329948
1600550,2,5246,38.12428516965307
1600600,344,123096,279.45668421394686
1600709,7,17769,39.39445101018628
1600808,4,16254,24.60932693490833
1700251,2,2594,77.10100231303007
1700301,6,6892,87.05745792222866
1700350,6,5346,112.2334455667789
1700400,3,6979,42.986101160624735
1700707,11,8396,131.01476893758934
1701002,16,9492,168.5630004214075
1701051,4,3454,115.80775911986103
1701101,1,4848,20.627062706270628
1701309,14,5731,244.28546501483163
1701903,5,7155,69.88120195667365
1702000,8,8467,94.48446911538916
1702109,1245,183381,678.9143913491583
1702158,7,5793,120.8354911099603
1702208,37,36170,102.29471938070223
1702307,31,6616,468.56106408706165
1702406,18,10534,170.8752610594266
1702554,209,18643,1121.0642064045487
1702703,5,3783,132.17023526301878
1702901,26,9787,265.65852661694083
1703008,8,10666,75.00468779298706
1703057,2,3592,55.67928730512249
1703073,3,4632,64.76683937823834
1703107,9,5651,159.26384710670678
1703305,2,5008,39.936102236421725
1703602,1,2211,45.22840343735866
1703701,1,5519,18.11922449719152
1703800,15,11497,130.46881795250934
1703826,7,2284,306.4798598949212
1703842,3,10312,29.09231962761831
1703867,4,4441,90.06980409817609
1703883,2,2603,76.83442182097579
1703909,4,5442,73.50238882763689
1704105,4,2936,136.23978201634878
1705102,4,3331,120.08405884118883
1705508,86,35851,239.88173272712058
1705557,2,4861,41.14379757251594
1706001,4,5639,70.93456286575633
1706100,7,7278,96.18026930475405
1706506,6,6174,97.18172983479106
1707009,27,22424,120.4067070995362
1707108,7,6943,100.82097076191847
1707207,7,7185,97.42519137091162
1707306,3,4686,64.02048655569783
1707405,5,11139,44.88733279468534
1707553,3,3830,78.3289817232376
1707652,3,5243,57.21914934197978
1707702,12,8874,135.2265043948614
1708205,24,18399,130.44187184086093
1708254,8,2602,307.45580322828596
1708304,5,5130,97.46588693957115
1709005,21,13095,160.36655211912944
1709302,97,26165,370.7242499522263
1709500,522,87545,596.2647781141127
1710508,23,7452,308.641975308642
1710706,4,5832,68.58710562414267
1710904,3,3795,79.05138339920948
1711100,2,2420,82.64462809917356
1711803,1,2184,45.78754578754579
1711902,1,13676,7.312079555425563
1711951,4,4393,91.05394946505805
1712405,6,3733,160.72863648540047
1712504,4,5254,76.13247049866769
1712801,1,3448,29.00232018561485
1713205,78,17936,434.87957181088314
1713304,23,13493,170.45875639220336
1713601,2,8066,24.795437639474336
1713809,11,6745,163.0837657524092
1713957,2,3587,55.75689991636465
1714203,13,9250,140.54054054054055
1714302,3,3834,78.24726134585289
1714880,21,11917,176.21884702525804
1715002,2,4304,46.468401486988846
1715150,2,2332,85.76329331046313
1715705,4,6131,65.242211710977
1715754,9,7676,117.24856696195936
1716109,180,51891,346.8809620165347
1716208,13,10437,124.55686499952094
1716505,32,13773,232.33863355841137
1716604,7,11873,58.95729807125411
1716653,4,5512,72.5689404934688
1716703,4,8141,49.13401302051345
1717008,2,4430,45.146726862302486
1717206,1,3033,32.97065611605671
1717503,9,7743,116.2340178225494
1717800,1,4591,21.78174689610107
1717909,8,8116,98.57072449482504
1718204,186,53316,348.86338059869456
1718303,4,8498,47.06989879971758
1718402,6,3676,163.2208922742111
1718451,1,2717,36.8052999631947
1718501,15,4342,345.46292031321974
1718550,11,4684,234.84201537147737
1718709,1,2856,35.0140056022409
1718758,7,6488,107.89149198520346
1718808,11,4794,229.453483521068
1718840,2,3373,59.29439667951379
1718865,9,7595,118.4990125082291
1718907,2,4846,41.271151465125875
1720002,2,2530,79.05138339920948
1720101,4,5391,74.19773696902244
1720200,9,12294,73.20644216691069
1720309,6,4852,123.6603462489695
1720499,7,3904,179.30327868852459
1720655,11,5428,202.65291083271924
1720804,11,8997,122.26297654773813
1720903,33,16825,196.1367013372957
1720937,4,2166,184.67220683287167
1721000,1507,306296,492.00773108365763
1721109,3,7617,39.38558487593541
1721208,57,22845,249.5075508864084
1721307,5,2729,183.21729571271527
1722081,9,11734,76.7001874893472
1722107,47,11520,407.9861111111111
2100055,344,113121,304.09915046719885
2100105,4,6578,60.808756460930375
2100154,5,12652,39.519443566234585
2100204,13,22112,58.79160636758321
2100303,14,26757,52.32275666180813
2100402,4,8189,48.84601294419343
2100436,37,27858,132.8164261612463
2100477,47,31943,147.13708793788936
2100501,15,11212,133.7852301105958
2100550,4,7005,57.10206995003569
2100600,65,41729,155.76697260897697
2100709,37,26988,137.09796946791167
2100808,23,15894,144.7086951050711
2100832,11,17413,63.171193935565384
2100873,10,15551,64.30454633142563
2100907,52,46771,111.18000470376943
2100956,25,32764,76.30325967525333
2101004,48,29932,160.36349057864493
2101103,8,12183,65.66527127965198
2101202,513,104790,489.55052963068994
2101251,22,17252,127.5214467887781
2101301,14,18654,75.05092741503162
2101350,2,5670,35.27336860670194
2101400,247,95929,257.4820961335988
2101509,15,18924,79.26442612555485
2101608,338,88492,381.9554309994124
2101707,113,63217,178.74938703196923
2101731,3,7528,39.851222104144526
2101772,13,11279,115.2584448975973
2101806,5,5638,88.6839304717985
2101905,27,21299,126.76651485985258
2101939,1,6073,16.466326362588507
2101970,5,8382,59.65163445478406
2102002,45,41822,107.59887140739323
2102036,17,34567,49.179853617612174
2102077,16,16438,97.33544226791581
2102101,62,36651,169.1631879075605
2102150,11,9014,122.03239405369425
2102200,39,28798,135.42607125494825
2102309,30,23939,125.31851789966164
2102325,95,72983,130.1672992340682
2102358,8,15467,51.723023210706664
2102374,3,9478,31.65224730955898
2102408,13,11216,115.9058487874465
2102507,6,19451,30.84674309804123
2102556,23,14453,159.13651145090984
2102606,31,20278,152.87503698589603
2102705,26,22117,117.55663064610933
2102754,25,10935,228.62368541380886
2102804,71,24165,293.81336643906474
2102903,44,23952,183.70073480293922
2103000,912,165525,550.9741730856366
2103109,4,10693,37.40764986439727
2103125,2,8740,22.88329519450801
2103158,9,13670,65.83760058522311
2103174,6,21840,27.47252747252747
2103208,291,80195,362.86551530644056
2103257,28,14777,189.48365703458077
2103307,385,123116,312.7132135546964
2103406,99,49621,199.51230325870094
2103505,61,41312,147.6568551510457
2103554,9,16400,54.8780487804878
2103604,269,65544,410.41132674234103
2103703,123,32626,376.99993869919695
2103752,9,12916,69.68101579436357
2103802,39,23372,166.8663357864111
2103901,20,11401,175.4232084904833
2104008,33,17104,192.93732460243217
2104057,46,42527,108.1665765278529
2104073,15,8484,176.8033946251768
2104081,18,10460,172.08413001912047
2104099,12,19258,62.31176653858137
2104107,24,12647,189.7683245038349
2104206,27,17790,151.77065767284992
2104305,4,11963,33.436428989383934
2104404,50,17944,278.6446723138654
2104503,22,10886,202.09443321697594
2104552,24,18520,129.58963282937364
2104602,49,14656,334.3340611353712
2104628,16,7844,203.9775624681285
2104651,10,10151,98.51246182642105
2104677,51,25539,199.69458475273112
2104701,6,6261,95.83133684714902
2104800,173,70065,246.91358024691357
2104909,23,11997,191.71459531549553
2105005,28,28932,96.77865339416563
2105104,14,27269,51.34034984781253
2105153,10,14324,69.8129014241832
2105203,16,11387,140.51110915956792
2105302,2183,259337,841.7618774027617
2105351,9,16005,56.232427366447986
2105401,35,68723,50.92909215255446
2105427,76,26068,291.5451895043732
2105476,23,17040,134.97652582159625
2105500,12,23740,50.54759898904802
2105609,14,16198,86.4304235090752
2105708,221,50616,436.62083135767347
2105807,5,10869,46.00239212439047
2105906,11,16314,67.42675003064852
2105922,7,11265,62.139369729249886
2105948,16,8857,180.6480749689511
2105963,4,11464,34.89183531053733
2105989,6,7602,78.92659826361484
2106003,25,11918,209.766739385803
2106102,6,12214,49.123956115932536
2106201,4,6984,57.2737686139748
2106300,25,20029,124.81901243197363
2106326,18,21586,83.38738070971927
2106359,2,7775,25.723472668810288
2106375,3,16511,18.169705045121436
2106409,17,16977,100.13547741061436
2106508,60,23482,255.51486244783237
2106607,31,33943,91.32958194620393
2106631,6,17033,35.22573827276463
2106672,8,8483,94.30625957797949
2106706,1,21031,4.754885645000238
2106755,19,28754,66.07776309383043
2106805,15,15011,99.9267204050363
2106904,52,33664,154.46768060836501
2107001,16,9111,175.61189770606958
2107100,39,19572,199.26425505824648
2107209,17,14642,116.10435732823385
2107258,7,5427,128.98470609913397
