ano,cod_municipio,reprovacao_ef
2022,1100015,7.4
2022,1100023,6.1
2022,1100031,2.8
2022,1100049,0.9
2022,1100056,6.3
2022,1100064,3.6
2022,1100072,7.2
2022,1100080,13.1
2022,1100098,2.8
2022,1100106,3.2
2022,1100114,0.7
2022,1100122,3.2
2022,1100130,7.2
2022,1100148,1.8
2022,1100155,6.2
2022,1100189,4.2
2022,1100205,2.4
2022,1100254,7.9
2022,1100262,2.5
2022,1100288,3.0
2022,1100296,3.3
2022,1100304,5.8
2022,1100320,0.7
2022,1100338,7.9
2022,1100346,3.3
2022,1100379,9.8
2022,1100403,10.1
2022,1100452,2.5
2022,1100502,1.7
2022,1100601,8.5
2022,1100700,11.3
2022,1100809,7.3
2022,1100908,3.8
2022,1100924,3.1
2022,1100940,6.9
2022,1101005,3.1
2022,1101104,2.3
2022,1101203,3.2
2022,1101302,9.6
2022,1101401,4.5
2022,1101435,17.5
2022,1101450,2.0
2022,1101468,3.3
2022,1101476,3.5
2022,1101484,6.0
2022,1101492,1.1
2022,1101500,0.4
2022,1101559,7.9
2022,1101609,4.4
2022,1101708,2.8
2022,1101757,7.1
2022,1101807,7.4
2022,1200013,5.7
2022,1200054,2.6
2022,1200104,1.8
2022,1200138,4.4
2022,1200179,7.0
2022,1200203,3.8
2022,1200252,6.0
2022,1200302,7.8
2022,1200328,3.8
2022,1200336,3.5
2022,1200344,7.5
2022,1200351,8.0
2022,1200385,5.0
2022,1200393,4.9
2022,1200401,3.9
2022,1200427,4.3
2022,1200435,2.5
2022,1200450,3.6
2022,1200500,4.3
2022,1200609,4.9
2022,1200708,6.1
2022,1200807,7.9
2022,1300029,9.1
2022,1300060,11.3
2022,1300086,0.7
2022,1300102,3.6
2022,1300144,6.6
2022,1300201,2.7
2022,1300300,8.8
2022,1300409,3.4
2022,1300508,4.5
2022,1300607,2.9
2022,1300631,6.2
2022,1300680,5.7
2022,1300706,1.8
2022,1300805,3.4
2022,1300839,3.6
2022,1300904,10.8
2022,1301001,6.3
2022,1301100,7.4
2022,1301159,9.5
2022,1301209,6.0
2022,1301308,6.9
2022,1301407,6.5
2022,1301506,4.3
2022,1301605,8.0
2022,1301654,6.0
2022,1301704,4.2
2022,1301803,9.4
2022,1301852,4.4
2022,1301902,2.0
2022,1301951,8.8
2022,1302009,4.2
2022,1302108,7.0
2022,1302207,16.2
2022,1302306,7.0
2022,1302405,6.4
2022,1302504,2.5
2022,1302553,3.4
2022,1302603,3.2
2022,1302702,4.8
2022,1302801,12.3
2022,1302900,7.8
2022,1303007,4.6
2022,1303106,3.2
2022,1303205,4.3
2022,1303304,2.5
2022,1303403,4.2
2022,1303502,18.9
2022,1303536,12.8
2022,1303569,2.6
