cod_municipio,sucicidios,pop_2021,sucicidios_100k
1100015,3,22728,13.199577613516368
1100023,29,109523,26.47845657989646
1100031,1,5188,19.275250578257516
1100049,27,85893,31.43445915266669
1100056,1,16204,6.171315724512466
1100064,2,15544,12.866700977869275
1100080,1,18798,5.319714863283328
1100098,3,32695,9.175714941122497
1100106,4,46556,8.591803419537761
1100114,5,51620,9.686168151879116
1100122,2,130009,1.5383550369589798
1100130,1,40867,2.446962096557124
1100148,2,20489,9.761335350675973
1100155,10,35737,27.982203318689315
1100189,5,36881,13.557116130256771
1100205,55,539354,10.19738427822914
1100254,2,18571,10.769479295676055
1100288,14,55407,25.26756547006696
1100296,1,6216,16.087516087516086
1100304,17,102211,16.632260715578557
1100346,1,14106,7.089181908407769
1100452,1,40356,2.47794627812469
1100924,2,11472,17.433751743375176
1100940,1,26183,3.81927204674789
1101005,1,7445,13.431833445265278
1101203,1,9559,10.46134532900931
1101401,2,16007,12.494533641531829
1101492,1,20681,4.835356123978531
1101609,3,10395,28.86002886002886
1101708,2,11272,17.7430801987225
1101757,2,11377,17.579326711786937
1200013,2,15490,12.911555842479018
1200054,2,7534,26.54632333421821
1200104,7,26702,26.21526477417422
1200203,8,89072,8.981498113885396
1200252,1,18696,5.348737697903295
1200344,1,9581,10.437323870159691
1200401,64,413418,15.480699921145185
1200435,1,6717,14.887598630340927
1200450,2,23236,8.60733344809778
1200500,2,46511,4.300058050783686
1200609,3,43151,6.952330189335125
1200708,4,19596,20.412329046744233
1200807,5,18824,26.56183595410115
1300029,5,16220,30.826140567200987
1300060,4,11736,34.08316291751875
1300102,3,21477,13.968431345159939
1300144,2,22359,8.944943870477212
1300201,5,20398,24.512207079125403
1300300,7,40290,17.37403822288409
1300409,2,27638,7.236413633403285
1300508,1,32483,3.0785333866945788
1300607,13,43935,29.589165813133036
1300680,2,19626,10.19056353816366
1300706,1,34635,2.8872527789807996
1300805,2,41748,4.790648653827728
1300839,1,13283,7.528419784687194
1301001,1,28508,3.507787287778869
1301100,2,38348,5.215395848544905
1301209,3,85910,3.4920265394016994
1301407,11,35700,30.81232492997199
1301506,6,20393,29.421860442308635
1301605,2,17005,11.761246692149367
1301654,3,16937,17.71270000590423
1301704,6,56144,10.686805357651753
1301852,8,49011,16.322866295321457
1301902,7,102701,6.815902474172598
1302009,1,9230,10.834236186348862
1302108,4,2251,177.6988005330964
1302207,2,15106,13.239772275916854
1302306,3,13886,21.604493734696817
1302504,15,98502,15.228117195589936
1302603,209,2219580,9.416195856873824
1302702,2,56583,3.5346305427425198
1302900,3,65040,4.612546125461255
1303007,7,21443,32.64468591148626
1303106,7,38026,18.408457371272288
1303205,2,19928,10.036130068245685
1303403,8,115363,6.934632421140227
1303536,9,37193,24.19810179334821
1303569,3,34106,8.796106256963585
1303601,1,25865,3.8662284941040017
1303700,3,21243,14.122299110295156
1303809,28,46303,60.47124376390299
1303908,8,40073,19.963566491153646
1304005,2,9230,21.668472372697725
1304062,13,67182,19.350421243785537
1304104,6,17015,35.26300323244196
1304203,24,59547,40.30429744571515
1304260,1,13690,7.304601899196494
1304302,3,16130,18.598884066955982
1304401,3,23585,12.71994912020352
1400027,3,13185,22.753128555176335
1400050,3,15380,19.50585175552666
1400100,21,419652,5.004146292642475
1400175,9,18799,47.87488696207245
1400209,2,22283,8.975452138401472
1400308,2,18172,11.00594320933304
1400472,1,30782,3.2486518094990577
1500107,7,159080,4.400301734976113
1500305,8,39567,20.21886925973665
1500347,1,27615,3.621220351258374
1500503,2,34076,5.869233478107759
1500602,27,115969,23.28208400520829
1500701,2,29688,6.736728644570197
1500800,11,535547,2.053974721172932
1500859,2,28607,6.991295836683329
1500909,2,46471,4.303759333778055
1500958,2,31773,6.2946526925376896
1501006,1,16404,6.0960741282613995
1501204,1,48459,2.063600156833612
1501303,7,127027,5.510639470348823
1501402,90,1499641,6.001436343764941
1501451,1,17839,5.605695386512697
1501709,3,128914,2.3271328172269885
1501725,2,14983,13.348461589801776
