ano,cod_municipio,tdi_ef
2022,1100015,13.7
2022,1100023,11.5
2022,1100031,7.7
2022,1100049,5.4
2022,1100056,7.2
2022,1100064,6.2
2022,1100072,10
2022,1100080,19.9
2022,1100098,9
2022,1100106,21.7
2022,1100114,6.5
2022,1100122,8.4
2022,1100130,15.2
2022,1100148,4.6
2022,1100155,10.7
2022,1100189,6.9
2022,1100205,12.2
2022,1100254,6.4
2022,1100262,16.8
2022,1100288,6.2
2022,1100296,4.8
2022,1100304,8.4
2022,1100320,5.7
2022,1100338,19.6
2022,1100346,8.4
2022,1100379,15.5
2022,1100403,14.1
2022,1100452,9
2022,1100502,7.9
2022,1100601,10.8
2022,1100700,16.3
2022,1100809,21
2022,1100908,9.6
2022,1100924,12.8
2022,1100940,14.7
2022,1101005,12.7
2022,1101104,12.8
2022,1101203,5.7
2022,1101302,12.1
2022,1101401,17.5
2022,1101435,13.4
2022,1101450,11
2022,1101468,8.5
2022,1101476,5.7
2022,1101484,5.7
2022,1101492,7.8
2022,1101500,7.9
2022,1101559,10.7
2022,1101609,9.5
2022,1101708,10.5
2022,1101757,12
2022,1101807,11.8
2022,1200013,18.7
2022,1200054,40.7
2022,1200104,13.5
2022,1200138,25.3
2022,1200179,24.9
2022,1200203,18
2022,1200252,18.3
2022,1200302,37.3
2022,1200328,34.1
2022,1200336,21.7
2022,1200344,35.7
2022,1200351,32.3
2022,1200385,23.6
2022,1200393,29.8
2022,1200401,13.6
2022,1200427,18.7
2022,1200435,31.8
2022,1200450,19.1
2022,1200500,28.2
2022,1200609,33.8
2022,1200708,27.3
2022,1200807,26.1
2022,1300029,27.1
2022,1300060,21.8
2022,1300086,15.2
2022,1300102,14.4
2022,1300144,24.3
2022,1300201,32.2
2022,1300300,23.1
2022,1300409,23.1
2022,1300508,14.5
2022,1300607,14.2
2022,1300631,26.8
2022,1300680,17.1
2022,1300706,17.8
2022,1300805,20.9
2022,1300839,22.4
2022,1300904,32.2
2022,1301001,21.9
2022,1301100,20.1
2022,1301159,20.7
2022,1301209,18.9
2022,1301308,22
2022,1301407,21.7
2022,1301506,33.2
2022,1301605,26.2
2022,1301654,23.1
2022,1301704,18.1
2022,1301803,35.7
2022,1301852,20.7
2022,1301902,11.1
2022,1301951,32.4
2022,1302009,13.6
2022,1302108,35.9
2022,1302207,37.1
2022,1302306,26.8
2022,1302405,27.2
2022,1302504,13.8
2022,1302553,17.1
2022,1302603,10.8
2022,1302702,16.7
2022,1302801,30.5
2022,1302900,24.3
2022,1303007,13.7
2022,1303106,21
2022,1303205,17.4
2022,1303304,18
2022,1303403,11.2
2022,1303502,48.1
2022,1303536,20.9
2022,1303569,18.7
2022,1303601,21.1
2022,1303700,25.3
2022,1303809,26.8
2022,1303908,20
2022,1303957,14.3
2022,1304005,15.6
2022,1304062,11.4
2022,1304104,31.2
2022,1304203,21
2022,1304237,19.1
2022,1304260,31.3
2022,1304302,11.6
2022,1304401,16.6
2022,1400027,30.2
2022,1400050,34.8
2022,1400100,14.2
2022,1400159,21.2
2022,1400175,17.1
2022,1400209,25.2
2022,1400233,23.1
2022,1400282,26.6
2022,1400308,19.5
2022,1400407,17.1
2022,1400456,14.8
2022,1400472,21.5
2022,1400506,21.8
2022,1400605,15.7
2022,1400704,25.7
2022,1500107,19.5
2022,1500131,18.4
2022,1500206,31.9
2022,1500305,43.1
2022,1500347,28.8
2022,1500404,28.6
2022,1500503,33
2022,1500602,20.2
2022,1500701,42.7
2022,1500800,17.1
2022,1500859,27.8
2022,1500909,25.2
2022,1500958,23.8
2022,1501006,28.1
2022,1501105,36.6
2022,1501204,34.2
2022,1501253,36
2022,1501303,23.2
2022,1501402,18.3
2022,1501451,23.3
2022,1501501,12.2
2022,1501576,23.3
2022,1501600,23.2
2022,1501709,23.6
2022,1501725,17.4
2022,1501758,28.3
2022,1501782,23.7
2022,1501808,39.9
2022,1501907,24.2
2022,1501956,22.6
2022,1502004,29.1
2022,1502103,29.4
2022,1502152,15.3
2022,1502202,20.7
2022,1502301,25.9
2022,1502400,23.5
2022,1502509,39.2
2022,1502608,19.8
2022,1502707,15.2
2022,1502756,30.5
2022,1502764,32.8
2022,1502772,13
2022,1502806,43.8
2022,1502855,20.4
2022,1502905,25.2
2022,1502939,17.4
2022,1502954,22
2022,1503002,18.2
2022,1503044,16.9
2022,1503077,32.8
2022,1503093,24
2022,1503101,35.9
2022,1503200,23.6
2022,1503309,27.8
2022,1503408,23.3
2022,1503457,24.3
2022,1503507,22.8
2022,1503606,26.4
2022,1503705,27.5
2022,1503754,31.5
2022,1503804,22.3
2022,1503903,13.6
2022,1504000,32.3
2022,1504059,24.2
2022,1504109,23.3
2022,1504208,16
2022,1504307,24.7
2022,1504406,23.1
2022,1504422,20.9
2022,1504455,28.6
2022,1504505,35
2022,1504604,27.2
2022,1504703,21.6
2022,1504752,16.9
2022,1504802,21.5
2022,1504901,30
2022,1504950,27.4
2022,1504976,38.8
2022,1505007,17.1
2022,1505031,17.7
2022,1505064,27.3
2022,1505106,23.6
2022,1505205,36.3
2022,1505304,19.5
2022,1505403,25.4
2022,1505437,23.5
2022,1505486,33.3
2022,1505494,32
2022,1505502,17.3
2022,1505536,12.1
2022,1505551,25.3
2022,1505601,26.4
2022,1505635,20.1
2022,1505650,18.5
2022,1505700,22
2022,1505809,46.8
2022,1505908,43.5
2022,1506005,24
2022,1506104,23.9
2022,1506112,28
2022,1506138,15.8
2022,1506161,15.2
2022,1506187,30.9
2022,1506195,24.8
2022,1506203,17.2
2022,1506302,26.2
2022,1506351,17.5
2022,1506401,28.8
2022,1506500,20.2
2022,1506559,25.3
2022,1506583,26.1
2022,1506609,28.9
2022,1506708,32.7
2022,1506807,13.5
2022,1506906,20.7
2022,1507003,23.3
2022,1507102,27.5
2022,1507151,24
2022,1507201,39.4
2022,1507300,29
2022,1507409,23.4
2022,1507458,24.5
2022,1507466,17.1
2022,1507474,20.1
2022,1507508,25.9
2022,1507607,30.2
2022,1507706,24.3
2022,1507755,29.2
2022,1507805,26.1
2022,1507904,28.3
2022,1507953,24.5
2022,1507961,22.8
2022,1507979,9
2022,1508001,19.8
2022,1508035,25
2022,1508050,28.4
2022,1508084,21.7
2022,1508100,21.1
2022,1508126,12.4
2022,1508159,16.6
2022,1508209,21.8
2022,1508308,27.3
2022,1508357,20.6
2022,1508407,24.6
2022,1600055,22.3
2022,1600105,21.7
2022,1600154,34.5
2022,1600204,30.2
2022,1600212,31
2022,1600238,30.5
2022,1600253,33.1
2022,1600279,26.6
2022,1600303,21.3
2022,1600402,30
2022,1600501,42.5
2022,1600535,24.7
2022,1600550,32.5
2022,1600600,19.2
2022,1600709,32.2
2022,1600808,28.2
2022,1700251,10.6
2022,1700301,15.3
2022,1700350,9.4
2022,1700400,10.4
2022,1700707,10.1
2022,1701002,11.2
2022,1701051,14.6
2022,1701101,9.8
2022,1701309,14.4
2022,1701903,8.1
2022,1702000,8.9
2022,1702109,10.3
2022,1702158,16.5
2022,1702208,14.8
2022,1702307,13.1
2022,1702406,17.5
2022,1702554,11.3
2022,1702703,8.8
2022,1702901,13.7
2022,1703008,12.9
2022,1703057,11.8
2022,1703073,21.2
2022,1703107,8.4
2022,1703206,13.2
2022,1703305,6.1
2022,1703602,10.4
2022,1703701,13.6
2022,1703800,13.8
2022,1703826,8.6
2022,1703842,16.8
2022,1703867,9.8
2022,1703883,23.3
2022,1703891,14
2022,1703909,9.5
2022,1704105,12.1
2022,1704600,7.7
2022,1705102,19
2022,1705508,11.9
2022,1705557,9.2
2022,1705607,21.8
2022,1706001,14
2022,1706100,11.6
2022,1706258,15
2022,1706506,18
2022,1707009,17.4
2022,1707108,8.3
2022,1707207,14
2022,1707306,10.3
2022,1707405,20.1
2022,1707553,11.8
2022,1707652,12.4
2022,1707702,20.1
2022,1708205,13
2022,1708254,6.6
2022,1708304,7.2
2022,1709005,17.1
2022,1709302,9.3
2022,1709500,7.4
2022,1709807,10.2
2022,1710508,7.1
2022,1710706,16
2022,1710904,6.9
2022,1711100,12.3
2022,1711506,16.4
2022,1711803,15.2
2022,1711902,15.6
2022,1711951,19.6
2022,1712009,10.8
2022,1712157,9.8
2022,1712405,14.8
2022,1712454,10.2
2022,1712504,14.8
2022,1712702,15.8
2022,1712801,15.2
2022,1713205,12.6
2022,1713304,10.6
2022,1713601,15.2
2022,1713700,8.7
2022,1713809,14.4
2022,1713957,12.3
2022,1714203,9.4
2022,1714302,16.6
2022,1714880,18.7
2022,1715002,8.1
2022,1715101,10.6
2022,1715150,10.8
2022,1715259,17.9
2022,1715507,22.5
2022,1715705,19.7
2022,1715754,6.5
2022,1716109,6.4
2022,1716208,19.9
2022,1716307,17.2
2022,1716505,4.5
2022,1716604,16.9
2022,1716653,11.6
2022,1716703,10.7
2022,1717008,18.5
2022,1717206,13.5
2022,1717503,10.7
2022,1717800,18.9
2022,1717909,13.3
2022,1718006,15
2022,1718204,13.4
2022,1718303,14.8
2022,1718402,8.9
