ano,cod_municipio,tdi_em
2022,1100015,19.6
2022,1100023,20.5
2022,1100031,14.3
2022,1100049,14.3
2022,1100056,17
2022,1100064,13.2
2022,1100072,17.7
2022,1100080,22
2022,1100098,11.2
2022,1100106,28.6
2022,1100114,17.6
2022,1100122,16.8
2022,1100130,29
2022,1100148,14.5
2022,1100155,17.9
2022,1100189,20.1
2022,1100205,23.2
2022,1100254,10.2
2022,1100262,23.9
2022,1100288,15.3
2022,1100296,9.3
2022,1100304,21.6
2022,1100320,16.2
2022,1100338,26.9
2022,1100346,13.5
2022,1100379,22.8
2022,1100403,20.4
2022,1100452,20.4
2022,1100502,15.3
2022,1100601,14.6
2022,1100700,33.8
2022,1100809,16.2
2022,1100908,24.7
2022,1100924,27.9
2022,1100940,23.7
2022,1101005,20.7
2022,1101104,25.8
2022,1101203,16.4
2022,1101302,20.1
2022,1101401,24.9
2022,1101435,27.1
2022,1101450,15.3
2022,1101468,21.3
2022,1101476,20.5
2022,1101484,25.3
2022,1101492,16.3
2022,1101500,15.8
2022,1101559,25.9
2022,1101609,20.9
2022,1101708,21.7
2022,1101757,35.2
2022,1101807,27.2
2022,1200013,35.4
2022,1200054,39.9
2022,1200104,19.4
2022,1200138,39.3
2022,1200179,34.1
2022,1200203,31.9
2022,1200252,17.2
2022,1200302,48.5
2022,1200328,31.8
2022,1200336,37.8
2022,1200344,33
2022,1200351,50.9
2022,1200385,26
2022,1200393,48.9
2022,1200401,23.2
2022,1200427,39.1
2022,1200435,65.2
2022,1200450,21
2022,1200500,43.6
2022,1200609,40.8
2022,1200708,36.2
2022,1200807,38.9
2022,1300029,54.2
2022,1300060,41.3
2022,1300086,27.6
2022,1300102,22.5
2022,1300144,27.3
2022,1300201,53.2
2022,1300300,37.5
2022,1300409,33.8
2022,1300508,48.8
2022,1300607,29.3
2022,1300631,44.4
2022,1300680,39.2
2022,1300706,29.2
2022,1300805,39.4
2022,1300839,39.2
2022,1300904,28.9
2022,1301001,22.8
2022,1301100,40.7
2022,1301159,36.9
2022,1301209,34.3
2022,1301308,42.5
2022,1301407,27.7
2022,1301506,17
2022,1301605,48.6
2022,1301654,38.7
2022,1301704,34
2022,1301803,55.4
2022,1301852,39.8
2022,1301902,34.6
2022,1301951,27.4
2022,1302009,21.4
2022,1302108,55.8
2022,1302207,51.7
2022,1302306,44.9
2022,1302405,39.7
2022,1302504,28.8
2022,1302553,40
2022,1302603,24.3
2022,1302702,35.3
2022,1302801,63.9
2022,1302900,48.6
2022,1303007,32.1
2022,1303106,43
2022,1303205,31.9
2022,1303304,38.7
2022,1303403,25.5
2022,1303502,35.8
2022,1303536,30.6
2022,1303569,33.4
2022,1303601,39.6
2022,1303700,45.2
2022,1303809,44.9
2022,1303908,41.6
2022,1303957,25.7
2022,1304005,32.6
