cod_municipio,n_acoes,pelo_menos_um_acao
1100015,0,0
1100023,0,0
1100031,0,0
1100049,8,1
1100056,3,1
1100064,4,1
1100072,0,0
1100080,4,1
1100098,0,0
1100106,8,1
1100114,0,0
1100122,0,0
1100130,5,1
1100148,6,1
1100155,0,0
1100189,0,0
1100205,5,1
1100254,0,0
1100262,4,1
1100288,0,0
1100296,0,0
1100304,0,0
1100320,0,0
1100338,0,0
1100346,8,1
1100379,0,0
1100403,0,0
1100452,5,1
1100502,0,0
1100601,6,1
1100700,4,1
1100809,0,0
1100908,0,0
1100924,0,0
1100940,3,1
1101005,5,1
1101104,5,1
1101203,0,0
1101302,0,0
1101401,4,1
1101435,0,0
1101450,0,0
1101468,5,1
1101476,0,0
1101484,0,0
1101492,10,1
1101500,5,1
1101559,4,1
1101609,0,0
1101708,5,1
1101757,0,0
1101807,4,1
1200013,6,1
1200054,6,1
1200104,0,0
1200138,0,0
1200179,0,0
1200203,7,1
1200252,4,1
1200302,0,0
1200328,0,0
1200336,4,1
1200344,0,0
1200351,4,1
1200385,0,0
1200393,6,1
1200401,9,1
1200427,3,1
1200435,0,0
1200450,0,0
1200500,0,0
1200609,0,0
1200708,0,0
1200807,0,0
1300029,4,1
1300060,0,0
1300086,6,1
1300102,0,0
1300144,4,1
1300201,0,0
1300300,8,1
1300409,5,1
1300508,0,0
1300607,0,0
1300631,6,1
1300680,7,1
1300706,0,0
1300805,5,1
1300839,0,0
1300904,0,0
1301001,0,0
1301100,0,0
1301159,4,1
1301209,6,1
1301308,4,1
1301407,5,1
1301506,4,1
1301605,6,1
1301654,4,1
1301704,0,0
1301803,3,1
1301852,0,0
1301902,8,1
1301951,5,1
1302009,0,0
1302108,5,1
1302207,0,0
1302306,0,0
1302405,0,0
1302504,6,1
1302553,0,0
1302603,9,1
1302702,10,1
1302801,2,1
1302900,0,0
1303007,0,0
1303106,7,1
1303205,0,0
1303304,5,1
1303403,0,0
1303502,8,1
1303536,9,1
1303569,5,1
1303601,0,0
1303700,6,1
1303809,0,0
1303908,8,1
1303957,0,0
1304005,0,0
1304062,0,0
1304104,0,0
1304203,7,1
1304237,8,1
1304260,0,0
1304302,0,0
1304401,4,1
1400027,0,0
1400050,0,0
1400100,9,1
1400159,0,0
1400175,6,1
1400209,0,0
1400233,0,0
1400282,0,0
1400308,0,0
1400407,0,0
1400456,0,0
1400472,0,0
1400506,0,0
1400605,0,0
1400704,0,0
1500107,10,1
1500131,0,0
1500206,7,1
1500305,6,1
1500347,0,0
1500404,0,0
1500503,3,1
1500602,0,0
1500701,0,0
1500800,0,0
1500859,0,0
1500909,0,0
1500958,0,0
1501006,0,0
1501105,2,1
1501204,0,0
1501253,0,0
1501303,10,1
1501402,0,0
1501451,0,0
1501501,3,1
1501576,11,1
1501600,6,1
1501709,0,0
1501725,8,1
1501758,0,0
1501782,0,0
1501808,0,0
1501907,5,1
1501956,0,0
1502004,0,0
1502103,0,0
1502152,5,1
1502202,5,1
1502301,9,1
1502400,10,1
1502509,4,1
1502608,0,0
1502707,0,0
1502756,9,1
1502764,0,0
1502772,7,1
1502806,0,0
1502855,0,0
1502905,0,0
1502939,0,0
1502954,5,1
1503002,0,0
1503044,0,0
1503077,7,1
1503093,7,1
1503101,6,1
1503200,0,0
1503309,0,0
1503408,7,1
1503457,0,0
1503507,0,0
1503606,0,0
1503705,8,1
1503754,5,1
1503804,7,1
1503903,0,0
1504000,0,0
1504059,7,1
1504109,5,1
1504208,7,1
1504307,6,1
1504406,0,0
1504422,7,1
1504455,0,0
1504505,0,0
1504604,0,0
1504703,0,0
1504752,0,0
1504802,0,0
1504901,7,1
1504950,5,1
1504976,0,0
1505007,4,1
1505031,0,0
1505064,11,1
1505106,0,0
1505205,6,1
1505304,0,0
1505403,6,1
1505437,0,0
1505486,5,1
1505494,0,0
