cod_municipio,n_eventos,pelo_menos_um_evento
1100015,3,1
1100023,9,1
1100031,3,1
1100049,6,1
1100056,4,1
1100064,4,1
1100072,3,1
1100080,2,1
1100098,7,1
1100106,3,1
1100114,3,1
1100122,7,1
1100130,3,1
1100148,4,1
1100155,3,1
1100189,7,1
1100205,9,1
1100254,6,1
1100262,6,1
1100288,6,1
1100296,1,1
1100304,9,1
1100320,3,1
1100338,7,1
1100346,2,1
1100379,3,1
1100403,2,1
1100452,2,1
1100502,2,1
1100601,3,1
1100700,3,1
1100809,3,1
1100908,1,1
1100924,4,1
1100940,1,1
1101005,1,1
1101104,3,1
1101203,1,1
1101302,2,1
1101401,3,1
1101435,1,1
1101450,1,1
1101468,2,1
1101476,2,1
1101484,2,1
1101492,1,1
1101500,4,1
1101559,3,1
1101609,2,1
1101708,2,1
1101757,2,1
1101807,2,1
1200013,3,1
1200054,6,1
1200104,5,1
1200138,0,0
1200179,7,1
1200203,11,1
1200252,5,1
1200302,4,1
1200328,2,1
1200336,7,1
1200344,3,1
1200351,6,1
1200385,6,1
1200393,4,1
1200401,14,1
1200427,2,1
1200435,2,1
1200450,2,1
1200500,6,1
1200609,6,1
1200708,5,1
1200807,5,1
1300029,5,1
1300060,2,1
1300086,3,1
1300102,1,1
1300144,2,1
1300201,4,1
1300300,2,1
1300409,4,1
1300508,2,1
1300607,8,1
1300631,4,1
1300680,3,1
1300706,4,1
1300805,6,1
1300839,7,1
1300904,4,1
1301001,4,1
1301100,5,1
1301159,3,1
1301209,4,1
1301308,6,1
1301407,2,1
1301506,3,1
1301605,9,1
1301654,3,1
1301704,4,1
1301803,7,1
1301852,3,1
1301902,11,1
1301951,2,1
1302009,1,1
1302108,7,1
1302207,4,1
1302306,2,1
1302405,3,1
1302504,4,1
1302553,5,1
1302603,13,1
1302702,2,1
1302801,6,1
1302900,7,1
1303007,4,1
1303106,7,1
1303205,5,1
1303304,7,1
1303403,8,1
1303502,5,1
1303536,8,1
1303569,4,1
1303601,4,1
1303700,5,1
1303809,2,1
1303908,4,1
1303957,3,1
1304005,7,1
1304062,3,1
1304104,3,1
1304203,5,1
1304237,1,1
1304260,3,1
1304302,4,1
1304401,3,1
1400027,2,1
1400050,2,1
1400100,13,1
1400159,2,1
1400175,2,1
1400209,8,1
1400233,3,1
1400282,2,1
1400308,7,1
