cod_municipio,n_dir,pelo_menos_um_dir
1100015,10,1
1100023,3,1
1100031,4,1
1100049,4,1
1100056,5,1
1100064,0,0
1100072,6,1
1100080,5,1
1100098,1,1
1100106,5,1
1100114,3,1
1100122,0,0
1100130,2,1
1100148,0,0
1100155,4,1
1100189,2,1
1100205,3,1
1100254,1,1
1100262,4,1
1100288,5,1
1100296,3,1
1100304,2,1
1100320,0,0
1100338,0,0
1100346,6,1
1100379,4,1
1100403,0,0
1100452,1,1
1100502,3,1
1100601,3,1
1100700,2,1
1100809,1,1
1100908,10,1
1100924,1,1
1100940,1,1
1101005,3,1
1101104,1,1
1101203,0,0
1101302,2,1
1101401,0,0
1101435,0,0
1101450,0,0
1101468,0,0
1101476,0,0
1101484,3,1
1101492,9,1
1101500,4,1
1101559,6,1
1101609,2,1
1101708,6,1
1101757,3,1
1101807,2,1
1200013,1,1
1200054,7,1
1200104,3,1
1200138,0,0
1200179,0,0
1200203,3,1
1200252,2,1
1200302,0,0
1200328,0,0
1200336,3,1
1200344,3,1
1200351,0,0
1200385,2,1
1200393,0,0
1200401,5,1
1200427,0,0
1200435,0,0
1200450,4,1
1200500,5,1
1200609,3,1
1200708,0,0
1200807,0,0
1300029,0,0
1300060,2,1
1300086,3,1
1300102,1,1
1300144,6,1
1300201,9,1
1300300,8,1
1300409,1,1
1300508,0,0
1300607,10,1
1300631,5,1
1300680,5,1
1300706,0,0
1300805,7,1
1300839,0,0
1300904,0,0
1301001,0,0
1301100,4,1
1301159,2,1
1301209,5,1
1301308,5,1
1301407,2,1
1301506,3,1
1301605,5,1
1301654,2,1
1301704,0,0
1301803,2,1
1301852,0,0
1301902,5,1
1301951,0,0
1302009,3,1
1302108,5,1
1302207,0,0
1302306,0,0
1302405,3,1
1302504,5,1
1302553,8,1
1302603,7,1
1302702,9,1
1302801,2,1
1302900,9,1
1303007,0,0
1303106,8,1
1303205,9,1
1303304,7,1
1303403,7,1
1303502,9,1
1303536,6,1
1303569,5,1
1303601,3,1
1303700,8,1
1303809,0,0
1303908,5,1
1303957,1,1
1304005,2,1
1304062,1,1
1304104,2,1
1304203,12,1
1304237,5,1
1304260,0,0
1304302,0,0
1304401,2,1
1400027,4,1
1400050,8,1
1400100,0,0
1400159,1,1
1400175,6,1
1400209,1,1
1400233,2,1
1400282,3,1
1400308,5,1
1400407,4,1
1400456,0,0
1400472,5,1
1400506,10,1
1400605,2,1
1400704,5,1
1500107,4,1
1500131,4,1
1500206,13,1
1500305,6,1
1500347,3,1
1500404,0,0
1500503,0,0
1500602,0,0
1500701,1,1
1500800,7,1
1500859,0,0
1500909,5,1
1500958,0,0
1501006,2,1
1501105,0,0
1501204,4,1
1501253,4,1
1501303,4,1
1501402,7,1
1501451,1,1
1501501,6,1
1501576,3,1
1501600,5,1
1501709,4,1
1501725,11,1
1501758,3,1
1501782,6,1
1501808,4,1
1501907,2,1
1501956,1,1
1502004,7,1
1502103,3,1
1502152,3,1
1502202,3,1
1502301,13,1
1502400,5,1
1502509,0,0
1502608,1,1
1502707,2,1
1502756,7,1
1502764,6,1
1502772,0,0
1502806,2,1
1502855,1,1
1502905,0,0
1502939,3,1
1502954,6,1
1503002,1,1
1503044,7,1
1503077,8,1
1503093,6,1
1503101,2,1
1503200,1,1
1503309,2,1
1503408,2,1
1503457,2,1
1503507,3,1
1503606,8,1
1503705,11,1
1503754,2,1
1503804,3,1
1503903,1,1
1504000,0,0
1504059,3,1
1504109,0,0
1504208,3,1
1504307,1,1
1504406,2,1
1504422,7,1
1504455,4,1
1504505,0,0
1504604,0,0
1504703,1,1
1504752,0,0
1504802,0,0
1504901,2,1
1504950,6,1
1504976,2,1
1505007,8,1
1505031,3,1
1505064,14,1
1505106,4,1
1505205,0,0
1505304,0,0
1505403,10,1
1505437,3,1
1505486,3,1
1505494,0,0
1505502,5,1
1505536,0,0
1505551,1,1
1505601,0,0
1505635,6,1
1505650,0,0
1505700,0,0
1505809,4,1
1505908,3,1
1506005,2,1
1506104,10,1
1506112,9,1
1506138,2,1
1506161,2,1
1506187,0,0
1506195,0,0
1506203,6,1
1506302,2,1
1506351,3,1
1506401,0,0
1506500,1,1
1506559,0,0
1506583,6,1
1506609,4,1
1506708,5,1
1506807,4,1
1506906,1,1
1507003,2,1
1507102,2,1
1507151,0,0
1507201,2,1
1507300,3,1
1507409,3,1
1507458,3,1
1507466,3,1
1507474,6,1
1507508,2,1
1507607,6,1
1507706,2,1
1507755,5,1
1507805,1,1
1507904,6,1
1507953,4,1
1507961,3,1
1507979,0,0
1508001,3,1
1508035,6,1
1508050,4,1
1508084,5,1
1508100,4,1
1508126,4,1
1508159,0,0
1508209,0,0
1508308,3,1
1508357,5,1
1508407,4,1
1600055,1,1
1600105,1,1
1600154,2,1
1600204,3,1
1600212,3,1
1600238,2,1
1600253,3,1
1600279,4,1
1600303,3,1
1600402,3,1
1600501,1,1
1600535,2,1
1600550,1,1
1600600,8,1
1600709,2,1
1600808,3,1
1700251,1,1
1700301,5,1
1700350,2,1
1700400,5,1
1700707,2,1
1701002,0,0
1701051,4,1
1701101,2,1
1701309,3,1
1701903,4,1
1702000,0,0
1702109,7,1
1702158,4,1
1702208,9,1
1702307,6,1
1702406,5,1
1702554,6,1
1702703,0,0
1702901,0,0
1703008,8,1
1703057,0,0
1703073,0,0
1703107,2,1
1703206,0,0
1703305,1,1
1703602,7,1
1703701,4,1
1703800,4,1
1703826,4,1
1703842,0,0
1703867,0,0
1703883,4,1
1703891,4,1
1703909,2,1
1704105,5,1
1704600,0,0
1705102,0,0
1705508,7,1
1705557,1,1
1705607,2,1
1706001,6,1
1706100,0,0
1706258,1,1
1706506,1,1
1707009,6,1
1707108,0,0
1707207,2,1
1707306,2,1
1707405,6,1
1707553,0,0
1707652,1,1
1707702,0,0
1708205,2,1
1708254,3,1
1708304,3,1
1709005,0,0
1709302,6,1
1709500,3,1
1709807,4,1
1710508,2,1
1710706,0,0
1710904,5,1
1711100,1,1
1711506,1,1
1711803,0,0
1711902,5,1
1711951,0,0
1712009,6,1
1712157,0,0
1712405,0,0
1712454,3,1
1712504,2,1
1712702,0,0
1712801,2,1
1713205,2,1
1713304,12,1
1713601,1,1
1713700,2,1
1713809,2,1
1713957,5,1
1714203,1,1
1714302,2,1
1714880,0,0
1715002,0,0
1715101,2,1
1715150,1,1
1715259,2,1
1715507,1,1
1715705,4,1
1715754,5,1
1716109,2,1
1716208,0,0
1716307,3,1
1716505,6,1
1716604,0,0
1716653,0,0
1716703,2,1
1717008,6,1
1717206,0,0
1717503,1,1
1717800,1,1
1717909,1,1
1718006,3,1
1718204,11,1
1718303,4,1
1718402,3,1
1718451,0,0
1718501,1,1
1718550,2,1
1718659,0,0
1718709,0,0
1718758,3,1
1718808,5,1
1718840,3,1
1718865,0,0
1718881,2,1
1718899,0,0
1718907,4,1
1719004,0,0
1720002,2,1
1720101,1,1
1720150,1,1
1720200,2,1
1720259,0,0
1720309,0,0
1720499,2,1
1720655,6,1
1720804,6,1
1720853,0,0
1720903,1,1
1720937,3,1
1720978,0,0
1721000,9,1
1721109,8,1
1721208,1,1
1721257,6,1
1721307,0,0
1722081,4,1
1722107,1,1
2100055,8,1
2100105,1,1
2100154,4,1
2100204,2,1
2100303,2,1
2100402,1,1
2100436,4,1
2100477,3,1
2100501,0,0
2100550,0,0
2100600,2,1
2100709,2,1
2100808,4,1
2100832,0,0
2100873,0,0
2100907,1,1
2100956,0,0
2101004,1,1
2101103,3,1
2101202,0,0
2101251,1,1
2101301,0,0
2101350,3,1
2101400,1,1
2101509,9,1
2101608,0,0
2101707,2,1
2101731,12,1
2101772,13,1
2101806,1,1
2101905,2,1
2101939,5,1
2101970,1,1
2102002,4,1
2102036,3,1
2102077,0,0
2102101,1,1
2102150,4,1
2102200,0,0
2102309,5,1
2102325,9,1
2102358,2,1
2102374,0,0
2102408,0,0
2102507,1,1
2102556,1,1
2102606,1,1
2102705,7,1
2102754,1,1
2102804,7,1
2102903,2,1
2103000,3,1
2103109,0,0
2103125,3,1
2103158,5,1
2103174,5,1
2103208,4,1
2103257,0,0
2103307,10,1
2103406,3,1
2103505,6,1
2103554,0,0
2103604,1,1
2103703,13,1
2103752,0,0
2103802,0,0
2103901,1,1
2104008,3,1
2104057,5,1
2104073,1,1
2104081,0,0
2104099,3,1
2104107,3,1
2104206,2,1
2104305,4,1
2104404,0,0
2104503,0,0
2104552,0,0
2104602,0,0
2104628,0,0
2104651,5,1
2104677,6,1
2104701,3,1
2104800,3,1
2104909,11,1
2105005,0,0
2105104,4,1
2105153,1,1
2105203,0,0
2105302,2,1
2105351,0,0
2105401,5,1
2105427,3,1
2105450,0,0
2105476,2,1
2105500,6,1
2105609,2,1
2105658,0,0
