cod_municipio,frota_onibus_microonibus,pop_2021,frota_onibus_microonibus_por_1k_hab
1100015,7806,22728,343.4530095036959
1100023,28952,109523,264.34630169005595
1100031,1639,5188,315.9213569776407
1100049,28083,85893,326.9533023645699
1100056,4987,16204,307.7635151814367
1100064,5573,15544,358.53062274832735
1100072,2263,7220,313.43490304709144
1100080,2484,18798,132.14171720395788
1100098,9171,32695,280.5016057501147
1100106,6984,46556,150.01288770512932
1100114,18220,51620,352.963967454475
1100122,39397,130009,303.0328669553646
1100130,8172,40867,199.9657425306482
1100148,5593,20489,272.97574308165355
1100155,13361,35737,373.87021854100794
1100189,8685,36881,235.48710718256012
1100205,92802,539354,172.06139196149468
1100254,4565,18571,245.81336492380592
1100262,496,3804,130.38906414300737
1100288,20516,55407,370.2781237027812
1100296,2357,6216,379.1827541827542
1100304,17363,102211,169.8740840027003
1100320,5679,23077,246.08917970273433
1100338,5428,31392,172.91029561671763
1100346,4301,14106,304.9057138806182
1100379,3071,13255,231.68615616748397
1100403,3961,21847,181.3063578523367
1100452,12504,40356,309.8424026167113
1100502,2614,8329,313.84319846320085
1100601,1123,6269,179.13542829797416
1100700,1772,14266,124.21141174821253
1100809,3065,27388,111.91032569008325
1100908,663,2987,221.96183461667223
1100924,1627,11472,141.82357043235703
1100940,3303,26183,126.1505557040828
1101005,2680,7445,359.9731363331095
1101104,1288,10641,121.04125552109764
1101203,2758,9559,288.5239041740768
1101302,4083,10818,377.42651136993896
1101401,3639,16007,227.33803960767165
1101435,2055,6895,298.04205946337925
1101450,1035,6198,166.9893514036786
1101468,180,2148,83.79888268156425
1101476,756,2776,272.3342939481268
1101484,1562,5066,308.3300434267667
1101492,4573,20681,221.1208355495382
1101500,3530,11851,297.8651590583073
1101559,1508,4233,356.24852350578783
1101609,2014,10395,193.74699374699375
1101708,4663,11272,413.67991483321504
1101757,1915,11377,168.32205326535993
1101807,2272,6656,341.34615384615387
1200013,3411,15490,220.20658489347966
1200054,1228,7534,162.99442527209982
1200104,4658,26702,174.443861883005
1200138,1005,10420,96.44913627639156
1200179,1130,12008,94.1039307128581
1200203,16130,89072,181.0894557212143
1200252,2549,18696,136.33932391955497
1200302,2195,34884,62.922829950693725
1200328,70,8473,8.261536645816122
1200336,2175,19311,112.63010719279167
1200344,621,9581,64.81578123369168
1200351,269,19299,13.938546038654852
1200385,2319,19955,116.21147582059635
1200393,244,12241,19.933012008822807
1200401,74841,413418,181.02985356225417
1200427,1023,19351,52.86548498785592
1200435,126,6717,18.758374274229567
1200450,2947,23236,126.82905835772078
1200500,4576,46511,98.38532820193073
1200609,2492,43151,57.75068943941044
1200708,2765,19596,141.1002245356195
1200807,2159,18824,114.69400764980875
1300029,485,16220,29.901356350184958
1300060,193,11736,16.445126107702794
1300086,143,13956,10.246488965319577
1300102,319,21477,14.853098663686735
1300144,2151,22359,96.20287132698242
1300201,286,20398,14.020982449259732
1300300,1226,40290,30.429386944651277
1300409,627,27638,22.686156740719298
1300508,436,32483,13.422405565988363
1300607,944,43935,21.486286559690452
1300631,273,20093,13.58682128104315
1300680,344,19626,17.527769285641497
1300706,1969,34635,56.85000721813195
1300805,551,41748,13.19823704129539
1300839,146,13283,10.991492885643304
1300904,145,15807,9.173151135572848
1301001,1811,28508,63.52602778167532
1301100,1209,38348,31.527067904453947
1301159,121,30846,3.922712831485444
1301209,6692,85910,77.89547200558724
1301308,454,29168,15.56500274273176
1301407,1222,35700,34.2296918767507
1301506,334,20393,16.378168979551806
1301605,1264,17005,74.33107909438401
1301654,139,16937,8.206884336068962
1301704,3941,56144,70.19449985750926
1301803,9,30436,0.2957024576159811
1301852,3276,49011,66.84213747934137
1301902,11382,102701,110.82657423004645
1301951,227,7814,29.05042231891477
1302009,404,9230,43.770314192849405
1302108,270,2251,119.94669035984008
1302207,356,15106,23.566794651132
1302306,531,13886,38.23995391041337
1302405,1420,46882,30.28881020434282
1302504,8962,98502,90.98292420458468
1302553,458,33049,13.85821053587098
1302603,194715,2219580,87.72605628091802
1302702,1247,56583,22.038421433999613
1302801,404,18261,22.123651497727398
1302900,2846,65040,43.75768757687577
1303007,328,21443,15.296367112810707
1303106,663,38026,17.435438910219325
1303205,739,19928,37.0835006021678
1303304,614,26046,23.573677340090608
1303403,9832,115363,85.22663245581339
1303502,156,19522,7.990984530273537
1303536,2736,37193,73.56222945177856
1303569,2350,34106,68.90283234621474
1303601,226,25865,8.737676396675043
1303700,657,21243,30.927835051546392
1303809,1265,46303,27.320044057620457
1303908,941,40073,23.482145085219475
1303957,217,14352,15.11984392419175
1304005,226,9230,24.48537378114843
1304062,5084,67182,75.67503200261974
1304104,347,17015,20.39377020276227
1304203,7273,59547,122.13881471778595
1304237,364,18897,19.262316769857648
1304260,460,13690,33.60116873630387
1304302,477,16130,29.572225666460014
1304401,402,23585,17.044731821072716
1400027,364,13185,27.607129313613957
1400050,1175,15380,76.39791937581275
1400100,68488,419652,163.20189109071325
1400159,457,12557,36.394043163175915
1400175,691,18799,36.757274323102294
1400209,1542,22283,69.20073598707535
1400233,1657,10383,159.5877877299432
