cod_municipio_6,grupo_idade,nascidos_vivos
110001,0_10,0
110001,11_14,1
110001,15_19,59
110002,0_10,0
110002,11_14,7
110002,15_19,258
110003,0_10,0
110003,11_14,0
110003,15_19,15
110004,0_10,0
110004,11_14,5
110004,15_19,143
110005,0_10,0
110005,11_14,0
110005,15_19,39
110006,0_10,0
110006,11_14,1
110006,15_19,26
110007,0_10,0
110007,11_14,0
110007,15_19,27
110008,0_10,0
110008,11_14,3
110008,15_19,40
110009,0_10,0
110009,11_14,10
110009,15_19,70
110010,0_10,0
110010,11_14,15
110010,15_19,179
110011,0_10,0
110011,11_14,7
110011,15_19,140
110012,0_10,0
110012,11_14,10
110012,15_19,279
110013,0_10,0
110013,11_14,2
110013,15_19,95
110014,0_10,0
110014,11_14,3
110014,15_19,40
110015,0_10,0
110015,11_14,1
110015,15_19,70
110018,0_10,0
110018,11_14,3
110018,15_19,93
110020,0_10,0
110020,11_14,67
110020,15_19,1101
110025,0_10,0
110025,11_14,6
110025,15_19,37
110026,0_10,0
110026,11_14,0
110026,15_19,4
110028,0_10,0
110028,11_14,2
110028,15_19,104
110029,0_10,0
110029,11_14,0
110029,15_19,10
110030,0_10,0
110030,11_14,10
110030,15_19,236
110032,0_10,0
110032,11_14,3
110032,15_19,38
110033,0_10,0
110033,11_14,2
110033,15_19,94
110034,0_10,0
110034,11_14,0
110034,15_19,20
110037,0_10,0
110037,11_14,1
110037,15_19,23
110040,0_10,0
110040,11_14,2
110040,15_19,30
110045,0_10,0
110045,11_14,3
110045,15_19,77
110050,0_10,0
110050,11_14,0
110050,15_19,8
110060,0_10,0
110060,11_14,1
110060,15_19,4
110070,0_10,0
110070,11_14,1
110070,15_19,30
110080,0_10,0
110080,11_14,1
110080,15_19,70
110090,0_10,0
110090,11_14,1
110090,15_19,3
110092,0_10,0
110092,11_14,1
110092,15_19,23
110094,0_10,0
110094,11_14,2
110094,15_19,50
110100,0_10,0
110100,11_14,1
110100,15_19,17
110110,0_10,0
110110,11_14,1
110110,15_19,20
110120,0_10,0
110120,11_14,0
110120,15_19,8
110130,0_10,0
110130,11_14,1
110130,15_19,22
110140,0_10,0
110140,11_14,0
110140,15_19,32
110143,0_10,0
110143,11_14,0
110143,15_19,12
110145,0_10,0
110145,11_14,0
110145,15_19,8
110146,0_10,0
110146,11_14,0
110146,15_19,11
110147,0_10,0
110147,11_14,0
110147,15_19,5
110148,0_10,0
110148,11_14,0
110148,15_19,3
110149,0_10,0
110149,11_14,3
110149,15_19,48
110150,0_10,0
110150,11_14,0
110150,15_19,34
110155,0_10,0
110155,11_14,0
110155,15_19,2
110160,0_10,0
110160,11_14,0
110160,15_19,17
110170,0_10,0
110170,11_14,0
110170,15_19,18
110175,0_10,0
110175,11_14,0
110175,15_19,11
110180,0_10,0
110180,11_14,1
110180,15_19,12
120001,0_10,0
120001,11_14,1
120001,15_19,43
120005,0_10,0
120005,11_14,18
120005,15_19,61
120010,0_10,0
120010,11_14,10
120010,15_19,119
120013,0_10,0
120013,11_14,2
120013,15_19,59
120017,0_10,0
120017,11_14,6
120017,15_19,52
120020,0_10,0
120020,11_14,25
120020,15_19,392
120025,0_10,0
120025,11_14,2
120025,15_19,55
120030,0_10,0
120030,11_14,21
120030,15_19,241
120032,0_10,0
120032,11_14,11
120032,15_19,94
120033,0_10,0
120033,11_14,3
120033,15_19,94
120034,0_10,0
120034,11_14,5
120034,15_19,69
120035,0_10,0
120035,11_14,15
120035,15_19,140
120038,0_10,0
120038,11_14,9
120038,15_19,63
120039,0_10,0
120039,11_14,7
120039,15_19,93
120040,0_10,0
120040,11_14,39
120040,15_19,887
120042,0_10,0
120042,11_14,11
120042,15_19,91
120043,0_10,0
120043,11_14,5
120043,15_19,51
120045,0_10,0
120045,11_14,4
120045,15_19,73
120050,0_10,0
120050,11_14,16
120050,15_19,196
120060,0_10,0
120060,11_14,37
120060,15_19,376
120070,0_10,0
120070,11_14,5
120070,15_19,76
120080,0_10,0
120080,11_14,6
120080,15_19,88
130002,0_10,0
130002,11_14,16
130002,15_19,156
130006,0_10,0
130006,11_14,4
130006,15_19,84
130008,0_10,0
130008,11_14,2
130008,15_19,55
130010,0_10,0
130010,11_14,9
130010,15_19,74
130014,0_10,0
130014,11_14,4
130014,15_19,66
130020,0_10,0
130020,11_14,5
