cod_municipio,n_partidos_vitoriosos,n_partidos,porcentagem_eleitos
2516607,1.0,3.0,0.3333333333333333
2505501,1.0,2.0,0.5
2203271,1.0,3.0,0.3333333333333333
5100201,1.0,6.0,0.1666666666666666
5102504,1.0,17.0,0.0588235294117647
2503605,1.0,4.0,0.25
2510600,1.0,3.0,0.3333333333333333
2930709,1.0,18.0,0.0555555555555555
2611533,1.0,3.0,0.3333333333333333
2904407,1.0,2.0,0.5
2514701,1.0,3.0,0.3333333333333333
2414902,1.0,1.0,1.0
5106174,1.0,6.0,0.1666666666666666
2915007,1.0,8.0,0.125
2404002,1.0,1.0,1.0
2502300,1.0,2.0,0.5
2700904,1.0,2.0,0.5
4320107,1.0,8.0,0.125
5104807,1.0,10.0,0.1
2111573,1.0,3.0,0.3333333333333333
2508406,1.0,3.0,0.3333333333333333
2926400,1.0,6.0,0.1666666666666666
2201572,1.0,4.0,0.25
5106109,1.0,7.0,0.1428571428571428
2701209,1.0,2.0,0.5
2503555,1.0,3.0,0.3333333333333333
2927101,1.0,4.0,0.25
5101258,1.0,8.0,0.125
2509602,1.0,2.0,0.5
2900207,1.0,5.0,0.2
2200053,2.0,3.0,0.6666666666666666
4308458,2.0,2.0,1.0
4304853,2.0,3.0,0.6666666666666666
2207207,2.0,3.0,0.6666666666666666
2210375,2.0,3.0,0.6666666666666666
2206050,2.0,3.0,0.6666666666666666
2209856,2.0,3.0,0.6666666666666666
2207553,2.0,3.0,0.6666666666666666
2211605,2.0,4.0,0.5
2210938,2.0,4.0,0.5
2208650,2.0,4.0,0.5
4301925,2.0,2.0,1.0
2208874,2.0,3.0,0.6666666666666666
2207934,2.0,3.0,0.6666666666666666
2205565,2.0,5.0,0.4
2205359,2.0,3.0,0.6666666666666666
2202455,2.0,3.0,0.6666666666666666
4314555,2.0,3.0,0.6666666666666666
4319208,2.0,4.0,0.5
2209658,2.0,3.0,0.6666666666666666
2201556,2.0,3.0,0.6666666666666666
2202554,2.0,3.0,0.6666666666666666
4316303,2.0,4.0,0.5
2209500,2.0,3.0,0.6666666666666666
2209377,2.0,3.0,0.6666666666666666
4311270,2.0,4.0,0.5
2203859,2.0,3.0,0.6666666666666666
2202075,2.0,3.0,0.6666666666666666
2210706,2.0,2.0,1.0
