cod_municipio,ano,n_ensino_superior,pop_2021,n_ensino_superior_por_1k_hab
1100015,2021,944,22728,41.5346708905315
1100023,2021,3221,109523,29.40934780822293
1100031,2021,171,5188,32.960678488820356
1100049,2021,4046,85893,47.10511915988497
1100056,2021,515,16204,31.7822759812392
1100064,2021,485,15544,31.20174987133299
1100072,2021,205,7220,28.393351800554015
1100080,2021,328,18798,17.448664751569314
1100098,2021,835,32695,25.539073252790946
1100106,2021,861,46556,18.49385686055503
1100114,2021,2177,51620,42.17357613328167
1100122,2021,5466,130009,42.04324316008892
1100130,2021,1033,40867,25.277118457435094
1100148,2021,396,20489,19.327443994338424
1100155,2021,1111,35737,31.088227887063827
1100189,2021,1661,36881,45.036739784713
1100205,2021,34227,539354,63.45924939835433
1100254,2021,423,18571,22.777448710354854
1100262,2021,165,3804,43.375394321766564
1100288,2021,2243,55407,40.482249535257274
1100296,2021,238,6216,38.288288288288285
1100304,2021,4175,102211,40.846875580906165
1100320,2021,572,23077,24.786584044719852
1100338,2021,587,31392,18.699031600407746
1100346,2021,396,14106,28.073160357294768
1100379,2021,309,13255,23.311957751791777
1100403,2021,368,21847,16.844417997894446
1100452,2021,720,40356,17.84121320249777
1100502,2021,244,8329,29.295233521431143
1100601,2021,191,6269,30.467379167331313
1100700,2021,306,14266,21.449600448619094
1100809,2021,600,27388,21.90740470278954
1100908,2021,95,2987,31.804486106461333
1100924,2021,373,11472,32.5139470013947
1100940,2021,289,26183,11.037696215101402
1101005,2021,244,7445,32.77367360644728
1101104,2021,248,10641,23.306080255615075
1101203,2021,256,9559,26.781044042263837
1101302,2021,267,10818,24.681087077093732
1101401,2021,423,16007,26.42593865183982
1101435,2021,130,6895,18.85424220449601
1101450,2021,130,6198,20.974507905776058
1101468,2021,123,2148,57.262569832402235
1101476,2021,136,2776,48.99135446685879
1101484,2021,141,5066,27.83260955388867
1101492,2021,448,20681,21.662395435423818
1101500,2021,314,11851,26.495654375158214
1101559,2021,140,4233,33.07347035199622
1101609,2021,293,10395,28.186628186628187
1101708,2021,274,11272,24.308019872249822
1101757,2021,228,11377,20.04043245143711
1101807,2021,254,6656,38.16105769230769
1200013,2021,280,15490,18.076178179470627
1200054,2021,278,7534,36.89938943456331
1200104,2021,658,26702,24.642348887723767
1200138,2021,405,10420,38.867562380038386
1200179,2021,208,12008,17.3217854763491
1200203,2021,2753,89072,30.90758038440812
1200252,2021,363,18696,19.41591784338896
1200302,2021,378,34884,10.8359133126935
1200328,2021,166,8473,19.591644045792517
1200336,2021,451,19311,23.35456475583864
1200344,2021,200,9581,20.874647740319382
1200351,2021,382,19299,19.79377169801544
1200385,2021,230,19955,11.525933350037585
1200393,2021,285,12241,23.282411567682377
1200401,2021,42759,413418,103.42800748878858
1200427,2021,423,19351,21.859335434861247
1200435,2021,4,6717,0.595503945213637
1200450,2021,553,23236,23.79927698399036
1200500,2021,1031,46511,22.1667992517899
1200609,2021,786,43151,18.21510509605803
1200708,2021,251,19596,12.808736476832006
1200807,2021,395,18824,20.983850403739908
1300029,2021,450,16220,27.743526510480887
1300060,2021,462,11736,39.36605316973415
1300086,2021,244,13956,17.4835196331327
1300102,2021,366,21477,17.041486241095125
1300144,2021,283,22359,12.657095576725256
1300201,2021,554,20398,27.159525443670947
1300300,2021,39,40290,0.9679821295606851
1300409,2021,375,27638,13.56827556263116
1300508,2021,881,32483,27.12187913677924
1300607,2021,1061,43935,24.149311482872424
1300631,2021,148,20093,7.365749265913502
1300680,2021,702,19626,35.768878018954446
1300706,2021,680,34635,19.63331889706944
1300805,2021,349,41748,8.359681900929386
1300839,2021,390,13283,29.360837160280056
1300904,2021,217,15807,13.728095147719365
1301001,2021,525,28508,18.415883260839063
1301100,2021,559,38348,14.577031396683008
1301159,2021,528,30846,17.117292355572847
1301209,2021,2580,85910,30.031428238854616
1301308,2021,590,29168,20.227646736149204
1301407,2021,544,35700,15.238095238095237
1301506,2021,531,20393,26.038346491443143
1301605,2021,1208,17005,71.03793002058218
1301654,2021,46,16937,2.715947334238649
1301704,2021,1105,56144,19.681533200341978
1301803,2021,169,30436,5.552635037455644
1301852,2021,1506,49011,30.727795800942644
1301902,2021,3256,102701,31.703683508437113
1301951,2021,475,7814,60.78832864090095
1302009,2021,295,9230,31.960996749729144
1302108,2021,241,2251,107.06352732119058
1302207,2021,238,15106,15.755329008341057
1302306,2021,136,13886,9.794037159729223
1302405,2021,517,46882,11.027686532144534
1302504,2021,1914,98502,19.43107754157276
1302553,2021,418,33049,12.64788647160277
1302603,2021,152633,2219580,68.7666135034556
1302702,2021,735,56583,12.98976724457876
1302801,2021,211,18261,11.554679371337825
1302900,2021,1755,65040,26.98339483394834
1303007,2021,468,21443,21.825304295107962
1303106,2021,95,38026,2.498290643244096
1303205,2021,440,19928,22.079486150140507
1303304,2021,340,26046,13.053827843046918
1303403,2021,2299,115363,19.928399920251728
1303502,2021,366,19522,18.748079090257146
1303536,2021,1916,37193,51.5150700400613
1303569,2021,605,34106,17.73881428487656
1303601,2021,426,25865,16.470133384883045
1303700,2021,258,21243,12.145177234853834
1303809,2021,885,46303,19.113232403947908
1303908,2021,620,40073,15.471764030644074
1303957,2021,330,14352,22.993311036789297
1304005,2021,281,9230,30.444203683640303
1304062,2021,1889,67182,28.117650561162215
1304104,2021,549,17015,32.26564795768439
1304203,2021,2815,59547,47.27358221237006
1304237,2021,515,18897,27.25300312218871
1304260,2021,407,13690,29.72972972972973
1304302,2021,441,16130,27.340359578425293
1304401,2021,215,23585,9.115963536145856
1400027,2021,246,13185,18.657565415244598
1400050,2021,360,15380,23.407022106631988
1400100,2021,37152,419652,88.53049669726344
1400159,2021,296,12557,23.572509357330574
1400175,2021,637,18799,33.88478110537795
1400209,2021,410,22283,18.399676883723018
1400233,2021,172,10383,16.565539824713476
1400282,2021,243,12296,19.762524398178268
1400308,2021,320,18172,17.609509134932864
1400407,2021,313,11532,27.14186611168921
1400456,2021,528,18913,27.917305557024267
1400472,2021,805,30782,26.151647066467415
1400506,2021,200,8348,23.957834211787254
1400605,2021,185,8110,22.81134401972873
1400704,2021,257,10789,23.820557975716007
1500107,2021,3837,159080,24.119939653004778
1500131,2021,151,7486,20.170985840235105
1500206,2021,1281,55669,23.011011514487418
1500305,2021,853,39567,21.5583693481942
1500347,2021,555,27615,20.097772949483975
1500404,2021,658,57092,11.52525747915645
1500503,2021,1007,34076,29.55159056227257
1500602,2021,3759,115969,32.41383473169554
1500701,2021,1286,29688,43.317165184586365
1500800,2021,15582,535547,29.095485550287837
1500859,2021,377,28607,13.178592652148076
1500909,2021,1143,46471,24.595984592541583
1500958,2021,615,31773,19.356057029553394
1501006,2021,96,16404,5.852231163130944
1501105,2021,179,31325,5.714285714285714
1501204,2021,812,48459,16.75643327348893
1501253,2021,118,3262,36.17412630288167
1501303,2021,5332,127027,41.975328079857036
1501402,2021,137682,1499641,91.80997318691607
1501451,2021,464,17839,26.010426593418913
1501501,2021,2062,63768,32.33596788357797
1501576,2021,252,17118,14.721345951629864
1501600,2021,236,16530,14.277071990320628
1501709,2021,2880,128914,22.34047504537909
1501725,2021,416,14983,27.764800106787693
1501758,2021,173,7368,23.479913137893593
1501782,2021,973,67332,14.450781203588189
1501808,2021,2855,103497,27.585340637892887
1501907,2021,604,29427,20.525367859448806
1501956,2021,555,34609,16.03629113814326
1502004,2021,477,24064,19.82214095744681
1502103,2021,2615,139364,18.763812749347032
1502152,2021,4022,38103,105.5559929664331
1502202,2021,1609,69431,23.17408650314701
1502301,2021,973,54425,17.877813504823152
1502400,2021,4891,203251,24.0638422443186
1502509,2021,751,23948,31.359612493736428
1502608,2021,225,12131,18.54752287527821
1502707,2021,1814,47991,37.79875393302911
1502756,2021,578,33781,17.110209881294217
1502764,2021,382,13761,27.759610493423445
1502772,2021,648,17846,36.310657850498714
1502806,2021,814,34994,23.261130479510772
1502855,2021,260,14587,17.82408994310002
1502905,2021,487,40584,11.999802877981471
1502939,2021,896,60469,14.817509798409102
1502954,2021,712,33940,20.978196817913965
1503002,2021,234,7070,33.097595473833096
1503044,2021,507,20525,24.701583434835566
1503077,2021,1041,26111,39.86825475853089
1503093,2021,806,41081,19.61977556534651
1503101,2021,598,33755,17.715893941638274
1503200,2021,455,39023,11.65979038003229
1503309,2021,147,63036,2.3320007614696365
1503408,2021,213,11861,17.95801365820757
1503457,2021,1049,65625,15.984761904761905
1503507,2021,494,32595,15.155698726798589
1503606,2021,4041,101395,39.854036195078656
1503705,2021,1242,53355,23.27804329491144
1503754,2021,413,7590,54.413702239789195
1503804,2021,734,59842,12.265632833127235
1503903,2021,1562,58960,26.492537313432837
1504000,2021,417,29282,14.240830544361724
1504059,2021,754,30235,24.93798577807177
1504109,2021,125,8573,14.580660212294413
1504208,2021,10683,283542,37.67695791099731
1504307,2021,846,29516,28.662420382165607
1504406,2021,426,28450,14.973637961335676
1504422,2021,4360,133685,32.613980626098666
1504455,2021,456,31975,14.261141516810008
1504505,2021,265,27890,9.5016134815346
1504604,2021,1081,31530,34.28480811925151
1504703,2021,1171,83182,14.077564857781732
1504752,2021,519,16184,32.068709836875925
1504802,2021,1094,58162,18.809531996836423
1504901,2021,508,40906,12.418716080770547
1504950,2021,533,21444,24.855437418392093
1504976,2021,445,16854,26.40322772042245
1505007,2021,255,15506,16.44524700116084
1505031,2021,957,25766,37.14197003803462
1505064,2021,1342,77214,17.38026782707799
1505106,2021,892,52306,17.053492907123466
1505205,2021,445,32850,13.54642313546423
1505304,2021,869,74016,11.740704712494596
1505403,2021,366,17961,20.377484549858025
1505437,2021,1106,33335,33.178341082945856
1505486,2021,669,48414,13.818317015739249
1505494,2021,87,7582,11.474544974940649
1505502,2021,5035,114503,43.97264700488197
1505536,2021,11636,213576,54.481776978686746
1505551,2021,192,5410,35.48983364140481
1505601,2021,242,8081,29.94678876376686
1505635,2021,304,12979,23.422451652669697
1505650,2021,250,31659,7.896648662307717
1505700,2021,743,31549,23.55066721607658
1505809,2021,1232,62945,19.572642783382317
1505908,2021,629,41801,15.04748690222722
1506005,2021,696,29846,23.319707833545532
1506104,2021,284,10857,26.15823892419637
1506112,2021,193,13702,14.085534958400233
1506138,2021,3554,85563,41.536645512663185
1506161,2021,530,18201,29.11927916048569
1506187,2021,785,52803,14.866579550404333
1506195,2021,630,51500,12.233009708737864
1506203,2021,773,40922,18.889594838961926
1506302,2021,605,24075,25.129802699896157
1506351,2021,595,21449,27.74022098932351
1506401,2021,146,10314,14.15551677331782
1506500,2021,1267,71837,17.637150771886354
1506559,2021,370,19843,18.646374036184046
1506583,2021,454,21850,20.778032036613272
1506609,2021,270,24995,10.802160432086417
1506708,2021,791,74419,10.629006033405448
1506807,2021,7658,306480,24.986948577394937
1506906,2021,233,6753,34.50318377017622
1507003,2021,748,31918,23.435052321574034
1507102,2021,284,18129,15.665508301616194
1507151,2021,375,25753,14.561410321127635
1507201,2021,755,32139,23.49170789383615
1507300,2021,1125,132138,8.513826454161558
1507409,2021,337,15930,21.15505335844319
1507458,2021,621,24705,25.136612021857925
1507466,2021,163,6217,26.21843332797169
1507474,2021,487,23244,20.951643434864913
1507508,2021,14,14051,0.9963703650985695
