cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
1100015,2021,1844,22728,81.1334037310806
1100023,2021,12643,109523,115.43694018607964
1100031,2021,341,5188,65.72860447185813
1100049,2021,12896,85893,150.14029082695913
1100056,2021,1596,16204,98.49419896321896
1100064,2021,1618,15544,104.09161091096243
1100072,2021,514,7220,71.19113573407202
1100080,2021,637,18798,33.8865836791148
1100098,2021,3444,32695,105.33720752408625
1100106,2021,2256,46556,48.45777128619297
1100114,2021,6936,51620,134.36652460286712
1100122,2021,19466,130009,149.7280957472175
1100130,2021,2566,40867,62.78904739765581
1100148,2021,1047,20489,51.10059056078872
1100155,2021,4081,35737,114.19537174357109
1100189,2021,6289,36881,170.5214066863697
1100205,2021,69305,539354,128.49631225503103
1100254,2021,1502,18571,80.87878951052717
1100262,2021,343,3804,90.16824395373291
1100288,2021,7989,55407,144.1875575288321
1100296,2021,510,6216,82.04633204633204
1100304,2021,14764,102211,144.44629247341285
1100320,2021,2051,23077,88.87637041209862
1100338,2021,1367,31392,43.546126401630985
1100346,2021,898,14106,63.66085353750177
1100379,2021,652,13255,49.18898528857035
1100403,2021,1046,21847,47.8784272440152
1100452,2021,2647,40356,65.59123798196055
1100502,2021,435,8329,52.22715812222356
1100601,2021,358,6269,57.1063965544744
1100700,2021,620,14266,43.45997476517594
1100809,2021,1448,27388,52.86987001606543
1100908,2021,222,2987,74.32206226983595
1100924,2021,1528,11472,133.19386331938634
1100940,2021,1069,26183,40.82801817973494
1101005,2021,435,7445,58.42847548690396
1101104,2021,650,10641,61.0844845409266
1101203,2021,584,9559,61.094256721414375
1101302,2021,849,10818,78.48031059345536
1101401,2021,951,16007,59.41150746548385
1101435,2021,302,6895,43.79985496736766
1101450,2021,265,6198,42.75572765408196
1101468,2021,315,2148,146.64804469273744
1101476,2021,221,2776,79.61095100864553
1101484,2021,366,5066,72.24634820371101
1101492,2021,1114,20681,53.86586722112084
1101500,2021,762,11851,64.29837144544764
1101559,2021,303,4233,71.58043940467753
1101609,2021,571,10395,54.93025493025493
1101708,2021,888,11272,78.7792760823279
1101757,2021,591,11377,51.9469104333304
1101807,2021,533,6656,80.078125
1200013,2021,561,15490,36.21691413815365
1200054,2021,479,7534,63.57844438545261
1200104,2021,1584,26702,59.32139914613138
1200138,2021,1008,10420,96.73704414587333
1200179,2021,398,12008,33.144570286475684
1200203,2021,6615,89072,74.26576252918987
1200252,2021,1120,18696,59.9058622165169
1200302,2021,1241,34884,35.57504873294347
1200328,2021,302,8473,35.64262952909241
1200336,2021,693,19311,35.88628242970328
1200344,2021,197,9581,20.561528024214592
1200351,2021,466,19299,24.146328825327736
1200385,2021,540,19955,27.060886995740415
1200393,2021,649,12241,53.01854423658198
1200401,2021,62002,413418,149.97411820481935
1200427,2021,569,19351,29.404165159423286
1200435,2021,13,6717,1.9353878219443204
1200450,2021,1141,23236,49.10483732139783
1200500,2021,2033,46511,43.71009008621616
1200609,2021,1247,43151,28.89851915366967
1200708,2021,496,19596,25.31128801796285
1200807,2021,807,18824,42.870803229919254
1300029,2021,707,16220,43.58816276202219
1300060,2021,496,11736,42.26312201772325
1300086,2021,328,13956,23.5024362281456
1300102,2021,529,21477,24.63100060529869
1300144,2021,647,22359,28.936893420993783
1300201,2021,851,20398,41.71977644867144
1300300,2021,182,40290,4.517249937949863
1300409,2021,1061,27638,38.38917432520443
1300508,2021,1423,32483,43.80753009266385
1300607,2021,1308,43935,29.771252987367703
1300631,2021,803,20093,39.96416662519285
1300680,2021,947,19626,48.252318353204934
1300706,2021,1387,34635,40.04619604446369
1300805,2021,1683,41748,40.313308421960336
1300839,2021,829,13283,62.410600015056836
1300904,2021,428,15807,27.076611627759853
1301001,2021,816,28508,28.623544268275573
1301100,2021,1325,38348,34.55199749660999
1301159,2021,927,30846,30.05251896518187
1301209,2021,4835,85910,56.279827726690726
1301308,2021,860,29168,29.48436642896325
1301407,2021,775,35700,21.708683473389357
1301506,2021,752,20393,36.87539842102682
1301605,2021,1343,17005,78.97677153778301
1301654,2021,395,16937,23.321721674440575
1301704,2021,2371,56144,42.230692504987175
1301803,2021,238,30436,7.819687212511499
1301852,2021,2754,49011,56.19146722164412
1301902,2021,5537,102701,53.91378857070525
1301951,2021,709,7814,90.73457896083951
1302009,2021,407,9230,44.09534127843987
1302108,2021,657,2251,291.87027987561083
1302207,2021,521,15106,34.4896067787634
1302306,2021,429,13886,30.894426040616448
1302405,2021,1136,46882,24.231048163474256
1302504,2021,4733,98502,48.04978579115145
1302553,2021,780,33049,23.601319253230052
1302603,2021,296493,2219580,133.58067742545887
1302702,2021,1407,56583,24.866125868193627
1302801,2021,520,18261,28.475987076282788
1302900,2021,2110,65040,32.44157441574416
1303007,2021,779,21443,36.32887189292543
1303106,2021,1134,38026,29.821700941461106
1303205,2021,888,19928,44.56041750301084
1303304,2021,564,26046,21.65399677493665
1303403,2021,4533,115363,39.29336095628581
1303502,2021,563,19522,28.83925827271796
1303536,2021,3033,37193,81.54760304358346
1303569,2021,1068,34106,31.31413827479036
1303601,2021,645,25865,24.93717378697081
1303700,2021,636,21243,29.939274113825732
1303809,2021,1531,46303,33.06481221519124
1303908,2021,1003,40073,25.02932148828388
1303957,2021,551,14352,38.39186176142698
1304005,2021,480,9230,52.00433369447454
1304062,2021,2855,67182,42.4965020392367
1304104,2021,949,17015,55.77431677931237
1304203,2021,5114,59547,85.88174047391136
1304237,2021,619,18897,32.75652219929089
1304260,2021,1097,13690,80.13148283418553
1304302,2021,771,16130,47.79913205207688
1304401,2021,844,23585,35.785456858172566
1400027,2021,407,13185,30.86841107318923
1400050,2021,627,15380,40.76723016905071
1400100,2021,61155,419652,145.72788882216693
1400159,2021,674,12557,53.67524090148921
1400175,2021,1558,18799,82.87674876323209
1400209,2021,906,22283,40.65879818695867
1400233,2021,480,10383,46.22941346431667
1400282,2021,599,12296,48.715029277813926
1400308,2021,794,18172,43.69359454105217
1400407,2021,394,11532,34.16579951439473
1400456,2021,905,18913,47.850684714217735
1400472,2021,1637,30782,53.180430121499576
1400506,2021,518,8348,62.05079060852899
1400605,2021,475,8110,58.56966707768188
1400704,2021,468,10789,43.37751413476689
1500107,2021,7760,159080,48.78048780487805
1500131,2021,449,7486,59.97862676997061
1500206,2021,2263,55669,40.65099067703749
1500305,2021,1279,39567,32.324917229003965
1500347,2021,1222,27615,44.25131269237733
1500404,2021,1947,57092,34.1028515378687
1500503,2021,2138,34076,62.74210588097195
1500602,2021,11105,115969,95.75834921401409
1500701,2021,1353,29688,45.57396928051738
1500800,2021,39344,535547,73.4650740271162
1500859,2021,1427,28607,49.88289579473555
1500909,2021,1748,46471,37.6148565772202
1500958,2021,1158,31773,36.44603908979322
1501006,2021,319,16404,19.446476469153865
1501105,2021,380,31325,12.130885873902633
1501204,2021,1172,48459,24.185393838089933
1501253,2021,261,3262,80.01226241569589
1501303,2021,12476,127027,98.21534004581703
1501402,2021,216173,1499641,144.14983319341096
1501451,2021,950,17839,53.25410617187062
1501501,2021,4596,63768,72.07376740684983
1501576,2021,722,17118,42.17782451220937
1501600,2021,852,16530,51.542649727767696
1501709,2021,5231,128914,40.577439223047925
1501725,2021,1047,14983,69.8791964226123
1501758,2021,430,7368,58.360477741585235
1501782,2021,2038,67332,30.267926097546486
1501808,2021,4223,103497,40.80311506613718
1501907,2021,947,29427,32.18133007102321
1501956,2021,1008,34609,29.125372013060186
1502004,2021,791,24064,32.87067819148936
1502103,2021,3459,139364,24.819896099423094
1502152,2021,10123,38103,265.67461879642025
1502202,2021,5377,69431,77.44379311834771
1502301,2021,3105,54425,57.05098759761139
1502400,2021,19554,203251,96.20616872733713
1502509,2021,1209,23948,50.48438282946384
1502608,2021,312,12131,25.71923172038579
1502707,2021,2590,47991,53.96845241816174
1502756,2021,1238,33781,36.6478197803499
1502764,2021,677,13761,49.19700603153841
1502772,2021,1304,17846,73.06959542754679
1502806,2021,878,34994,25.09001543121678
1502855,2021,668,14587,45.794200315349286
1502905,2021,1129,40584,27.818844864971418
1502939,2021,2626,60469,43.42721063685525
1502954,2021,1622,33940,47.790218031820864
1503002,2021,463,7070,65.48797736916549
1503044,2021,903,20525,43.99512789281364
1503077,2021,1694,26111,64.87687181647581
1503093,2021,1725,41081,41.99021445437064
1503101,2021,2216,33755,65.6495334024589
1503200,2021,1139,39023,29.187914819465444
1503309,2021,518,63036,8.217526492797766
1503408,2021,529,11861,44.59994941404603
1503457,2021,2007,65625,30.582857142857144
1503507,2021,1071,32595,32.85780027611597
1503606,2021,9490,101395,93.59435869618818
1503705,2021,1938,53355,36.322743885296596
1503754,2021,997,7590,131.3570487483531
1503804,2021,2181,59842,36.44597439925136
1503903,2021,3020,58960,51.22116689280868
1504000,2021,878,29282,29.984290690526603
1504059,2021,1656,30235,54.77096080701174
1504109,2021,278,8573,32.427388312142774
1504208,2021,27627,283542,97.43530059038872
1504307,2021,1338,29516,45.331345710800925
1504406,2021,847,28450,29.77152899824253
1504422,2021,8323,133685,62.25829375023376
1504455,2021,1387,31975,43.377638780297104
1504505,2021,767,27890,27.500896378630333
1504604,2021,1549,31530,49.127814779575004
1504703,2021,3879,83182,46.63268495587988
1504752,2021,943,16184,58.267424616905586
1504802,2021,2019,58162,34.71338674736082
1504901,2021,796,40906,19.459248032073535
1504950,2021,835,21444,38.9386308524529
1504976,2021,708,16854,42.00783196867213
1505007,2021,635,15506,40.95188959112602
1505031,2021,3088,25766,119.84786152293721
1505064,2021,3113,77214,40.316522910353044
1505106,2021,2321,52306,44.373494436584714
1505205,2021,1233,32850,37.534246575342465
1505304,2021,1645,74016,22.224924340683096
1505403,2021,624,17961,34.74194087188909
1505437,2021,2388,33335,71.63641817909105
1505486,2021,1834,48414,37.88160449456769
1505494,2021,228,7582,30.07122131363756
1505502,2021,11593,114503,101.24625555662297
1505536,2021,33524,213576,156.965202082631
1505551,2021,334,5410,61.737523105360445
1505601,2021,366,8081,45.29142432867219
1505635,2021,888,12979,68.41821403806148
1505650,2021,930,31659,29.375533023784705
1505700,2021,1351,31549,42.8222764588418
1505809,2021,2500,62945,39.71721344030503
1505908,2021,1758,41801,42.05641013372886
1506005,2021,1126,29846,37.726998592776255
1506104,2021,441,10857,40.61895551257253
1506112,2021,380,13702,27.73317763830098
1506138,2021,9184,85563,107.3361149094819
1506161,2021,1518,18201,83.40201087852316
1506187,2021,1795,52803,33.99428062799462
1506195,2021,1473,51500,28.601941747572816
1506203,2021,2634,40922,64.36635550559602
1506302,2021,799,24075,33.18795430944964
1506351,2021,1013,21449,47.22830901207516
1506401,2021,258,10314,25.01454333915067
1506500,2021,3899,71837,54.27565182287679
1506559,2021,672,19843,33.86584689815048
1506583,2021,1030,21850,47.139588100686495
1506609,2021,1201,24995,48.0496099219844
1506708,2021,2514,74419,33.781695534742475
1506807,2021,25070,306480,81.79979117723832
1506906,2021,404,6753,59.82526284614246
1507003,2021,1263,31918,39.57014850554546
1507102,2021,240,18129,13.238457719675658
1507151,2021,1186,25753,46.052887042286336
1507201,2021,1228,32139,38.2090295279878
1507300,2021,3009,132138,22.77164782273078
1507409,2021,738,15930,46.32768361581921
1507458,2021,1682,24705,68.08338393037846
1507466,2021,241,6217,38.76467749718514
1507474,2021,821,23244,35.32094303906384
1507508,2021,76,14051,5.408867696249377
1507607,2021,3178,59632,53.2935336731956
1507706,2021,876,26974,32.47571735745533
1507755,2021,565,6009,94.02562822433018
1507805,2021,534,11480,46.51567944250871
1507904,2021,684,25565,26.755329552122042
1507953,2021,5068,108969,46.50864007194707
1507961,2021,339,11847,28.614839199797416
1507979,2021,860,18917,45.46175397790347
1508001,2021,4121,64030,64.36045603623302
1508035,2021,785,31257,25.114374380138848
1508050,2021,770,19168,40.17111853088481
1508084,2021,3193,40136,79.55451465018936
1508100,2021,7245,115144,62.921211700132005
1508126,2021,2014,60761,33.14626158226494
1508159,2021,2043,45435,44.965335094090456
