cod_municipio,n_casos,populacao,n_casos_por_1k_hab
110001,34,11013,3.087260510306002
110002,39,55652,0.7007834399482499
110003,0,2486,0.0
110004,49,44102,1.1110607228697111
110005,0,8168,0.0
110006,0,7667,0.0
110007,1,3325,0.3007518796992481
110008,3,9101,0.3296341061421822
110009,0,16483,0.0
110010,6,23164,0.25902262130892767
110011,27,26295,1.026811180832858
110012,60,66688,0.8997120921305183
110013,2,20122,0.09939369843951894
110014,1,10130,0.09871668311944719
110015,0,18441,0.0
110018,3,18606,0.16123831022250887
110020,130,265102,0.4903772887416919
110025,2,9160,0.2183406113537118
110026,1,1867,0.5356186395286556
110028,4,28605,0.13983569306065374
110029,0,2951,0.0
110030,97,52934,1.83247062379567
110032,4,11404,0.350754121360926
110033,0,15748,0.0
110034,0,6837,0.0
110037,0,6518,0.0
110040,3,10932,0.27442371020856204
110045,15,20777,0.7219521586369543
110050,0,3965,0.0
110060,3,3163,0.9484666455896301
110070,2,6876,0.29086678301337987
110080,2,13858,0.1443209698369173
110090,0,1467,0.0
110092,1,5746,0.1740341106856944
110094,5,13152,0.38017031630170317
110100,0,3548,0.0
110110,0,5169,0.0
110120,0,4761,0.0
110130,14,5365,2.60950605778192
110140,12,7872,1.524390243902439
110143,0,3292,0.0
110145,2,2933,0.6818956699624957
110146,0,1041,0.0
110147,0,1329,0.0
110148,0,2497,0.0
110149,13,10555,1.231643770724775
110150,0,5889,0.0
110155,1,2036,0.4911591355599214
110160,0,5052,0.0
110170,0,5491,0.0
110175,0,5663,0.0
110180,0,3269,0.0
120001,7,7673,0.9122898475172684
120005,7,3881,1.8036588508116465
120010,183,13281,13.779082900384008
120013,1,5063,0.19751135690302193
120017,8,6163,1.298069122180756
120020,140,45333,3.088258001897073
120025,0,9456,0.0
120030,9,16706,0.5387286005028133
120032,15,4174,3.593675131768088
120033,10,9670,1.0341261633919339
120034,2,4557,0.43888523151195963
120035,4,9364,0.42716787697565145
120038,5,9627,0.5193725979017347
120039,5,5949,0.8404773911581779
120040,530,214997,2.4651506765210676
120042,1,9609,0.10406910188365075
120043,2,3394,0.5892751915144372
120045,1,11720,0.08532423208191127
120050,20,22747,0.8792368224381237
120060,58,21192,2.7368818422046055
120070,46,9610,4.786680541103018
120080,0,9351,0.0
130002,2,7755,0.2578981302385558
130006,4,5746,0.6961364427427776
130008,3,6697,0.44796177392862474
130010,4,10721,0.3730995242981065
130014,10,10643,0.9395847035610261
130020,29,9957,2.912523852566034
130030,4,19483,0.20530719088436072
130040,4,12474,0.320666987333654
130050,13,15759,0.824925439431436
130060,123,21672,5.675526024363234
130063,3,9738,0.3080714725816389
130068,7,9233,0.7581501137225171
130070,11,16958,0.6486613987498526
130080,22,20077,1.0957812422174629
130083,4,6415,0.6235385814497272
130090,0,7092,0.0
130100,8,13996,0.5715918833952558
130110,5,18723,0.26705122042407736
130115,1,15032,0.06652474720596062
130120,27,40833,0.6612298875909192
130130,0,14346,0.0
130140,9,17580,0.5119453924914675
130150,22,10107,2.1767092114376174
130160,0,7784,0.0
130165,3,8354,0.35910940866650704
130170,52,27129,1.9167680342069373
130180,6,15315,0.3917727717923604
130185,13,24233,0.5364585482606363
130190,53,51182,1.0355203001055058
130195,0,3672,0.0
130200,0,4455,0.0
130210,2,818,2.444987775061125
130220,8,7544,1.0604453870625663
130230,5,6358,0.7864108210128972
130240,2,22806,0.08769622029290537
130250,102,49225,2.0721178263077706
130255,0,16808,0.0
130260,883,1159288,0.7616744070498443
130270,14,27315,0.5125388980413692
130280,2,8271,0.24180872929512756
130290,21,31438,0.6679814237546918
130300,2,10434,0.19168104274487252
130310,33,18670,1.7675415104445635
130320,8,9742,0.8211866146581811
130330,2,12078,0.16559032952475575
130340,63,56755,1.1100343582063255
130350,18,9172,1.9624945486262537
130353,21,18584,1.130004304778304
130356,13,16487,0.7885000303269243
130360,7,13012,0.5379649554257608
130370,19,10176,1.8671383647798743
130380,45,22849,1.9694516171386056
130390,25,19518,1.2808689414899068
130395,17,6989,2.4323937616254114
130400,2,4402,0.45433893684688775
130406,114,34098,3.34330459264473
130410,27,7946,3.397936068462119
130420,133,28899,4.602235371466141
130423,20,9066,2.2060445621001543
130426,20,6419,3.1157501168406294
130430,12,7723,1.5538003366567397
130440,3,11411,0.26290421523091756
140002,3,6379,0.4702931493964571
140005,9,6969,1.2914334911752046
140010,463,214849,2.1550018850448454
140015,3,5679,0.5282620179609087
140017,0,8888,0.0
140020,35,10406,3.363444166826831
140023,5,4854,1.0300782859497322
