cod_municipio,n_casos,populacao,n_casos_por_1k_hab
110001,2,496.0,4.032258064516129
110002,1,96.0,10.416666666666666
110004,4,1466.0,2.728512960436562
110010,1,4450.0,0.2247191011235955
110011,1,54.0,18.51851851851852
110012,2,1411.0,1.4174344436569808
110013,0,47.0,0.0
110015,0,76.0,0.0
110020,1,2189.0,0.4568296025582458
110028,0,64.0,0.0
110030,5,548.0,9.124087591240876
110045,0,49.0,0.0
110100,0,112.0,0.0
110130,2,172.0,11.627906976744185
110140,0,15.0,0.0
110149,2,319.0,6.269592476489028
120001,0,,
120005,1,530.0,1.8867924528301887
120010,6,125.0,48.0
120017,0,4.0,0.0
120020,9,940.0,9.574468085106384
120030,1,2622.0,0.38138825324180015
120032,2,2055.0,0.9732360097323601
120033,1,1298.0,0.7704160246533128
120034,0,441.0,0.0
120035,0,1535.0,0.0
120038,0,19.0,0.0
120040,5,453.0,11.037527593818984
120042,0,,
120043,1,2574.0,0.3885003885003885
120050,0,1349.0,0.0
120060,0,1137.0,0.0
130002,3,1016.0,2.952755905511811
130006,9,3335.0,2.6986506746626686
130008,2,52.0,38.46153846153846
130014,0,70.0,0.0
130020,7,6175.0,1.1336032388663968
130030,1,7347.0,0.13610997686130394
130040,2,5238.0,0.3818251240931653
130050,1,2774.0,0.3604902667627974
130060,72,9746.0,7.3876462138313155
130063,2,462.0,4.329004329004329
130070,1,916.0,1.091703056768559
130080,4,4051.0,0.9874105159219946
130090,0,119.0,0.0
130100,1,317.0,3.1545741324921135
130110,1,287.0,3.484320557491289
130120,1,469.0,2.1321961620469083
130140,3,879.0,3.4129692832764507
130150,26,770.0,33.76623376623377
130160,0,884.0,0.0
130170,1,1819.0,0.5497526113249038
130180,3,1579.0,1.8999366687777075
130185,0,52.0,0.0
130190,1,323.0,3.0959752321981426
130195,0,1028.0,0.0
130200,0,6.0,0.0
130210,0,1314.0,0.0
130220,0,514.0,0.0
130230,1,2955.0,0.338409475465313
130240,0,3698.0,0.0
130250,0,339.0,0.0
130255,0,977.0,0.0
130260,8,4405.0,1.8161180476730987
130270,1,2888.0,0.3462603878116344
130280,0,983.0,0.0
130290,2,6757.0,0.2959893443836022
130310,2,932.0,2.1459227467811157
130320,0,967.0,0.0
130340,1,734.0,1.3623978201634876
130350,5,2375.0,2.1052631578947367
130356,1,427.0,2.34192037470726
130360,22,12059.0,1.8243635458993284
130370,31,6875.0,4.509090909090909
130380,78,29156.0,2.6752640965838936
130390,47,15066.0,3.119607062259392
130400,0,51.0,0.0
130406,124,14973.0,8.281573498964804
130410,2,1782.0,1.122334455667789
130420,6,958.0,6.263048016701461
130423,5,3053.0,1.6377333770062235
130426,7,488.0,14.344262295081966
140002,0,5330.0,0.0
140005,0,7520.0,0.0
140010,89,8744.0,10.178408051235133
140015,1,4588.0,0.21795989537925023
140017,0,1783.0,0.0
140020,0,501.0,0.0
140028,0,1507.0,0.0
140030,0,567.0,0.0
140040,5,5370.0,0.931098696461825
140045,0,5780.0,0.0
140047,1,490.0,2.0408163265306123
140070,16,7417.0,2.1572064176890926
150010,1,101.0,9.900990099009901
150060,13,4044.0,3.2146389713155292
150080,0,293.0,0.0
150110,0,,
150130,0,137.0,0.0
150140,13,1892.0,6.871035940803383
