cod_municipio,n_casos,populacao,n_casos_por_100k_hab
110001,6,4749,126.34238787113077
110002,21,24975,84.08408408408408
110003,0,1086,0.0
110004,6,17850,33.61344537815126
110005,0,3242,0.0
110007,0,1399,0.0
110008,0,5469,0.0
110009,0,7569,0.0
110010,0,12636,0.0
110011,3,11232,26.70940170940171
110012,14,28433,49.23856082720782
110013,1,10810,9.250693802035153
110014,0,4209,0.0
110015,0,7359,0.0
110018,0,8157,0.0
110020,71,123089,57.681839969452994
110025,0,3540,0.0
110026,0,870,0.0
110028,3,11731,25.573267411132896
110029,0,1155,0.0
110030,12,23792,50.43712172158709
110032,0,5357,0.0
110033,0,8772,0.0
110034,0,2920,0.0
110037,0,3139,0.0
110040,0,5379,0.0
110045,4,10290,38.87269193391642
110050,0,1656,0.0
110060,0,1495,0.0
110070,0,3658,0.0
110080,0,7452,0.0
110090,0,544,0.0
110092,1,3097,32.28931223764934
110094,1,7601,13.156163662675963
110100,0,1499,0.0
110110,0,2895,0.0
110120,0,2239,0.0
110130,2,2267,88.2223202470225
110140,1,3812,26.232948583420775
110143,0,1508,0.0
110145,0,1569,0.0
110146,0,550,0.0
110147,0,519,0.0
110149,4,5260,76.04562737642586
110150,0,2566,0.0
110160,0,2309,0.0
110170,0,2299,0.0
110175,0,2660,0.0
110180,0,1325,0.0
120001,3,4195,71.51370679380214
120005,7,2482,282.03062046736505
120010,49,7061,693.9526979181419
120013,1,2836,35.26093088857546
120017,3,3388,88.5478158205431
120020,69,26748,257.9632122027815
120025,0,4964,0.0
120030,5,12318,40.591005033284624
120032,7,3769,185.72565667285753
120033,7,6404,109.30668332292318
120034,0,3201,0.0
120035,3,8098,37.04618424302297
120038,1,5581,17.917935853789643
120039,2,5423,36.879955744053106
120040,142,102349,138.74097450878855
120042,0,7063,0.0
120043,1,2794,35.79098067287044
120045,0,6249,0.0
120050,4,13537,29.548644455935584
120060,26,16228,160.21690904609318
120070,11,5356,205.37714712471995
120080,1,5131,19.489378288832587
130002,1,6489,15.410695022345507
130006,1,4229,23.646252069047055
130008,1,4453,22.456770716370986
130010,1,7272,13.751375137513751
130014,1,5370,18.6219739292365
130020,8,7412,107.93308148947652
130030,3,13715,21.873860736419978
130040,2,7530,26.56042496679947
130050,6,12485,48.05766920304365
130060,35,17246,202.94561057636554
130063,2,7876,25.393600812595228
130068,1,6886,14.522218995062445
130070,11,10628,103.50018818216033
130080,7,14329,48.85197850512946
130083,2,4471,44.73272198613286
130090,0,4172,0.0
130100,3,9760,30.737704918032787
130110,4,11528,34.698126301179734
130115,1,8674,11.52870647913304
130120,10,27426,36.46175162254795
130130,0,8995,0.0
130140,2,12864,15.54726368159204
130150,3,7428,40.38772213247173
130160,0,5911,0.0
130165,1,5904,16.937669376693766
130170,20,16011,124.91412154144027
130180,0,12022,0.0
130185,3,15480,19.37984496124031
130190,35,31747,110.24663747755693
130195,0,2735,0.0
130200,0,2812,0.0
130210,1,671,149.03129657228018
130220,0,5637,0.0
130230,4,5402,74.04664938911515
130240,0,15379,0.0
130250,56,30884,181.32366273798732
130255,0,11213,0.0
130260,747,551268,135.50577940312152
130270,8,17944,44.58314757021846
130280,1,6772,14.766686355581808
130290,13,23885,54.4274649361524
130300,0,6504,0.0
130310,14,12012,116.55011655011656
130320,5,6430,77.76049766718506
130330,0,7393,0.0
130340,47,36400,129.12087912087912
130350,7,7109,98.46673231115487
130353,8,11236,71.1997152011392
130356,9,9324,96.52509652509653
130360,1,11526,8.676036786395974
130370,10,7712,129.66804979253112
130380,21,16029,131.01253977166385
130390,11,14179,77.57951900698215
130395,4,4873,82.08495793145906
130400,1,3144,31.806615776081426
130406,37,23660,156.38207945900254
130410,10,5138,194.62826002335538
130420,48,20080,239.0438247011952
130423,5,7181,69.62818548948614
130426,14,5139,272.4265421288188
130430,1,5182,19.297568506368197
130440,3,7916,37.89792824658919
140002,0,5273,0.0
140005,1,5577,17.930787161556392
140010,180,104863,171.65253711986117
140015,0,4289,0.0
140017,0,5715,0.0
140020,2,6242,32.04101249599487
140023,2,2868,69.7350069735007
140028,0,3502,0.0
140030,2,4887,40.92490280335584
140040,2,4726,42.319085907744395
140045,1,7142,14.001680201624195
140047,21,7750,270.96774193548384
140050,0,2309,0.0
140060,0,1682,0.0
140070,9,4992,180.28846153846155
150010,8,38658,20.694293548553986
150020,2,16414,12.184720360667722
150030,1,13422,7.450454477723141
150034,1,5947,16.815200941651252
150040,0,17227,0.0
150050,0,9928,0.0
150060,150,29209,513.5403471532746
150070,0,10969,0.0
150080,141,110875,127.17023675310034
150085,0,8797,0.0
150090,8,14723,54.336752020647964
150095,1,8491,11.77717583323519
150110,3,11379,26.364355391510678
150120,4,13385,29.884198729921554
150125,2,771,259.40337224383916
150130,19,33841,56.14491297538489
150140,752,283469,265.28474013031405
150150,2,15041,13.296988232165415
150157,0,4175,0.0
150160,0,4704,0.0
150170,28,34879,80.27753089251412
150172,5,3568,140.13452914798205
150178,2,20305,9.849790691947796
150180,2,34326,5.826487210860572
150190,0,8630,0.0
150195,3,11584,25.89779005524862
150200,0,6325,0.0
150210,11,41008,26.824034334763947
150215,14,11284,124.06947890818859
150220,6,15461,38.80732164801759
150240,27,47970,56.28517823639775
150250,4,8041,49.74505658500186
150260,2,3235,61.82380216383308
150270,3,10939,27.424810311728677
150276,1,3528,28.34467120181406
150277,0,4438,0.0
150280,0,12918,0.0
150290,1,10230,9.775171065493646
150293,4,15938,25.097251850922323
150295,1,9435,10.598834128245892
150300,0,2140,0.0
150304,2,5344,37.4251497005988
