cod_municipio_6,nascidos_totais,nascidos_solteiras,relacao_solteiras
110001,357,93.0,0.2605042016806723
110002,1545,448.0,0.28996763754045307
110003,68,34.0,0.5
110004,1366,261.0,0.1910688140556369
110005,251,86.0,0.3426294820717131
110006,231,87.0,0.37662337662337664
110007,118,42.0,0.3559322033898305
110008,195,75.0,0.38461538461538464
110009,485,132.0,0.2721649484536082
110010,834,682.0,0.8177458033573142
110011,920,252.0,0.27391304347826084
110012,1972,328.0,0.1663286004056795
110013,468,112.0,0.23931623931623933
110014,233,77.0,0.33047210300429186
110015,538,123.0,0.22862453531598512
110018,573,169.0,0.2949389179755672
110020,7703,3257.0,0.4228222770349215
110025,254,50.0,0.1968503937007874
110026,48,15.0,0.3125
110028,816,330.0,0.40441176470588236
110029,78,30.0,0.38461538461538464
110030,1623,841.0,0.5181762168823167
110032,344,98.0,0.28488372093023256
110033,469,271.0,0.5778251599147122
110034,200,39.0,0.195
110037,143,49.0,0.34265734265734266
110040,224,64.0,0.2857142857142857
110045,542,152.0,0.28044280442804426
110050,84,14.0,0.16666666666666666
110060,60,17.0,0.2833333333333333
110070,133,27.0,0.20300751879699247
110080,353,148.0,0.4192634560906516
110090,37,17.0,0.4594594594594595
110092,152,82.0,0.5394736842105263
110094,243,76.0,0.31275720164609055
110100,105,22.0,0.20952380952380953
110110,120,52.0,0.43333333333333335
110120,65,3.0,0.046153846153846156
110130,153,21.0,0.13725490196078433
110140,175,42.0,0.24
110143,85,22.0,0.25882352941176473
110145,40,17.0,0.425
110146,42,27.0,0.6428571428571429
110147,40,10.0,0.25
110148,45,14.0,0.3111111111111111
110149,284,101.0,0.35563380281690143
110150,180,62.0,0.34444444444444444
110155,50,8.0,0.16
110160,83,23.0,0.27710843373493976
110170,161,32.0,0.19875776397515527
110175,75,15.0,0.2
110180,72,14.0,0.19444444444444445
120001,251,69.0,0.2749003984063745
120005,271,64.0,0.23616236162361623
120010,525,130.0,0.24761904761904763
120013,251,80.0,0.3187250996015936
120017,215,62.0,0.28837209302325584
120020,1794,372.0,0.20735785953177258
120025,304,65.0,0.2138157894736842
120030,889,204.0,0.22947131608548932
120032,296,84.0,0.28378378378378377
120033,379,72.0,0.18997361477572558
120034,276,55.0,0.19927536231884058
